dataset,task,model,seed,method,strength,target_parameters,input_features,width,parameters,parameter_error_fraction,members,best_epoch,val_loss,test_loss,val_metric,test_metric,train_seconds
california,regression,tabm,20260850,anchor_isospectral_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,17,0.1515660583972931,0.14565414190292358,0.4518350467895367,0.44293537703350694,2.955972723895684
california,regression,tabm,20260851,anchor_isospectral_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,23,0.15034842491149902,0.14583510160446167,0.4500164292992537,0.44321042308388314,2.9990688380785286
california,regression,tabm,20260852,anchor_isospectral_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,24,0.15103086829185486,0.14495085179805756,0.4510366107952102,0.4418646966399713,2.780017417855561
tabred-weather,regression,tabm,20260850,anchor_isospectral_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,14,0.18098460137844086,0.16103173792362213,1.6523524070199755,1.5586104790951936,21.209891340928152
tabred-weather,regression,tabm,20260851,anchor_isospectral_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,15,0.18007665872573853,0.16118913888931274,1.64820254888906,1.559372133344766,21.848692278843373
tabred-weather,regression,tabm,20260852,anchor_isospectral_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,8,0.18238551914691925,0.16431596875190735,1.6587351390831486,1.5744241807607864,12.104437955189496
