dataset,model,method,seed,selected_columns,n_selected,parameters,target_parameters,matched_width,matched_ft_feedforward_width,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_support_gate,train_seconds
weather,mlp,qple,20260827,46;98;99,3,256917,256212,129,64,8,0.1848975270986557,1.677555348321022,0.1722308099269867,1.6190741111704274,0.0,12.663999927928671
weather,mlp,tple,20260827,46;98;99,3,256917,256212,129,64,8,0.1862591654062271,1.683721016559098,0.1752525866031646,1.6332156200312158,0.0,12.416221174877135
weather,mlp,qple_bin_control,20260827,46;98;99,3,256212,256212,128,64,8,0.1861843317747116,1.68338274698698,0.1725291311740875,1.6204757048691936,0.0259505417197942,13.15718453307636
weather,mlp,qple_support,20260827,46;98;99,3,256212,256212,128,64,8,0.1861896812915802,1.6834069306001516,0.1725707501173019,1.6206711455437928,-0.0032052397727966,13.389658272033556
weather,mlp,tple_support,20260827,46;98;99,3,256212,256212,128,64,12,0.185469388961792,1.6801475660727376,0.1713900417089462,1.6151174107845143,-0.275098443031311,16.949314157944173
weather,resnet,qple,20260827,46;98;99,3,371105,372308,128,64,14,0.1824083179235458,1.6662249213642086,0.1693175584077835,1.6053225459629823,0.0,22.562923816032708
weather,resnet,tple,20260827,46;98;99,3,371105,372308,128,64,18,0.1832418739795684,1.6700276777048275,0.1691059619188308,1.6043191449902594,0.0,22.33687818609178
weather,resnet,qple_bin_control,20260827,46;98;99,3,372308,372308,128,64,14,0.1810985058546066,1.6602318462984984,0.1671079397201538,1.5948133005758638,-0.1075426638126373,22.02728409296833
weather,resnet,qple_support,20260827,46;98;99,3,372308,372308,128,64,14,0.1812355816364288,1.6608600528357556,0.1674517691135406,1.5964531446257328,-0.149943932890892,23.310010308865458
weather,resnet,tple_support,20260827,46;98;99,3,372308,372308,128,64,14,0.1835247725248336,1.6713163192778584,0.169386014342308,1.605647033129927,-0.1472967863082885,22.604173389961943
weather,ft_transformer,qple,20260827,46;98;99,3,35109,35124,128,82,19,0.1841262578964233,1.674052870804097,0.1696884483098983,1.6070798126916994,0.0,39.00673841382377
weather,ft_transformer,tple,20260827,46;98;99,3,35109,35124,128,82,12,0.1854323297739029,1.6799797000563412,0.1734807342290878,1.6249385139304475,0.0,31.71369288302958
weather,ft_transformer,qple_bin_control,20260827,46;98;99,3,35124,35124,128,64,14,0.1826847046613693,1.6674867831060884,0.1697698235511779,1.6074651094926449,-0.1182535514235496,41.31185384001583
weather,ft_transformer,qple_support,20260827,46;98;99,3,35124,35124,128,64,14,0.1825917363166809,1.6670624366502462,0.170059934258461,1.6088379794555223,-0.1356673538684845,40.426651438931
weather,ft_transformer,tple_support,20260827,46;98;99,3,35124,35124,128,64,14,0.1844555735588073,1.6755492503964562,0.1708358228206634,1.6125039176755658,-0.1803017109632492,38.49833737593144
cooking-time,mlp,qple,20260827,0;170,2,460913,461075,128,64,12,0.5019673109054565,0.4677358851678095,0.529839038848877,0.4805459814428184,0.0,18.83244311599992
cooking-time,mlp,tple,20260827,0;170,2,460913,461075,128,64,12,0.5011692643165588,0.4673639251822812,0.529342770576477,0.4803208795013886,0.0,16.597400674130768
cooking-time,mlp,qple_bin_control,20260827,0;170,2,461075,461075,128,64,8,0.501374363899231,0.4674595479067256,0.5295488238334656,0.4804143558436627,-0.0159326307475566,13.71640970511362
cooking-time,mlp,qple_support,20260827,0;170,2,461075,461075,128,64,8,0.5013740062713623,0.4674593811883972,0.5294888019561768,0.480387128714311,0.0252129770815372,14.081834357930347
cooking-time,mlp,tple_support,20260827,0;170,2,461075,461075,128,64,8,0.501620888710022,0.4675744582636471,0.5289404392242432,0.4801383088745429,-0.0129012735560536,13.36821222305298
cooking-time,resnet,qple,20260827,0;170,2,577009,577171,128,64,15,0.5038692355155945,0.4686211592736794,0.5404601097106934,0.4853385577606978,0.0,21.80344410100952
cooking-time,resnet,tple,20260827,0;170,2,577009,577171,128,64,12,0.5007247924804688,0.4671566337594426,0.5314828157424927,0.4812908290429193,0.0,18.599353726021945
cooking-time,resnet,qple_bin_control,20260827,0;170,2,577171,577171,128,64,15,0.5006746649742126,0.467133249673473,0.535880982875824,0.4832781334287991,-0.0098402462899684,25.14075064798817
cooking-time,resnet,qple_support,20260827,0;170,2,577171,577171,128,64,15,0.5006595849990845,0.4671262147550689,0.5359090566635132,0.4832907922751266,-0.0078614018857479,23.969604523852468
cooking-time,resnet,tple_support,20260827,0;170,2,577171,577171,128,64,12,0.5015743374824524,0.4675527619283174,0.5336006879806519,0.482248808327355,0.0022863016929477,19.62498925300315
cooking-time,ft_transformer,qple,20260827,0;170,2,57685,57715,128,66,8,0.5045322179794312,0.4689293597518175,0.5360532402992249,0.4833558013810191,0.0,24.542336264858022
cooking-time,ft_transformer,tple,20260827,0;170,2,57685,57715,128,66,8,0.5052340626716614,0.4692554055358726,0.5360070466995239,0.4833349746946345,0.0,24.601586441975087
cooking-time,ft_transformer,qple_bin_control,20260827,0;170,2,57715,57715,128,64,8,0.5053333640098572,0.469301518222798,0.5353007912635803,0.4830164429935945,0.0086657647043466,27.668757377192374
cooking-time,ft_transformer,qple_support,20260827,0;170,2,57715,57715,128,64,8,0.5053265690803528,0.469298362997278,0.5351307392120361,0.4829397156071006,0.0170291718095541,28.48713421588764
cooking-time,ft_transformer,tple_support,20260827,0;170,2,57715,57715,128,64,13,0.5024814605712891,0.4679753675949371,0.5339876413345337,0.4824236337909185,0.1054618433117866,38.35170529107563
