dataset,task,model,seed,method,strength,target_parameters,input_features,tokens,d_ff,parameters,parameter_error_fraction,best_epoch,val_loss,test_loss,val_metric,test_metric,train_seconds
king-county-sales,regression,ft,20260850,raple_raw,1.0,92481,397,19,123,92535,0.0005839037207642651,18,0.10881081968545914,0.12422941625118256,0.17328724052764954,0.18515811604491006,7.338183339918032
king-county-sales,regression,ft,20260850,anchor_only,1.0,92481,376,19,128,92481,0.0,25,0.10657259076833725,0.11910318583250046,0.1714957251531466,0.18129767674114738,7.619922730140388
king-county-sales,regression,ft,20260850,anchor_product_mass,1.0,92481,377,20,128,92609,0.0013840680788486284,18,0.10696528106927872,0.1180616021156311,0.17181139695683534,0.18050318202201865,7.17069781688042
king-county-sales,regression,ft,20260850,anchor_product_riesz,1.0,92481,377,20,128,92609,0.0013840680788486284,18,0.10643073171377182,0.11760742217302322,0.17138154599011024,0.18015565027087632,7.304365179967135
king-county-sales,regression,ft,20260850,anchor_product_wrong,1.0,92481,377,20,128,92609,0.0013840680788486284,18,0.10716640949249268,0.11872866749763489,0.1719728415652586,0.1810124088774856,7.032294620992616
king-county-sales,regression,ft,20260850,anchor_product_isospectral,1.0,92481,377,20,128,92609,0.0013840680788486284,18,0.1072172001004219,0.11827374249696732,0.1720135941172103,0.18066528418218297,8.025009432109073
king-county-sales,regression,ft,20260851,raple_raw,1.0,92481,397,19,123,92535,0.0005839037207642651,23,0.1108069196343422,0.12669549882411957,0.17486946657657043,0.18698687702874572,7.393635319080204
king-county-sales,regression,ft,20260851,anchor_only,1.0,92481,376,19,128,92481,0.0,21,0.10987327247858047,0.12879960238933563,0.17413119253130205,0.18853318822780984,7.27920182608068
king-county-sales,regression,ft,20260851,anchor_product_mass,1.0,92481,377,20,128,92609,0.0013840680788486284,13,0.11286633461713791,0.1335141956806183,0.17648701254758237,0.1919527077772063,5.610344305867329
king-county-sales,regression,ft,20260851,anchor_product_riesz,1.0,92481,377,20,128,92609,0.0013840680788486284,13,0.11238154768943787,0.1328733265399933,0.17610757388100495,0.19149146654284266,5.736676550935954
king-county-sales,regression,ft,20260851,anchor_product_wrong,1.0,92481,377,20,128,92609,0.0013840680788486284,13,0.11250374466180801,0.13316567242145538,0.17620329462731021,0.1917020083479315,5.742884433129802
king-county-sales,regression,ft,20260851,anchor_product_isospectral,1.0,92481,377,20,128,92609,0.0013840680788486284,13,0.11319093406200409,0.1341354250907898,0.1767406083357166,0.1923987626975503,5.361666674027219
king-county-sales,regression,ft,20260852,raple_raw,1.0,92481,397,19,123,92535,0.0005839037207642651,21,0.11028680950403214,0.12523508071899414,0.17445857501837914,0.18590604983837444,7.270107542164624
king-county-sales,regression,ft,20260852,anchor_only,1.0,92481,376,19,128,92481,0.0,22,0.105592280626297,0.11908072978258133,0.17070514443247653,0.1812805803958799,7.227739604189992
king-county-sales,regression,ft,20260852,anchor_product_mass,1.0,92481,377,20,128,92609,0.0013840680788486284,8,0.11571159958839417,0.13003399968147278,0.17869770150101516,0.18943445682489113,4.482983915135264
king-county-sales,regression,ft,20260852,anchor_product_riesz,1.0,92481,377,20,128,92609,0.0013840680788486284,21,0.10573624074459076,0.11839181184768677,0.17082146846666824,0.18075543139468309,7.829727448988706
king-county-sales,regression,ft,20260852,anchor_product_wrong,1.0,92481,377,20,128,92609,0.0013840680788486284,8,0.11591950058937073,0.13008950650691986,0.17885817543782068,0.18947489625696612,4.4501546991523355
king-county-sales,regression,ft,20260852,anchor_product_isospectral,1.0,92481,377,20,128,92609,0.0013840680788486284,8,0.11590083688497543,0.1300947666168213,0.17884377192349277,0.18947871631946178,4.327433279948309
