dataset,model,seed,method,ple_val_rmse,method_val_rmse,gain_vs_ple_pct,parameters,mean_abs_gate,max_abs_gate,test_evaluated
weather,mlp,20260827,ple_adapter,1.679713523452515,1.6785311166120152,0.07039336315334348,256294,0.005665292497724295,0.013934805057942867,False
weather,mlp,20260827,semantic_noalign,1.679713523452515,1.6790881158646993,0.037232991166858125,256294,0.13903990387916565,0.1912108212709427,False
weather,mlp,20260827,semantic_local,1.679713523452515,1.6750608057400116,0.27699471651213614,256294,0.09188681095838547,0.13783489167690277,False
weather,mlp,20260827,semantic_wrong_local,1.679713523452515,1.6794708697318974,0.01444613722694431,256294,0.06748413294553757,0.13331055641174316,False
weather,resnet,20260827,ple_adapter,1.664537453820957,1.6643509116879525,0.011206845035315927,372390,0.014046436175704002,0.059637200087308884,False
weather,resnet,20260827,semantic_noalign,1.664537453820957,1.6643280864340602,0.01257811210052402,372390,0.16843457520008087,0.22099292278289795,False
weather,resnet,20260827,semantic_local,1.664537453820957,1.6638956420305182,0.03855796629661164,372390,0.058712609112262726,0.15855416655540466,False
weather,resnet,20260827,semantic_wrong_local,1.664537453820957,1.66395002744463,0.035290667385019535,372390,0.09309389442205429,0.27083152532577515,False
weather,ft_transformer,20260827,ple_adapter,1.6619383559054508,1.6625219912472322,-0.03511774908543066,35206,0.06053486466407776,0.11746644973754883,False
weather,ft_transformer,20260827,semantic_noalign,1.6619383559054508,1.6612566996468328,0.041015736606347775,35206,0.11398408561944962,0.17184114456176758,False
weather,ft_transformer,20260827,semantic_local,1.6619383559054508,1.6634850361179987,-0.09306483643343284,35206,0.08089806884527206,0.15223926305770874,False
weather,ft_transformer,20260827,semantic_wrong_local,1.6619383559054508,1.6617298211644818,0.012547682062216637,35206,0.049212899059057236,0.09588325768709183,False
cooking-time,mlp,20260827,ple_adapter,0.4669319479759117,0.4669258558424072,0.0013047155010289884,461684,0.020602868869900703,0.05847196280956268,False
cooking-time,mlp,20260827,semantic_noalign,0.4669319479759117,0.46693993161044334,-0.0017098068714823734,461684,0.05819610133767128,0.08957649767398834,False
cooking-time,mlp,20260827,semantic_local,0.4669319479759117,0.46696262997890553,-0.00657097958853189,461684,0.015339009463787079,0.021555254235863686,False
cooking-time,mlp,20260827,semantic_wrong_local,0.4669319479759117,0.4669675533764467,-0.007625393955014833,461684,0.03448585793375969,0.05634491518139839,False
cooking-time,resnet,20260827,ple_adapter,0.46776634782958687,0.46777159598209933,-0.0011219602557583567,577780,0.035444412380456924,0.0981479212641716,False
cooking-time,resnet,20260827,semantic_noalign,0.46776634782958687,0.4678074151332438,-0.008779448082892017,577780,0.07287529855966568,0.15622691810131073,False
cooking-time,resnet,20260827,semantic_local,0.46776634782958687,0.46770408747479514,0.013310139791076724,577780,0.019022414460778236,0.0433824248611927,False
cooking-time,resnet,20260827,semantic_wrong_local,0.46776634782958687,0.46779175500459247,-0.005431595308958516,577780,0.006856292486190796,0.010143388994038105,False
cooking-time,ft_transformer,20260827,ple_adapter,0.46947596365023136,0.46979593459346486,-0.06815491484285627,58324,0.004794742912054062,0.007619838695973158,False
cooking-time,ft_transformer,20260827,semantic_noalign,0.46947596365023136,0.4693401265013964,0.02893378135460268,58324,0.09200086444616318,0.18400153517723083,False
cooking-time,ft_transformer,20260827,semantic_local,0.46947596365023136,0.47043580340938973,-0.20444918025099668,58324,0.06231231614947319,0.08736533671617508,False
cooking-time,ft_transformer,20260827,semantic_wrong_local,0.46947596365023136,0.4693394622997974,0.029075258586756286,58324,0.09990271180868149,0.16288262605667114,False
