model,method,seeds,mean_val_loss,mean_test_loss,sd_test_loss,mean_test_loss_gain_pct
mlp,hour_mass,3,0.06169089923302327,0.08397452781597765,0.005299604415606472,3.6892378287469008
mlp,hour_path,3,0.06279139220714566,0.08426026254892344,0.0038696805124654276,3.1280036825284796
mlp,hour_ring,3,0.06819736709197356,0.08582468330860134,0.005938561002094726,1.5793438096396166
mlp,hour_wrong_ring,3,0.06693183879057564,0.08573498576879496,0.007019931176456267,1.466098426522904
mlp,quantile_ple,3,0.06685135761896764,0.08713459223508833,0.0029690037362352156,0.0
resnet,hour_mass,3,0.06147838011384007,0.08560104668140407,0.004911187897468983,6.429494149822609
resnet,hour_path,3,0.06467342873414354,0.0874742766221364,0.00858714695108352,3.7559051958006173
resnet,hour_ring,3,0.06450964137911792,0.0839985162019729,0.005083966933918037,8.11017656420517
resnet,hour_wrong_ring,3,0.06279754514495527,0.08776747435331339,0.004687358302560739,3.84695155966701
resnet,quantile_ple,3,0.07031226158142083,0.09234344462553656,0.010475625750087033,0.0
