dataset,model,seed,split,rank,qple,tple,rank_q,rank_t,q_t,all
weather,mlp,20260827,val,1.6683084964771524,1.6775553163441828,1.6837210256054504,1.648839714303449,1.6473386902309812,1.6718310779119747,1.6491514296820924
weather,mlp,20260827,test,1.5874329473939497,1.6190740930219363,1.6332155768241137,1.5778719705134563,1.5796736644737166,1.6175695808997261,1.5845639102125233
weather,mlp,20260828,val,1.6711393976480622,1.666024405237522,1.6634783614622393,1.6558395325264428,1.651741887957428,1.6566357380143018,1.6506729169797154
weather,mlp,20260828,test,1.5932767096639964,1.5954818547111245,1.6003174543373007,1.5820682106218555,1.5810949284754088,1.590099910226968,1.5804275482913681
weather,mlp,20260829,val,1.6744611836860486,1.6597983527157112,1.6664785493139789,1.6610467257185064,1.661544005343444,1.6560979970123526,1.6571045318996767
weather,mlp,20260829,test,1.596462112957056,1.592547009657892,1.596414559212235,1.5887131779177253,1.5883527461110134,1.587756173336743,1.585978081846406
weather,resnet,20260827,val,1.6695429172809781,1.6662249680977084,1.6700276399268432,1.6616852713580101,1.6563469274956333,1.653971333084428,1.6535667193143126
weather,resnet,20260827,test,1.6030435977476145,1.6053225731809562,1.6043191775384003,1.5973201731936797,1.5896536723965937,1.5899562025775822,1.5883225163465795
weather,resnet,20260828,val,1.6795972206633678,1.6633347700811782,1.6628788819798501,1.6528905027375913,1.652143827556074,1.6473033446602585,1.6447912512358016
weather,resnet,20260828,test,1.6031120797908898,1.6034986719706694,1.5921769275802262,1.5850809554526677,1.5781482240530522,1.5807079874906549,1.5751712898662618
weather,resnet,20260829,val,1.6751226341855272,1.6663422828373768,1.6779788818512316,1.6636811334205959,1.6656536255499077,1.6641985274657145,1.661619928559503
weather,resnet,20260829,test,1.6097221665893358,1.5998654030906891,1.6078226909679643,1.5977400181143366,1.5985892419582797,1.5964416497319007,1.5948416813150743
weather,ft_transformer,20260827,val,1.689164243496748,1.6740528493295415,1.6799797434517814,1.6608441862967993,1.6697799883951348,1.659023773136255,1.6572284739338556
weather,ft_transformer,20260827,test,1.6199841251997213,1.6070798526411636,1.6249385510537877,1.5942352257332004,1.6068951022731426,1.5993750995652363,1.5944109071718913
weather,ft_transformer,20260828,val,1.6788848446376505,1.672455671352509,1.6714069310633022,1.6614899405724373,1.6600515851270075,1.6588699501426163,1.655405851675141
weather,ft_transformer,20260828,test,1.6189778228490468,1.6135902974853025,1.6059211225167473,1.6015417597968735,1.5964432774884472,1.5960208746646458,1.5930283605223394
weather,ft_transformer,20260829,val,1.6859517496840226,1.6830272525116925,1.6792753899404715,1.665253778781107,1.6669032775042751,1.6665705175588528,1.660702571477259
weather,ft_transformer,20260829,test,1.6205510495511817,1.6090016517808863,1.6072535575183338,1.5968327763763455,1.598251133669919,1.5919893867724113,1.5901260706000357
cooking-time,mlp,20260827,val,0.46682831798580793,0.46773588291700463,0.4673639087887267,0.4658461457397678,0.46542939148264395,0.4669202785843254,0.4656503408881534
cooking-time,mlp,20260827,test,0.48011526690176964,0.48054599035550183,0.4803208698659347,0.47885894425355957,0.4784944072468562,0.4798356862203548,0.4786413002354166
cooking-time,mlp,20260828,val,0.4688050183306629,0.4693627237490574,0.46843284745313696,0.46763420290563573,0.4672746239799821,0.46751249382081994,0.46700846159728115
cooking-time,mlp,20260828,test,0.4819654574801575,0.48344851396176836,0.48110377447359554,0.4812403578015605,0.4802152942194553,0.4809685683903666,0.48035231039576587
cooking-time,mlp,20260829,val,0.4680276227019462,0.46776169641834286,0.46655743362115487,0.4677343089230206,0.465666553026189,0.46570287293737067,0.4660081884204246
cooking-time,mlp,20260829,test,0.4813187427019656,0.48129210285378576,0.48039260464175726,0.48113785144335,0.4792232451611653,0.47937092514671775,0.4795476453212757
cooking-time,resnet,20260827,val,0.46851886622436467,0.4686211758333272,0.4671566531308784,0.46713375151841063,0.46633250988083574,0.4665904874948197,0.4662135159356424
cooking-time,resnet,20260827,test,0.48184008885932883,0.485338565937802,0.48129084365859853,0.48192205459604764,0.4800194106681417,0.48187743186660015,0.48075509545628137
cooking-time,resnet,20260828,val,0.46800133700241275,0.4688569994819858,0.4695087510409266,0.46810687329904255,0.4673279430261914,0.46776102747089965,0.46737905848082306
cooking-time,resnet,20260828,test,0.48409168725349616,0.4840939301949234,0.48201578593779715,0.4837768884566884,0.481554094152429,0.48153638672010857,0.4819193001065756
cooking-time,resnet,20260829,val,0.46840455491127386,0.4691515724560986,0.46892542887044186,0.46859579518033456,0.468353360756943,0.4687813297212031,0.46849336752182325
cooking-time,resnet,20260829,test,0.48226054200231516,0.48337091605835525,0.4824051526995987,0.48262236386939605,0.4820141725939635,0.48263786771013883,0.4823400680483587
cooking-time,ft_transformer,20260827,val,0.46889292589467146,0.46892936385540196,0.46925541670919557,0.46818364485561403,0.46798138662866506,0.46831019397193074,0.4678689247585055
cooking-time,ft_transformer,20260827,test,0.48402290371639367,0.4833558057161085,0.48333498964566957,0.48295911988228113,0.48258915259633284,0.48254578906207257,0.48240660864403395
cooking-time,ft_transformer,20260828,val,0.4685846198230479,0.4684548833689135,0.4699693016806563,0.46689064814757586,0.4677703533852551,0.4674947863884995,0.46684480557279073
cooking-time,ft_transformer,20260828,test,0.4814895603990834,0.4807395916155386,0.48413540493640284,0.4794741791520707,0.481351442426984,0.48074997997583324,0.4799920231728194
cooking-time,ft_transformer,20260829,val,0.4678044303550095,0.46821724962717326,0.4676448667148776,0.46698740942774464,0.4665006517881807,0.46647900937090014,0.46624393336938397
cooking-time,ft_transformer,20260829,test,0.4813878803877145,0.48161646366404653,0.4810728061419596,0.4805335558030279,0.48007473655668065,0.47998049366688633,0.4798081019757845
