split,level,name,cells,wins,mean_relative_gain_pct,median_relative_gain_pct
val,overall,overall,12,11,-1.8798814023391703,4.697830404061792
val,task,classification,6,5,-9.807298253859132,4.697830404061792
val,task,regression,6,6,6.047535449180792,3.8582709919954996
val,dataset,openml-banknote-1462,3,2,-25.051477980332404,1.0169579906439914
val,dataset,openml-pol-201,3,3,11.27206181186348,13.78661745903252
val,dataset,openml-puma32h-308,3,3,0.8230090864981044,0.9094348763896845
val,dataset,openml-qsar-biodeg-1494,3,3,5.436881472614139,4.795386334324718
test,overall,overall,12,10,-3.3067398950226146,1.4448088100211212
test,task,classification,6,4,-11.513224439007123,2.9393314058570885
test,task,regression,6,6,4.89974464896189,1.4448088100211212
test,dataset,openml-banknote-1462,3,2,-26.975814788396974,0.11340118107139623
test,dataset,openml-pol-201,3,3,8.756277424840139,10.470720137438155
test,dataset,openml-puma32h-308,3,3,1.0432118730836402,1.1052062285456608
test,dataset,openml-qsar-biodeg-1494,3,2,3.949365910382731,5.76526163064278
