dataset,model,seed,correct_test_loss,mean_permuted_test_loss,sd_permuted_test_loss,permutations,correct_gain_pct
california,mlp,20260850,0.1458244025707245,0.14704019427299495,0.00015023759767781762,5,0.826843101154517
california,mlp,20260851,0.148047536611557,0.14782936871051786,0.00047141314059201064,5,-0.1475808920393698
california,mlp,20260852,0.1479625254869461,0.1487667441368103,0.0011121733280558444,5,0.5405903412960376
california,resnet,20260850,0.1504005491733551,0.1525152742862701,0.0007122682585133303,5,1.3865661146474224
california,resnet,20260851,0.1512698829174041,0.15347760319709775,0.0011035443408689799,5,1.4384641365935804
california,resnet,20260852,0.1495817601680755,0.15314696133136746,0.001585556757332802,5,2.3279607589326234
tabred-weather,mlp,20260850,0.1689126640558242,0.17098168432712552,0.001544755341783339,5,1.2100829860482771
tabred-weather,mlp,20260851,0.1709146797657013,0.17291980087757103,0.00127581636593929,5,1.1595670950890005
tabred-weather,mlp,20260852,0.1694506853818893,0.17214748263359064,0.0020578585861654153,5,1.5665621189717802
tabred-weather,resnet,20260850,0.1697487235069275,0.17048240303993223,0.0009263623383627478,5,0.43035499261052074
tabred-weather,resnet,20260851,0.1674716770648956,0.1687392741441726,0.00045615812431243433,5,0.7512163873562491
tabred-weather,resnet,20260852,0.1679018139839172,0.16982322037219996,0.0016160026330543093,5,1.1314155885582815
