dataset,task,model,pair,split,primary_metric,candidate,t_plus_t_control,relative_gain_pct,win
openml-magic-telescope-1120,classification,mlp,tq,val,log_loss,0.2959053574517714,0.3026062383219824,2.214389533860531,True
openml-magic-telescope-1120,classification,mlp,tq,test,log_loss,0.2971123360151068,0.3063079913287171,3.002094484613668,True
openml-magic-telescope-1120,classification,resnet,tq,val,log_loss,0.2963897717286481,0.3017714029235075,1.7833469781175821,True
openml-magic-telescope-1120,classification,resnet,tq,test,log_loss,0.2969771887728692,0.3031312949922447,2.030178447768963,True
openml-magic-telescope-1120,classification,ft_transformer,tq,val,log_loss,0.3048767189346695,0.3087373696713236,1.250464347987441,True
openml-magic-telescope-1120,classification,ft_transformer,tq,test,log_loss,0.3059486613909681,0.3112244662437026,1.6951767694906414,True
openml-phoneme-1489,classification,mlp,trank,val,log_loss,0.3139423378144311,0.3130445497239777,-0.2867924361708225,False
openml-phoneme-1489,classification,mlp,trank,test,log_loss,0.3292949914442625,0.3302003619062172,0.2741882100698165,True
openml-phoneme-1489,classification,resnet,tq,val,log_loss,0.2772567581175779,0.2924686378971243,5.201200336870712,True
openml-phoneme-1489,classification,resnet,tq,test,log_loss,0.2843986823709071,0.3011064876786562,5.548802829376382,True
openml-phoneme-1489,classification,ft_transformer,tq,val,log_loss,0.3008166247456058,0.3090519075892337,2.6646924485493093,True
openml-phoneme-1489,classification,ft_transformer,tq,test,log_loss,0.3104084396111378,0.3243757207819277,4.305895995273919,True
openml-fried-564,regression,mlp,trank,val,rmse,1.0313255149458354,1.0378678971326871,0.6303675260528222,True
openml-fried-564,regression,mlp,trank,test,rmse,1.0079016971290653,1.0105375086330322,0.2608326243656561,True
openml-fried-564,regression,resnet,tq,val,rmse,1.042213629362592,1.044367000162996,0.2061890887080814,True
openml-fried-564,regression,resnet,tq,test,rmse,1.0189927011739135,1.0198270636652016,0.08181411545301087,True
openml-fried-564,regression,ft_transformer,trank,val,rmse,1.045134302154303,1.0535839978537829,0.8019954476047962,True
openml-fried-564,regression,ft_transformer,trank,test,rmse,1.0312917172205909,1.0335043826190624,0.21409347030191536,True
openml-wine-quality-287,regression,mlp,trank,val,rmse,0.6852497044604857,0.6897927145762797,0.6586051171306713,True
openml-wine-quality-287,regression,mlp,trank,test,rmse,0.6960173927458104,0.7022686948212917,0.8901581576368128,True
openml-wine-quality-287,regression,resnet,trank,val,rmse,0.6735089639388703,0.6790763602961682,0.8198483532646963,True
openml-wine-quality-287,regression,resnet,trank,test,rmse,0.6873293624966492,0.6924213530317872,0.7353890102959059,True
openml-wine-quality-287,regression,ft_transformer,tq,val,rmse,0.6753754393057615,0.6799045438113095,0.6661382905546427,True
openml-wine-quality-287,regression,ft_transformer,tq,test,rmse,0.690996268588044,0.6926710859402987,0.24179114535741902,True
