dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
adult,binclass,mlp,20260827,quantile_ple,32,0.35,1.0,190,41089,17,0.28913788032063004,0.30266205247831696,0.3048333891533808,0.8558268079226163,0.8594,0.09584551304578781,11.613836288452148,0.023785386234521866,7.547035781200975
adult,binclass,mlp,20260827,adaptive_support_ple,32,0.35,1.0,213,44033,25,0.27076387009644504,0.2913534213857342,0.2949716476090148,0.8622754491017964,0.8650666666666667,0.11298731714487076,13.786599159240723,0.02516832761466503,14.136166974902153
adult,binclass,mlp,20260827,adaptive_support_spectral,32,0.35,1.0,213,44033,7,0.25857719701392445,0.2865335682653143,0.28491095255912413,0.8633502226316597,0.87,0.0698562040925026,8.975281715393066,0.025234023109078407,7.235863795969635
adult,binclass,mlp,20260827,adaptive_support_heat,32,0.35,1.0,213,44033,9,0.26663108436738414,0.2910815893151378,0.29106773044176065,0.8630431444802702,0.8665333333333334,0.06362596154212952,10.54973030090332,0.025032024830579758,8.689118089154363
adult,binclass,resnet,20260827,quantile_ple,32,0.35,1.0,190,157185,7,0.2868657647233422,0.305716970907294,0.3088860129747756,0.8542914171656687,0.8566666666666667,1.4301453828811646,7.671351432800293,0.02385675720870495,7.323346717050299
adult,binclass,resnet,20260827,adaptive_support_ple,32,0.35,1.0,213,160129,10,0.2689536322627278,0.29242366345541454,0.2973183124307996,0.8613542146476278,0.8632,1.962230920791626,8.394497871398926,0.02522316388785839,11.283435533056036
adult,binclass,resnet,20260827,adaptive_support_spectral,32,0.35,1.0,213,160129,3,0.272246504567436,0.2896168582890954,0.2881625894389665,0.8636573007830493,0.8696,0.740741491317749,6.960868835449219,0.025282543152570724,6.0685642410535365
adult,binclass,resnet,20260827,adaptive_support_heat,32,0.35,1.0,213,160129,7,0.25360659036597893,0.29483287842922845,0.29655924015469975,0.8628896054045755,0.8636666666666667,0.9558314681053162,8.179113388061523,0.025191551074385643,8.034811885096133
black-friday,regression,mlp,20260827,quantile_ple,32,0.35,1.0,58,24193,25,0.5102748274803162,0.5242863893508911,0.5300177335739136,0.7231306992983519,0.7270725052571549,0.10377240180969238,11.450507164001465,0.013159746304154396,9.754259485052899
black-friday,regression,mlp,20260827,adaptive_support_ple,32,0.35,1.0,72,25985,15,0.4848436415195465,0.49290671944618225,0.4969850778579712,0.7011563766765647,0.7040511060136225,0.08944902569055557,9.078876495361328,0.014669512398540974,21.6514250789769
black-friday,regression,mlp,20260827,adaptive_support_spectral,32,0.35,1.0,72,25985,22,0.4577011466026306,0.4825352132320404,0.4856468141078949,0.6937404669202465,0.6959736152695797,0.16019542515277863,8.830578804016113,0.014680529944598675,26.519752349937335
black-friday,regression,mlp,20260827,adaptive_support_heat,32,0.35,1.0,72,25985,22,0.46301230788230896,0.4825574457645416,0.48508623242378235,0.6937564201058422,0.6955718688159038,0.10294601321220398,14.80444049835205,0.014533242210745811,25.48686962109059
black-friday,regression,resnet,20260827,quantile_ple,32,0.35,1.0,58,140289,11,0.45778313279151917,0.4942309558391571,0.49567824602127075,0.7020976146267088,0.7031248688200833,0.8308825492858887,7.596811294555664,0.013164317235350609,9.376267322804779
black-friday,regression,resnet,20260827,adaptive_support_ple,32,0.35,1.0,72,142081,10,0.4578844904899597,0.48871397972106934,0.49088579416275024,0.6981679521375384,0.6997175541055469,2.0462913513183594,7.308393955230713,0.014682432636618614,9.9575285599567
black-friday,regression,resnet,20260827,adaptive_support_spectral,32,0.35,1.0,72,142081,5,0.4644163250923157,0.4872904419898987,0.4892309904098511,0.6971504008145075,0.6985371374250917,1.2532427310943604,6.800269603729248,0.014682555571198463,7.68186132889241
black-friday,regression,resnet,20260827,adaptive_support_heat,32,0.35,1.0,72,142081,6,0.4591220021247864,0.48846226930618286,0.489997535943985,0.6979881216387156,0.6990841888266743,1.2447617053985596,8.073508262634277,0.014575304463505745,12.7975044620689
california,regression,mlp,20260827,quantile_ple,32,0.35,1.0,254,49281,22,0.16030466556549072,0.1844392865896225,0.18145956099033356,0.49843169394067033,0.49438908424803074,0.32866212725639343,9.045022010803223,0.027643414214253426,6.632253400050104
california,regression,mlp,20260827,adaptive_support_ple,32,0.35,1.0,248,48513,22,0.16437460482120514,0.18486826121807098,0.18399223685264587,0.4990109785548178,0.49782726364259133,0.28888747096061707,9.008637428283691,0.027317672967910767,6.060577475931495
california,regression,mlp,20260827,adaptive_support_spectral,32,0.35,1.0,248,48513,16,0.05861840024590492,0.19158734381198883,0.19139400124549866,0.5079983987924628,0.5077419958282476,0.23150095343589783,8.0709810256958,0.027325423434376717,5.6667051441036165
california,regression,mlp,20260827,adaptive_support_heat,32,0.35,1.0,248,48513,17,0.08651374280452728,0.17377881705760956,0.17077699303627014,0.4838127819158018,0.4796159430558298,0.18551959097385406,9.343088150024414,0.026484373956918716,5.725416423985735
california,regression,resnet,20260827,quantile_ple,32,0.35,1.0,254,165377,22,0.10563884675502777,0.17700694501399994,0.1764400452375412,0.48828577365130243,0.48750324826854197,5.426442623138428,7.566988945007324,0.0276529248803854,7.275449994020164
california,regression,resnet,20260827,adaptive_support_ple,32,0.35,1.0,248,164609,17,0.1199176162481308,0.17842325568199158,0.17766577005386353,0.49023537698071706,0.4891936469825744,4.077038764953613,7.307286262512207,0.027327362447977066,6.976395840058103
california,regression,resnet,20260827,adaptive_support_spectral,32,0.35,1.0,248,164609,6,0.08915450423955917,0.19784589111804962,0.20080982148647308,0.5162290619204271,0.5200815052165666,1.505199909210205,6.726706504821777,0.02732800506055355,3.731430053943768
california,regression,resnet,20260827,adaptive_support_heat,32,0.35,1.0,248,164609,5,0.10261153429746628,0.18203864991664886,0.1813684105873108,0.49517731669798337,0.4942648777129577,1.811089038848877,6.806699275970459,0.026764024049043655,3.3038162540178746
churn,binclass,mlp,20260827,quantile_ple,32,0.35,1.0,163,37633,22,0.32736599169938496,0.3459129666959578,0.3603783802452373,0.8575,0.849,0.18506138026714325,8.421955108642578,0.02210845611989498,3.3698247210122645
churn,binclass,mlp,20260827,adaptive_support_ple,32,0.35,1.0,163,37633,22,0.3270011378975359,0.34724254334597887,0.36036221296559634,0.858125,0.8515,0.18542316555976868,8.432889938354492,0.022108955308794975,3.2565510240383446
churn,binclass,mlp,20260827,adaptive_support_spectral,32,0.35,1.0,163,37633,15,0.320762336753422,0.35661428990862604,0.3763335038300281,0.855,0.842,0.15877513587474823,8.060769081115723,0.022105343639850616,2.7120980699546635
churn,binclass,mlp,20260827,adaptive_support_heat,32,0.35,1.0,163,37633,21,0.31109755576316683,0.3524544539707093,0.3692591089451671,0.856875,0.8505,0.15800611674785614,8.912572860717773,0.02188967540860176,3.1658554379828274
churn,binclass,resnet,20260827,quantile_ple,32,0.35,1.0,163,153729,9,0.32535108916888994,0.35432879900353315,0.3704158437169061,0.860625,0.8515,1.5279731750488281,6.8835272789001465,0.02211371436715126,2.510908765019849
churn,binclass,resnet,20260827,adaptive_support_ple,32,0.35,1.0,163,153729,9,0.3203421054995792,0.3512357424407456,0.3687192929461649,0.861875,0.855,1.512634515762329,6.874309539794922,0.022113600745797157,2.7520207772031426
churn,binclass,resnet,20260827,adaptive_support_spectral,32,0.35,1.0,163,153729,9,0.29825655750099356,0.37058319829071396,0.3921440754581638,0.850625,0.84,1.2602429389953613,6.889925479888916,0.022114021703600883,2.3882576529867947
churn,binclass,resnet,20260827,adaptive_support_heat,32,0.35,1.0,163,153729,10,0.3007269056213019,0.36557380975869436,0.38280169979747547,0.85375,0.847,1.372503399848938,7.045872688293457,0.02200896292924881,2.4555298881605268
diamond,regression,mlp,20260827,quantile_ple,32,0.35,1.0,184,40321,24,0.018816504627466202,0.01881655864417553,0.020356841385364532,0.13685078617591717,0.1423417768803663,0.6678255796432495,10.499910354614258,0.023480527102947235,17.569885479984805
diamond,regression,mlp,20260827,adaptive_support_ple,32,0.35,1.0,177,39425,24,0.02014618180692196,0.020475247874855995,0.021789055317640305,0.14275515877979483,0.14726393078114253,0.6973845362663269,10.859112739562988,0.023046962916851044,18.95512254606001
diamond,regression,mlp,20260827,adaptive_support_spectral,32,0.35,1.0,177,39425,24,0.0169347133487463,0.018981806933879852,0.02099224552512169,0.1374503958257014,0.14454619788790968,0.3883552849292755,9.591615676879883,0.02305009216070175,18.582120780833066
diamond,regression,mlp,20260827,adaptive_support_heat,32,0.35,1.0,177,39425,24,0.017710348591208458,0.018766975030303,0.020591193810105324,0.13667035620816215,0.1431587736454576,0.34990394115448,9.566141128540039,0.022567713633179665,17.461866766912863
diamond,regression,resnet,20260827,quantile_ple,32,0.35,1.0,184,156417,24,0.016605863347649574,0.017697950825095177,0.01962449960410595,0.13272071344115854,0.13975794303299072,5.356817722320557,8.615718841552734,0.023487575352191925,16.59064981294796
diamond,regression,resnet,20260827,adaptive_support_ple,32,0.35,1.0,177,155521,22,0.017919505015015602,0.019297629594802856,0.021207857877016068,0.138589139792912,0.14528661932434428,7.309709548950195,8.623737335205078,0.023053104057908058,19.30989374802448
diamond,regression,resnet,20260827,adaptive_support_spectral,32,0.35,1.0,177,155521,20,0.015367683954536915,0.01927584782242775,0.021083159372210503,0.13851089946002126,0.14485886189728792,3.012855052947998,8.075517654418945,0.023053402081131935,20.953572339145467
diamond,regression,resnet,20260827,adaptive_support_heat,32,0.35,1.0,177,155521,13,0.016480864956974983,0.01875942014157772,0.02043747901916504,0.136642853906082,0.14262343018588552,3.5714123249053955,7.389166355133057,0.022711755707859993,16.083216621074826
