dataset,model,seed,method,n_train,n_val,n_test,n_num,n_support_fields,support_levels,parameters,target_parameters,matched_width,matched_ft_feedforward_width,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_support_gate,train_seconds
maps-routing,mlp,20260827,qple,50000,15000,15000,984,109,746,2320069,2317822,129,64,6,0.19443200528621674,0.1659470182806116,0.19651058316230774,0.16683168954520142,0.0,11.531773242168128
maps-routing,mlp,20260827,tple,50000,15000,15000,984,109,746,2320069,2317822,129,64,4,0.19303569197654724,0.16535007040657398,0.1947927474975586,0.16610089303120867,0.0,9.06684810295701
maps-routing,resnet,20260827,qple,50000,15000,15000,984,109,746,2437975,2433918,129,64,7,0.19611576199531555,0.1666640095155742,0.1980677992105484,0.16749140043083782,0.0,14.224226512946188
maps-routing,resnet,20260827,tple,50000,15000,15000,984,109,746,2437975,2433918,129,64,8,0.19335344433784485,0.16548610424343832,0.195199653506279,0.166274288070188,0.0,15.6664644558914
