dataset,model,method,seed,n_fields,parameters,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_identity_gate,mean_frequency_gate,train_seconds
cooking-time,mlp,rank_only,20260827,192,662273,8,0.50002121925354,0.46682831524606844,0.5288896560668945,0.480115259469775,0.0,0.0,12.015067933127284
cooking-time,mlp,bin_identity,20260827,192,662273,8,0.5019350647926331,0.46772086137439667,0.5333541631698608,0.48213739539862627,0.09045114368200302,0.0,28.901944138109684
cooking-time,mlp,exact_identity,20260827,192,662273,5,0.5038850903511047,0.46862853207243993,0.5304830074310303,0.4808379215605325,0.07623390853404999,0.0,22.313058462925255
cooking-time,mlp,mass_identity,20260827,192,662273,5,0.5042885541915894,0.468816111381461,0.5305907130241394,0.4808867320826,0.07307988405227661,0.036218177527189255,22.59906725701876
cooking-time,resnet,rank_only,20260827,192,778369,5,0.5036492943763733,0.46851887051069346,0.532696545124054,0.48184006946843205,0.0,0.0,10.269693815847859
cooking-time,resnet,bin_identity,20260827,192,778369,5,0.5023036003112793,0.4678925370888687,0.5321851968765259,0.4816087489969309,0.03772903233766556,0.0,23.196681224973872
cooking-time,resnet,exact_identity,20260827,192,778369,5,0.5028917193412781,0.4681663714838768,0.5313014388084412,0.48120869797362664,0.051722925156354904,0.0,23.193314416101202
cooking-time,resnet,mass_identity,20260827,192,778369,5,0.5036178827285767,0.46850425996781664,0.5304822325706482,0.48083757038774616,0.04504042863845825,0.03594392538070679,23.97129273787141
cooking-time,ft_transformer,rank_only,20260827,192,258913,8,0.5044538378715515,0.4688929337713876,0.5375339388847351,0.48402290927755454,0.0,0.0,25.401954387081787
cooking-time,ft_transformer,bin_identity,20260827,192,258913,5,0.5052036046981812,0.4692412608204168,0.5358249545097351,0.48325286849792576,0.04003138095140457,0.0,45.238148730946705
cooking-time,ft_transformer,exact_identity,20260827,192,258913,5,0.5107262134552002,0.47179903384413663,0.539685070514679,0.4849904364552879,0.06952860951423645,0.0,42.98497962998226
cooking-time,ft_transformer,mass_identity,20260827,192,258913,5,0.5164328217506409,0.4744275392137579,0.5435745716094971,0.4867349578144627,0.06848828494548798,0.04443587362766266,45.006036618957296
