dataset,model,method,seed,n_fields,parameters,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_identity_gate,mean_frequency_gate,train_seconds
weather,mlp,rank_only,20260828,103,363055,17,0.18348591029644012,1.671139355387884,0.1667860746383667,1.593276682611122,0.0,0.0,23.225127551006153
weather,resnet,rank_only,20260828,103,479151,13,0.18534789979457855,1.6795971971758898,0.1688515841960907,1.6031120419589435,0.0,0.0,24.28562831808813
weather,ft_transformer,rank_only,20260828,103,141967,9,0.18519072234630585,1.6788848859131862,0.17221032083034515,1.6189778033361695,0.0,0.0,25.70031314296648
cooking-time,mlp,rank_only,20260828,192,662273,7,0.5042647123336792,0.46880502885823483,0.5329738259315491,0.48196545757463666,0.0,0.0,17.289754916913807
cooking-time,resnet,rank_only,20260828,192,778369,15,0.502537190914154,0.46800131850718785,0.5376867055892944,0.4840916838483992,0.0,0.0,27.155228247167543
cooking-time,ft_transformer,rank_only,20260828,192,258913,8,0.5037906765937805,0.46858462617593,0.5319218039512634,0.48148955361388757,0.0,0.0,32.415132862050086
