dataset,model,method,seed,selected_columns,n_selected,parameters,target_parameters,matched_width,matched_ft_feedforward_width,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_support_gate,train_seconds
weather,mlp,qple,20260829,46;98;99,3,256917,256212,129,64,12,0.18100394308567047,1.6597983346595484,0.16663335263729095,1.592547052958965,0.0,17.597388902213424
weather,mlp,tple,20260829,46;98;99,3,256917,256212,129,64,12,0.1824638545513153,1.6664785541806055,0.1674436777830124,1.5964145735608168,0.0,15.015784966992214
weather,resnet,qple,20260829,46;98;99,3,371105,372308,128,64,12,0.18243402242660522,1.6663423172574658,0.16816836595535278,1.5998654464797581,0.0,18.232816104078665
weather,resnet,tple,20260829,46;98;99,3,371105,372308,128,64,12,0.18499091267585754,1.6779789334848507,0.1698453724384308,1.6078227369263813,0.0,18.047360345022753
weather,ft_transformer,qple,20260829,46;98;99,3,35109,35124,128,82,15,0.18610569834709167,1.6830272279874894,0.1700945347547531,1.6090016387018462,0.0,34.7282644379884
weather,ft_transformer,tple,20260829,46;98;99,3,35109,35124,128,82,11,0.18527688086032867,1.679275384434719,0.16972513496875763,1.6072535287079548,0.0,26.222491492982954
cooking-time,mlp,qple,20260829,0;170,2,460913,461075,128,64,5,0.5020226836204529,0.46776168275569896,0.5314856171607971,0.48129209747072316,0.0,10.30692829983309
cooking-time,mlp,tple,20260829,0;170,2,460913,461075,128,64,11,0.49944108724594116,0.46655742609593415,0.5295009016990662,0.4803926175249497,0.0,16.14769642497413
cooking-time,resnet,qple,20260829,0;170,2,577009,577171,128,64,5,0.5050104856491089,0.4691515662033062,0.5360867977142334,0.4833709303982165,0.0,11.066793279023841
cooking-time,resnet,tple,20260829,0;170,2,577009,577171,128,64,5,0.504523754119873,0.4689254264362157,0.5339467525482178,0.4824051632375055,0.0,10.780706628924236
cooking-time,ft_transformer,qple,20260829,0;170,2,57685,57715,128,66,15,0.5030010342597961,0.4682172520073916,0.5322022438049316,0.4816164623682984,0.0,40.470700290985405
cooking-time,ft_transformer,tple,20260829,0;170,2,57685,57715,128,66,10,0.5017719864845276,0.46764487413169537,0.5310013890266418,0.4810727987030511,0.0,30.247601345181465
