dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
higgs-small,binclass,mlp,20260827,quantile_ple,32,0.35,1.0,776,116097,7,0.5155619821704479,0.5446215979913854,0.5466664518584142,0.7183333333333334,0.7175333333333334,0.059493537992239,11.766063690185547,0.04821469262242317,17.49125214293599
higgs-small,binclass,mlp,20260827,adaptive_support_ple,32,0.35,1.0,776,116097,7,0.5155619821704479,0.5446215979913854,0.5466664518584142,0.7183333333333334,0.7175333333333334,0.059493537992239,11.766063690185547,0.04821469262242317,17.436903017107397
higgs-small,binclass,mlp,20260827,adaptive_support_spectral,32,0.35,1.0,776,116097,2,0.5096567419291904,0.5838285522762546,0.5857076429300525,0.6862,0.6825333333333333,0.07864796370267868,8.478832244873047,0.04825299233198166,9.261799476109445
higgs-small,binclass,mlp,20260827,adaptive_support_heat,32,0.35,1.0,776,116097,3,0.4946843026636952,0.5733267685449639,0.5770803458519826,0.6970666666666666,0.6943333333333334,0.05256912484765053,9.427386283874512,0.048203032463788986,10.715784579981118
higgs-small,binclass,resnet,20260827,quantile_ple,32,0.35,1.0,776,232193,9,0.49251012027189217,0.541091813506388,0.5474383995615862,0.7185333333333334,0.7156666666666667,0.4649626314640045,12.684000015258789,0.04826854541897774,15.32443448714912
higgs-small,binclass,resnet,20260827,adaptive_support_ple,32,0.35,1.0,776,232193,9,0.49251012027189217,0.541091813506388,0.5474383995615862,0.7185333333333334,0.7156666666666667,0.4649626314640045,12.684000015258789,0.04826854541897774,18.060938308015466
higgs-small,binclass,resnet,20260827,adaptive_support_spectral,32,0.35,1.0,776,232193,2,0.47224912423972587,0.5925079252831587,0.5976262260078906,0.686,0.6764,0.5005890727043152,7.883373737335205,0.04827149584889412,10.785678948974237
higgs-small,binclass,resnet,20260827,adaptive_support_heat,32,0.35,1.0,776,232193,2,0.4814506955304233,0.5761721309131534,0.5841142427572473,0.6928666666666666,0.6898666666666666,0.5421496629714966,7.806601524353027,0.048268236219882965,11.496362297097221
house,regression,mlp,20260827,quantile_ple,32,0.35,1.0,439,72961,14,0.2453184872865677,0.3496869206428528,0.37140390276908875,30815.34281474189,31757.809293520404,0.374506413936615,9.463387489318848,0.03633858636021614,7.080002777976915
house,regression,mlp,20260827,adaptive_support_ple,32,0.35,1.0,445,73729,16,0.24130398035049438,0.3501686751842499,0.3884890377521515,30836.560191127006,32480.048040219583,0.3924672603607178,9.839313507080078,0.03656301647424698,8.27378604002297
house,regression,mlp,20260827,adaptive_support_spectral,32,0.35,1.0,445,73729,7,0.10271409153938293,0.4569638967514038,0.46897050738334656,35226.398403301835,35686.1796639571,0.3270571529865265,8.211734771728516,0.036569688469171524,4.723062901059166
house,regression,mlp,20260827,adaptive_support_heat,32,0.35,1.0,445,73729,7,0.19049301743507385,0.41445857286453247,0.43774649500846863,33548.094923715806,34477.72723484342,0.2660991847515106,8.643818855285645,0.03525263071060181,5.188811148982495
house,regression,resnet,20260827,quantile_ple,32,0.35,1.0,439,189057,10,0.2465444654226303,0.350290983915329,0.39814338088035583,30841.94606883917,32881.15305182035,7.791762351989746,7.401309013366699,0.036347728222608566,7.592757436912507
house,regression,resnet,20260827,adaptive_support_ple,32,0.35,1.0,445,189825,10,0.247159942984581,0.36732161045074463,0.4093937873840332,31582.79311621515,33342.48112164554,4.987440586090088,7.473492622375488,0.03657451272010803,4.746965182945132
house,regression,resnet,20260827,adaptive_support_spectral,32,0.35,1.0,445,189825,7,0.07741239666938782,0.4698284864425659,0.5106776356697083,35718.80864052358,37239.23197933147,1.8640546798706055,7.240577220916748,0.036573801189661026,2.7155095050111413
house,regression,resnet,20260827,adaptive_support_heat,32,0.35,1.0,445,189825,3,0.24340064823627472,0.4225105047225952,0.45733222365379333,33872.40614030184,35240.59301757207,2.214909315109253,6.939702987670898,0.03562042862176895,1.9216228649020195
microsoft,regression,mlp,20260827,quantile_ple,32,0.35,1.0,2305,311809,11,0.7862268090248108,0.8544057011604309,0.8717092275619507,0.7576521843594222,0.7652857880899688,0.4360385537147522,14.410426139831543,0.08300253003835678,29.90998109895736
microsoft,regression,mlp,20260827,adaptive_support_ple,32,0.35,1.0,2576,346497,7,0.805851936340332,0.8567002415657043,0.8776018619537354,0.7586688777591846,0.7678680232149588,0.4842204451560974,12.409737586975098,0.08722523599863052,20.647774301003665
microsoft,regression,mlp,20260827,adaptive_support_spectral,32,0.35,1.0,2576,346497,1,0.7919597029685974,0.884128212928772,0.8971561193466187,0.7707178915184159,0.7763755142516828,0.6542575359344482,8.5493803024292,0.08786991983652115,11.111698476830497
microsoft,regression,mlp,20260827,adaptive_support_heat,32,0.35,1.0,2576,346497,1,0.8103411197662354,0.8702812790870667,0.8878363370895386,0.7646587213054445,0.7723324358135599,0.43808478116989136,8.527697563171387,0.08378584682941437,11.202069849008694
microsoft,regression,resnet,20260827,quantile_ple,32,0.35,1.0,2305,427905,13,0.7917333841323853,0.8517031073570251,0.8635443449020386,0.7564529649365213,0.7616933085574686,13.439143180847168,16.75244903564453,0.08314162492752075,36.552247514016926
microsoft,regression,resnet,20260827,adaptive_support_ple,32,0.35,1.0,2576,462593,15,0.7874562740325928,0.8512241244316101,0.8663293123245239,0.7562402459042019,0.7629205713254663,23.68301010131836,19.515413284301758,0.08737446367740631,37.290541088208556
microsoft,regression,resnet,20260827,adaptive_support_spectral,32,0.35,1.0,2576,462593,1,0.7841807007789612,0.8859103918075562,0.897812008857727,0.7714943111007813,0.7766592699107804,3.5344226360321045,8.022513389587402,0.08792063593864441,12.605996441096067
microsoft,regression,resnet,20260827,adaptive_support_heat,32,0.35,1.0,2576,462593,1,0.8132175803184509,0.8755214810371399,0.8924102783203125,0.7669573473393427,0.7743193116992657,3.8174245357513428,7.802179336547852,0.08445895463228226,12.771243568044156
otto,multiclass,mlp,20260827,quantile_ple,32,0.35,1.0,390,67721,18,0.38324477166934406,0.5131172944743984,0.5112113744531742,0.8036561963438037,0.8000969618616678,0.09000210464000702,28.630016326904297,0.03422606736421585,22.481354492949322
otto,multiclass,mlp,20260827,adaptive_support_ple,32,0.35,1.0,390,67721,18,0.38324477166934406,0.5131172944743984,0.5112113744531742,0.8036561963438037,0.8000969618616678,0.09000210464000702,28.630016326904297,0.03422606736421585,22.820296679856256
otto,multiclass,mlp,20260827,adaptive_support_spectral,32,0.35,1.0,390,67721,18,0.38324477166934406,0.5131172944743984,0.5112113744531742,0.8036561963438037,0.8000969618616678,0.09000210464000702,28.630016326904297,0.03422606736421585,15.096746196970344
otto,multiclass,mlp,20260827,adaptive_support_heat,32,0.35,1.0,390,67721,18,0.38324477166934406,0.5131172944743984,0.5112113744531742,0.8036561963438037,0.8000969618616678,0.09000210464000702,28.630016326904297,0.03422606736421585,10.678016980178654
otto,multiclass,resnet,20260827,quantile_ple,32,0.35,1.0,390,183817,5,0.41657459254773355,0.5294568519772354,0.515839842512915,0.8026461973538026,0.8008241758241759,1.7003620862960815,10.418180465698242,0.034277576953172684,5.648759393021464
otto,multiclass,resnet,20260827,adaptive_support_ple,32,0.35,1.0,390,183817,5,0.41657459254773355,0.5294568519772354,0.515839842512915,0.8026461973538026,0.8008241758241759,1.7003620862960815,10.418180465698242,0.034277576953172684,5.864187812898308
otto,multiclass,resnet,20260827,adaptive_support_spectral,32,0.35,1.0,390,183817,5,0.41657459254773355,0.5294568519772354,0.515839842512915,0.8026461973538026,0.8008241758241759,1.7003620862960815,10.418180465698242,0.034277576953172684,5.997865153010935
otto,multiclass,resnet,20260827,adaptive_support_heat,32,0.35,1.0,390,183817,5,0.41657459254773355,0.5294568519772354,0.515839842512915,0.8026461973538026,0.8008241758241759,1.7003620862960815,10.418180465698242,0.034277576953172684,5.640137828188017
