dataset,task,model,seed,method,strength,target_parameters,input_features,tokens,d_ff,parameters,parameter_error_fraction,best_epoch,val_loss,test_loss,val_metric,test_metric,train_seconds
california,regression,ft,20260850,raple_raw,1.0,84097,276,9,123,84151,0.000642115652163573,18,0.15578322112560272,0.15079988539218903,0.4580778173554698,0.45069155805394345,5.995847170939669
california,regression,ft,20260850,anchor_only,1.0,84097,255,9,128,84097,0.0,18,0.1541532725095749,0.14752830564975739,0.4556751074792835,0.4457759400223331,5.989567440934479
california,regression,ft,20260850,anchor_product_mass,1.0,84097,256,10,128,84225,0.0015220519162395805,18,0.15317906439304352,0.14612673223018646,0.45423294889396715,0.44365336067456695,6.180791988968849
california,regression,ft,20260850,anchor_product_riesz,1.0,84097,256,10,128,84225,0.0015220519162395805,18,0.1529332995414734,0.14615632593631744,0.45386842294767504,0.443698290858098,5.87866624398157
california,regression,ft,20260850,anchor_product_wrong,1.0,84097,256,10,128,84225,0.0015220519162395805,18,0.15280233323574066,0.14593935012817383,0.4536740367802814,0.44336880284553715,6.093099205987528
california,regression,ft,20260850,anchor_product_isospectral,1.0,84097,256,10,128,84225,0.0015220519162395805,18,0.15321141481399536,0.14617854356765747,0.4542809228466673,0.44373201443696075,6.103852038970217
california,regression,ft,20260851,raple_raw,1.0,84097,276,9,123,84151,0.000642115652163573,23,0.15964139997959137,0.15270647406578064,0.46371560421074776,0.4535317059833375,6.151529176859185
california,regression,ft,20260851,anchor_only,1.0,84097,255,9,128,84097,0.0,16,0.15510548651218414,0.14796225726604462,0.4570803257751379,0.4464310767477073,5.444659937173128
california,regression,ft,20260851,anchor_product_mass,1.0,84097,256,10,128,84225,0.0015220519162395805,16,0.1551235318183899,0.14718323945999146,0.45710688957879597,0.4452542794926835,5.855432117125019
california,regression,ft,20260851,anchor_product_riesz,1.0,84097,256,10,128,84225,0.0015220519162395805,16,0.15450221300125122,0.14699986577033997,0.4561905421174508,0.44497684685057237,5.712785275885835
california,regression,ft,20260851,anchor_product_wrong,1.0,84097,256,10,128,84225,0.0015220519162395805,16,0.1546400785446167,0.14672081172466278,0.4563940250040659,0.4445542817603503,5.624452235177159
california,regression,ft,20260851,anchor_product_isospectral,1.0,84097,256,10,128,84225,0.0015220519162395805,16,0.15521468222141266,0.14744850993156433,0.45724116130509884,0.44565536525729144,5.393734185025096
california,regression,ft,20260852,raple_raw,1.0,84097,276,9,123,84151,0.000642115652163573,16,0.15702968835830688,0.15358728170394897,0.45990677674327074,0.4548377942514783,6.481424679048359
california,regression,ft,20260852,anchor_only,1.0,84097,255,9,128,84097,0.0,16,0.1577053815126419,0.15106432139873505,0.4608952061926672,0.4510865562802131,5.629425134044141
california,regression,ft,20260852,anchor_product_mass,1.0,84097,256,10,128,84225,0.0015220519162395805,16,0.15468695759773254,0.1463729441165924,0.4564632015760921,0.4440269487517945,5.4535160548985
california,regression,ft,20260852,anchor_product_riesz,1.0,84097,256,10,128,84225,0.0015220519162395805,16,0.15451736748218536,0.14649473130702972,0.4562129207385013,0.44421165019910447,5.549683838151395
california,regression,ft,20260852,anchor_product_wrong,1.0,84097,256,10,128,84225,0.0015220519162395805,16,0.15470251441001892,0.14638036489486694,0.4564861681980048,0.44403822453303476,5.470585003029555
california,regression,ft,20260852,anchor_product_isospectral,1.0,84097,256,10,128,84225,0.0015220519162395805,16,0.15506190061569214,0.14741992950439453,0.4570160953280116,0.44561216448806107,5.54487527301535
