dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
adult,binclass,mlp,20260826,quantile_ple,32,0.35,1.0,190,41089,13,0.2904659988125714,0.3022246152118567,0.3040406981271118,0.8562874251497006,0.859,0.13178172707557678,10.590888977050781,0.023440657183527946,6.861302735982463
adult,binclass,mlp,20260826,support_ple,32,0.35,1.0,209,43521,25,0.26963830904581015,0.29180231608009316,0.29483918536808723,0.8651926915399969,0.8646,0.10993534326553345,14.089941024780273,0.02458551526069641,8.629820486996323
adult,binclass,mlp,20260826,support_spectral,32,0.35,1.0,209,43521,5,0.2626418584576264,0.2870383311370053,0.2857866585458733,0.8670351604483341,0.8698,0.050166577100753784,8.574379920959473,0.024639643728733063,3.7295789439231157
adult,binclass,mlp,20260826,support_heat,32,0.35,1.0,209,43521,11,0.2573180160674125,0.2908422324930785,0.2931893604643039,0.8647320743129127,0.8646,0.04269789531826973,11.631735801696777,0.024112751707434654,5.814344577025622
adult,binclass,resnet,20260826,quantile_ple,32,0.35,1.0,190,157185,8,0.28187144723486035,0.30515497332592645,0.30648025355488107,0.8584369722094273,0.86,1.6185142993927002,7.825104236602783,0.02351941354572773,5.346607096027583
adult,binclass,resnet,20260826,support_ple,32,0.35,1.0,209,159617,8,0.2720535353650744,0.29144566777717246,0.2950964563708538,0.8641179180101336,0.8659333333333333,1.1829549074172974,7.904215335845947,0.0247022844851017,5.690294845961034
adult,binclass,resnet,20260826,support_spectral,32,0.35,1.0,209,159617,3,0.2675921721787292,0.29746752432810375,0.2971704373036466,0.8584369722094273,0.8628666666666667,0.42033305764198303,6.988255977630615,0.024705853313207626,3.653744021896273
adult,binclass,resnet,20260826,support_heat,32,0.35,1.0,209,159617,5,0.25954957923924105,0.2967963438113994,0.30209452902380973,0.8572086596038692,0.8577333333333333,0.5093398690223694,7.553431034088135,0.024320300668478012,4.484578709118068
diamond,regression,mlp,20260826,quantile_ple,32,0.35,1.0,184,40321,18,0.01981058530509472,0.02003588154911995,0.02136537805199623,0.14121519339050792,0.14582517386351057,0.5172669887542725,10.039042472839355,0.02344811148941517,10.427371695870534
diamond,regression,mlp,20260826,support_ple,32,0.35,1.0,176,39297,24,0.02014966309070587,0.019967179745435715,0.022162476554512978,0.14097287581001794,0.1485204886640208,0.6134679913520813,10.793852806091309,0.022916100919246674,10.953518208116293
diamond,regression,mlp,20260826,support_spectral,32,0.35,1.0,176,39297,20,0.015711339190602303,0.01994989812374115,0.021377721801400185,0.1409118652977277,0.14586728955096628,0.3488576412200928,9.405427932739258,0.0229216068983078,11.138168395031244
diamond,regression,mlp,20260826,support_heat,32,0.35,1.0,176,39297,24,0.016391921788454056,0.01839495450258255,0.02003033086657524,0.1353089625229762,0.14119562959075793,0.30993032455444336,9.767969131469727,0.022185204550623894,10.956851468188688
diamond,regression,resnet,20260826,quantile_ple,32,0.35,1.0,184,156417,15,0.0182209350168705,0.018561147153377533,0.0202365480363369,0.13591882978813086,0.14192059027359072,5.193212985992432,7.865157127380371,0.023454366251826286,11.13774341181852
diamond,regression,resnet,20260826,support_ple,32,0.35,1.0,176,155393,21,0.01723768375813961,0.01790902018547058,0.020703423768281937,0.13350979165311117,0.14354838463622333,8.83530044555664,8.082752227783203,0.02292526327073574,12.797573816031218
diamond,regression,resnet,20260826,support_spectral,32,0.35,1.0,176,155393,9,0.018292877823114395,0.0222163125872612,0.024399759247899055,0.14870075510457426,0.15583678485836572,2.3516716957092285,7.451803207397461,0.02292550727725029,7.426836868049577
diamond,regression,resnet,20260826,support_heat,32,0.35,1.0,176,155393,17,0.014710525050759315,0.019556084647774696,0.02060701511800289,0.13951412397546825,0.14321376338350866,2.8452329635620117,7.770153045654297,0.022340646013617516,11.99829822499305
california,regression,mlp,20260826,quantile_ple,32,0.35,1.0,254,49281,25,0.15760351717472076,0.18358434736728668,0.18234647810459137,0.49727516542125016,0.4955958003704559,0.3101212680339813,9.360265731811523,0.027466224506497383,3.594542163889855
california,regression,mlp,20260826,support_ple,32,0.35,1.0,249,48641,25,0.1585579663515091,0.1818799078464508,0.18102407455444336,0.49496134744011755,0.49379548008347385,0.30248233675956726,9.570378303527832,0.02719363383948803,4.271990980021656
california,regression,mlp,20260826,support_spectral,32,0.35,1.0,249,48641,10,0.08461401611566544,0.1906505823135376,0.19391250610351562,0.5067549499102917,0.5110717063578711,0.24487608671188354,7.644772529602051,0.027207396924495697,2.7239183250349015
california,regression,mlp,20260826,support_heat,32,0.35,1.0,249,48641,14,0.09791931509971619,0.17454032599925995,0.17182719707489014,0.484871702292093,0.48108840097969363,0.20494283735752106,8.873725891113281,0.02622315101325512,3.294787839986384
california,regression,resnet,20260826,quantile_ple,32,0.35,1.0,254,165377,18,0.10972397774457932,0.1750318706035614,0.18273676931858063,0.48555395623370146,0.49612590044189275,2.78676438331604,7.320687294006348,0.027478471398353577,4.756112060975283
california,regression,resnet,20260826,support_ple,32,0.35,1.0,249,164737,13,0.1465969979763031,0.18756936490535736,0.1860230565071106,0.5026433019987699,0.5005671055425474,9.996316909790039,7.155735015869141,0.027209725230932236,3.786450643092394
california,regression,resnet,20260826,support_spectral,32,0.35,1.0,249,164737,8,0.06673108041286469,0.20441366732120514,0.20309679210186005,0.5247275767352768,0.5230346530763654,1.7229090929031372,6.804363250732422,0.027210745960474014,2.808786554960534
california,regression,resnet,20260826,support_heat,32,0.35,1.0,249,164737,7,0.08215232193470001,0.1847543567419052,0.18452571332454681,0.49885723362348955,0.49854846399425057,2.070833206176758,6.939525604248047,0.026449337601661682,2.651622082106769
churn,binclass,mlp,20260826,quantile_ple,32,0.35,1.0,163,37633,24,0.3240197203130572,0.34903437610800425,0.3616414881474691,0.860625,0.854,0.16642367839813232,8.804780006408691,0.02202177606523037,2.2293084589764476
churn,binclass,mlp,20260826,support_ple,32,0.35,1.0,164,37761,24,0.32292271574673875,0.3425447534503336,0.3561437281741059,0.863125,0.852,0.17274247109889984,8.611502647399902,0.022084323689341545,1.7302388940006495
churn,binclass,mlp,20260826,support_spectral,32,0.35,1.0,164,37761,7,0.3056589380010665,0.39353389961318114,0.4026651497625555,0.84875,0.8415,0.050311919301748276,7.30258846282959,0.021846774965524673,0.8245901002082974
churn,binclass,mlp,20260826,support_heat,32,0.35,1.0,164,37761,7,0.31864933927570904,0.3626476430636785,0.37210159091212525,0.851875,0.846,0.033299993723630905,7.4699482917785645,0.019778644666075706,1.0409103510901332
churn,binclass,resnet,20260826,quantile_ple,32,0.35,1.0,163,153729,11,0.3042501714556434,0.3474172893638038,0.3657948261222599,0.8625,0.853,0.8965441584587097,6.97782039642334,0.02204359509050846,1.8086217159871012
churn,binclass,resnet,20260826,support_ple,32,0.35,1.0,164,153857,8,0.3290465978193414,0.3492128779759506,0.3618275486577231,0.86,0.852,1.3509601354599,6.894670486450195,0.02211068384349346,1.0926840289030224
churn,binclass,resnet,20260826,support_spectral,32,0.35,1.0,164,153857,4,0.2956077656857455,0.3665399830276463,0.38482071629974246,0.851875,0.841,0.31358012557029724,6.623108386993408,0.022020496428012848,0.8386282711289823
churn,binclass,resnet,20260826,support_heat,32,0.35,1.0,164,153857,3,0.31139429284952114,0.35496166690836056,0.3774072116595339,0.858125,0.846,0.34510302543640137,6.604730129241943,0.01993250474333763,0.9634269999805838
black-friday,regression,mlp,20260826,quantile_ple,32,0.35,1.0,58,24193,25,0.5081737041473389,0.5199548006057739,0.5270201563835144,0.7201373340339359,0.7250135918863236,0.07072912156581879,11.59223747253418,0.01325114257633686,8.465681160800159
black-friday,regression,mlp,20260826,support_ple,32,0.35,1.0,72,25985,25,0.47963953018188477,0.4907529950141907,0.49396494030952454,0.6996228469477757,0.7019086169988498,0.09282772988080978,10.181434631347656,0.014588824473321438,13.13196146581322
black-friday,regression,mlp,20260826,support_spectral,32,0.35,1.0,72,25985,13,0.4636676609516144,0.48411276936531067,0.4882625341415405,0.694873559785222,0.6978453763437216,0.1734618991613388,7.849112033843994,0.014705446548759937,9.362419632961974
black-friday,regression,mlp,20260826,support_heat,32,0.35,1.0,72,25985,25,0.4614867568016052,0.4834546148777008,0.4863925278186798,0.6944010359521684,0.6965077493529748,0.11199405044317245,15.747397422790527,0.014523769728839397,12.547211352037266
black-friday,regression,resnet,20260826,quantile_ple,32,0.35,1.0,58,140289,11,0.4583847224712372,0.4939887821674347,0.497869610786438,0.7019255821402481,0.7046773876018761,1.0107618570327759,7.552369594573975,0.013255253434181213,6.74369264091365
black-friday,regression,resnet,20260826,support_ple,32,0.35,1.0,72,142081,11,0.4542982280254364,0.48901259899139404,0.48945534229278564,0.6983811771778505,0.6986972645491676,1.7956490516662598,7.409013748168945,0.014605283737182617,10.245120435021818
black-friday,regression,resnet,20260826,support_spectral,32,0.35,1.0,72,142081,6,0.45822054147720337,0.48574233055114746,0.48810014128685,0.6960420711032924,0.6977293585872815,1.2628432512283325,6.870335102081299,0.014707822352647781,6.9703807041514665
black-friday,regression,resnet,20260826,support_heat,32,0.35,1.0,72,142081,6,0.4572095274925232,0.4876035451889038,0.4898884892463684,0.697374340680966,0.6990063872834895,1.4297245740890503,7.9280781745910645,0.014590145088732243,7.313192615052685
higgs-small,binclass,mlp,20260826,quantile_ple,32,0.35,1.0,776,116097,9,0.5096614387493335,0.5433599764811264,0.5491422628590643,0.7163333333333334,0.7138,0.04137866944074631,12.878872871398926,0.04801671952009201,9.605419892119244
