dataset,model,seed,method,n_train,n_val,n_test,n_num,n_bin,n_cat,n_cyclic,n_bins,d_token,alignment_weight,parameters,best_epoch,val_loss,val_rmse,val_primary_loss,val_secondary_loss,test_loss,test_rmse,test_primary_loss,test_secondary_loss,alignment_invariance_last,alignment_variance_last,alignment_covariance_last,train_seconds
cooking-time,ft_transformer,20260827,ple,50000,15000,15000,186,3,3,3,16,16,0.01,57553,19,0.5057091116905212,0.46947596365023136,0.5057091116905212,0.5057091116905212,0.5355851054191589,0.4831446981581695,0.5355851054191589,0.5355851054191589,0.0,0.0,0.0,61.258688162080944
cooking-time,ft_transformer,20260827,multiview_noalign,50000,15000,15000,186,3,3,3,16,16,0.01,108481,5,0.5143687129020691,0.47347848010894106,0.5063509941101074,0.5358501076698303,0.5462342500686646,0.4879242875428899,0.5353357195854187,0.571269690990448,0.0,0.0,0.0,33.10891867894679
cooking-time,ft_transformer,20260827,multiview_vicreg,50000,15000,15000,186,3,3,3,16,16,0.01,108481,11,0.5200009346008301,0.4760636640043786,0.5161091685295105,0.5318436026573181,0.5550393462181091,0.4918411465121716,0.5484765768051147,0.5697987675666809,0.07584648579359055,0.020478514954447746,2.385533332824707,55.55213374621235
cooking-time,ft_transformer,20260827,multiview_wrong,50000,15000,15000,186,3,3,3,16,16,0.01,108481,11,0.5191863179206848,0.47569062486425356,0.5150339007377625,0.5312172770500183,0.553922712802887,0.49134615208905985,0.5473645925521851,0.5688202977180481,0.0822581946849823,0.02591778337955475,2.375467300415039,55.43495578481816
