dataset,model,method,seed,n_fields,anchor_parameters,anchor_target_parameters,anchor_width,anchor_ft_feedforward_width,anchor_best_epoch,anchor_val_loss,anchor_val_rmse,anchor_test_loss,anchor_test_rmse,residual_target_parameters,residual_parameters,residual_parameter_difference,matched_width,matched_ft_feedforward_width,residual_best_epoch,val_loss,val_rmse,val_anchor_loss,val_anchor_rmse,test_loss,test_rmse,test_anchor_loss,test_anchor_rmse,residual_gate,residual_train_seconds,q_gate_abs_mean,q_gate_nonzero,rank_gate_abs_mean,rank_gate_nonzero,total_train_seconds
weather,mlp,frozen_t_anchor_field_gated_chart_residual,20260827,103,258827,257946,130,64,8,0.18411517143249512,1.6740024716748352,0.1723611056804657,1.6196864249543013,283026,283232,206,128,64,8,0.18196870386600494,1.664215863393998,0.18411517143249512,1.6740024716748352,0.1684584766626358,1.601244832229664,0.1723611056804657,1.6196864249543013,-0.04626425728201866,22.105521844001487,0.029645860195159912,103,0.027168529108166695,103,36.4076449428685
weather,resnet,frozen_t_anchor_field_gated_chart_residual,20260827,103,374823,374042,129,64,20,0.18323825299739838,1.6700111771905417,0.16931045055389404,1.6052888503499507,399122,399328,206,128,64,4,0.18060524761676788,1.657969316806122,0.18323825299739838,1.6700111771905417,0.16614706814289093,1.5902215978334127,0.16931045055389404,1.6052888503499507,0.03194577246904373,18.303197925910354,0.010712218470871449,103,0.009759887121617794,103,41.71627932111733
weather,ft_transformer,frozen_t_anchor_field_gated_chart_residual,20260827,103,36825,36858,128,108,14,0.1835496872663498,1.6714297617313398,0.17054957151412964,1.6111524011628602,61938,61946,8,128,61,1,0.18338093161582947,1.670661228471984,0.1835496872663498,1.6714297617313398,0.1704554557800293,1.6107077922586261,0.17054957151412964,1.6111524011628602,0.03177502006292343,20.51591241802089,0.01973225735127926,103,0.018436146900057793,103,55.9714178100694
cooking-time,mlp,frozen_t_anchor_field_gated_chart_residual,20260827,192,467579,467821,130,64,12,0.5018068552017212,0.4676611224417131,0.5307167768478394,0.4809438559808424,513138,513522,384,128,64,2,0.5001569986343384,0.4668916939134896,0.5018068552017212,0.4676611224417131,0.5325515866279602,0.4817745053448903,0.5307167768478394,0.4809438559808424,0.02018284797668457,14.325827585998923,0.007612869143486023,192,0.007069665007293224,192,32.28069112682715
cooking-time,resnet,frozen_t_anchor_field_gated_chart_residual,20260827,192,582151,583917,129,64,5,0.5038467049598694,0.46861068193905553,0.5302237272262573,0.48072039942460915,629234,629618,384,128,64,10,0.5036678910255432,0.4685275201809451,0.5038467049598694,0.46861068193905553,0.5316569805145264,0.48136968111393225,0.5302237272262573,0.48072039942460915,-0.027081787586212158,33.43290869402699,0.03910928964614868,192,0.03940477967262268,192,47.71693849703297
cooking-time,ft_transformer,frozen_t_anchor_field_gated_chart_residual,20260827,192,64483,64461,128,169,8,0.5045794248580933,0.46895129707595057,0.5363239049911499,0.4834778142978588,109778,109766,-12,128,58,9,0.5024045705795288,0.4679395612999715,0.5045794248580933,0.46895129707595057,0.5328370928764343,0.481903630113824,0.5363239049911499,0.4834778142978588,0.050317585468292236,49.67718675499782,0.05344901978969574,192,0.045971132814884186,192,79.25215874705464
delivery-eta,mlp,frozen_t_anchor_field_gated_chart_residual,20260827,223,541323,540302,130,64,8,0.5989768505096436,0.565668668705837,0.5695922374725342,0.5516188984961852,594322,594768,446,128,64,4,0.5987463593482971,0.5655598212823783,0.5989768505096436,0.565668668705837,0.5679084658622742,0.5508029747503546,0.5695922374725342,0.5516188984961852,-0.020103223621845245,17.062652660999447,0.008076288737356663,223,0.007628811057657003,223,30.79082426102832
delivery-eta,resnet,frozen_t_anchor_field_gated_chart_residual,20260827,223,655399,656398,129,64,10,0.6022544503211975,0.5672142260313657,0.5654146075248718,0.5495922726793098,710418,710864,446,128,64,1,0.6022152900695801,0.5671957848119711,0.6022544503211975,0.5672142260313657,0.5653918385505676,0.5495812066596579,0.5654146075248718,0.5495922726793098,0.007314314600080252,12.771380414953455,0.01537673082202673,223,0.014922767877578735,223,30.80780585319735
delivery-eta,ft_transformer,frozen_t_anchor_field_gated_chart_residual,20260827,223,73483,73454,128,165,7,0.6035878658294678,0.567841796380092,0.5801048278808594,0.556686059213726,127474,127458,-16,128,57,0,0.6035878658294678,0.567841796380092,0.6035878658294678,0.567841796380092,0.5801048278808594,0.556686059213726,0.5801048278808594,0.556686059213726,0.0,17.917113933013752,0.0,0,0.0,0,43.644939261022955
maps-routing,mlp,frozen_t_anchor_field_gated_chart_residual,20260827,986,2320069,2317822,129,64,4,0.19303569197654724,0.16535007040657398,0.1947927474975586,0.16610089303120867,2572226,2574198,1972,128,64,5,0.19142180681228638,0.16465741058633895,0.19303569197654724,0.16535007040657398,0.19257843494415283,0.16515411620503193,0.1947927474975586,0.16610089303120867,0.02856663428246975,29.53543366282247,0.010716790333390236,986,0.008464709855616093,986,47.56219594599679
maps-routing,resnet,frozen_t_anchor_field_gated_chart_residual,20260827,986,2437975,2433918,129,64,8,0.19335344433784485,0.16548610424343832,0.195199653506279,0.166274288070188,2688322,2690294,1972,128,64,1,0.19277620315551758,0.16523889686300788,0.19335344433784485,0.16548610424343832,0.1945277452468872,0.16598787010859295,0.195199653506279,0.166274288070188,0.014426928013563156,19.819399968953803,0.010227205231785774,986,0.009483671747148037,986,44.37304186588153
