dataset,cells,wins_vs_qple,wins_vs_tple,wins_vs_both,mean_gain_vs_qple_pct,mean_gain_vs_tple_pct,mean_gain_vs_rank_pct,descriptive_test_gain_vs_best_typed_pct
cooking-time,9,9,9,9,0.23124990841834997,0.17705550782899626,0.15482617987280914,-0.02269326407068555
delivery-eta,9,7,9,7,0.1637512825324529,0.26116777597037033,0.1242863027468899,-0.17746314445344813
maps-routing,6,5,3,3,0.4190509653722072,-0.10750295408847742,0.17801368328489517,-0.09992878025342981
weather,9,8,7,7,0.5188832738054889,0.6932970815298404,0.935969712712216,0.6840563095919661
