task,dataset,model,seed,anchor_parameters,residual_budget,combined_budget,second_parameters,second_matched_width,second_matched_ft_feedforward_width,second_best_epoch,second_train_seconds,second_val_log_loss,second_val_auc,second_val_accuracy,second_test_log_loss,second_test_auc,second_test_accuracy,ensemble_val_log_loss,ensemble_val_auc,ensemble_val_accuracy,ensemble_test_log_loss,ensemble_test_auc,ensemble_test_accuracy,wide_parameters,wide_matched_width,wide_matched_ft_feedforward_width,wide_best_epoch,wide_train_seconds,wide_val_log_loss,wide_val_auc,wide_val_accuracy,wide_test_log_loss,wide_test_auc,wide_test_accuracy
classification,openml-electricity-151,mlp,20260827,35963,37362,73325,37543,134,64,40,17.80251030693762,0.36396775303531254,0.9142226017226018,0.8267681783074037,0.36771412910875384,0.9124573684976369,0.8305196954650778,0.36063738915905635,0.916086477915337,0.8301886792452831,0.36209609418116384,0.9155157489889032,0.8341608738828202,73093,209,64,36,18.594367587007582,0.36630019292362126,0.9129163236545788,0.8251130972084298,0.36235857343148553,0.9152823346615293,0.8331678252234359
classification,openml-electricity-151,resnet,20260827,151281,153458,304739,153479,129,64,22,17.689098632894456,0.33419119164877165,0.9308362053328496,0.852256427231601,0.33156952253387106,0.9321337627545682,0.8561182831292067,0.3104649867362861,0.9399576774576774,0.864614366103939,0.30954852746721456,0.9405240211448266,0.8639523336643495,305213,186,64,21,18.447667956119403,0.33204258294179245,0.9335107029737901,0.8524771047114642,0.32822669078019606,0.9351584566349667,0.8574423480083857
classification,openml-electricity-151,ft_transformer,20260827,9449,10834,20283,10835,128,97,36,43.973383656935766,0.3638146448034481,0.914916092432871,0.8328368090036412,0.36233660600147083,0.915721755570749,0.8362573099415205,0.3564259055204341,0.9183414626367646,0.8358159549817941,0.35235290510487355,0.9205252868843473,0.8416639081981684,20273,128,240,35,44.164880324853584,0.3625020883960102,0.9158882451667687,0.8342712126227518,0.36011682824787095,0.9171271500130561,0.8370296811210416
classification,openml-bank-marketing-1461,mlp,20260827,55415,56642,112057,56473,136,64,20,16.332136193988845,0.19816853359529835,0.9335466182838266,0.907100199071002,0.1907563779506604,0.9379596431399612,0.9121972796638284,0.1960786260245031,0.9349178034708359,0.90687900906879,0.18966359170607677,0.9390598274411023,0.9128607762910539,112363,226,64,16,11.83072556112893,0.19899682302653499,0.9328498679779218,0.9038929440389294,0.1892052824833374,0.9389189678662615,0.9141877695455048
classification,openml-bank-marketing-1461,resnet,20260827,170711,172738,343449,173053,130,64,13,14.302842159057036,0.1966981970574151,0.9340247721340601,0.9063260340632603,0.19415841863862324,0.9363921364846421,0.9130819418334624,0.1935929084675553,0.9366117040318822,0.9062154390621544,0.1897922580021181,0.939756845597783,0.9162888421983855,342853,190,64,9,9.990507612004876,0.1973992155373024,0.9343003705899511,0.9033399690333996,0.19136367509786475,0.9391004281420858,0.9120866968926241
classification,openml-bank-marketing-1461,ft_transformer,20260827,12479,13730,26209,13733,128,130,31,42.9444198559504,0.19533878357106405,0.9351035483064428,0.9067684140676842,0.19142826438672692,0.9383787299674603,0.9116443658078072,0.19457361533983572,0.935382639096719,0.9083167440831674,0.18883487206426475,0.9396827463592534,0.9149618489439345,26207,128,319,34,45.286165145924315,0.20357619700698773,0.9294231184486174,0.9044459190444591,0.19608661034990807,0.936238848123786,0.9113126174941945
