dataset,task,column,selected,cardinality,repeat_level_fraction,repeat_row_mass,maximum_level_mass,local_excess_mass,oof_seen_rate,relative_residual_gain,fold_wins
adult,binclass,0,0,73,0.9726027397260274,0.9999232186732187,0.027833230958230957,0.013052825552825553,0.9998080466830467,-0.014248348819855046,0
adult,binclass,2,0,16,1.0,1.0,0.32240479115479115,0.620777027027027,1.0,-0.0035377801127787875,0
adult,binclass,3,1,116,0.9051724137931034,0.9995777027027027,0.9158476658476659,0.05086762899262899,0.9993089680589681,0.027634438639150914,5
adult,binclass,4,1,88,0.8295454545454546,0.99942414004914,0.9540463759213759,0.022612100737100738,0.9991554054054054,0.017882457484065552,5
adult,binclass,5,0,93,0.9354838709677419,0.9997696560196561,0.46571713759213756,0.8732724201474201,0.9996928746928747,-0.009665055939180343,0
california,regression,1,0,52,1.0,1.0,0.061927473692179574,0.04360663184192596,1.0,-0.008293969532510959,0
california,regression,4,0,3378,0.679692125518058,0.918086153380271,0.0015141191611779848,0.14043455219925807,0.8997653115300174,-0.00483010752163353,0
california,regression,6,0,831,0.8592057761732852,0.9911424029071088,0.011507305624952684,0.06298735710500417,0.9875842228783406,-0.005565391494100961,0
california,regression,7,0,795,0.869182389937107,0.9921265803618745,0.00802483155424332,0.06389582860171096,0.9888712241653418,-0.010855643414759851,0
churn,binclass,0,0,451,0.9379157427937915,0.995625,0.02390625,0.09109375,0.9946875,-0.09663920564352836,0
churn,binclass,1,0,67,0.9552238805970149,0.99953125,0.049375,0.011875,0.99921875,-0.0552201993777941,0
churn,binclass,2,0,11,1.0,1.0,0.10984375,0.01546875,1.0,-0.030690108428154127,0
churn,binclass,4,0,4,1.0,1.0,0.50890625,0.48078125,1.0,-0.0057393895168784455,2
diamond,regression,0,0,264,0.9242424242424242,0.9994206425074592,0.04886880449581414,0.20972741229975958,0.9991888995104429,-0.008085303917319746,0
diamond,regression,1,0,174,0.8275862068965517,0.9991309637611888,0.040873671098751486,0.011847860722458792,0.9989281886387996,-0.003549316947547586,0
diamond,regression,2,0,116,0.8275862068965517,0.9994206425074592,0.1819182526578025,0.9774340256655369,0.9991309637611888,-0.0012284039903228243,0
diamond,regression,3,0,533,0.949343339587242,0.9992178673850699,0.008284812143333044,0.030619043480779814,0.9991309637611888,-0.013074274343711676,0
diamond,regression,4,0,531,0.9378531073446328,0.9990440601373077,0.00857449088960343,0.03215434083601286,0.9988123171402914,-0.008704477824553879,0
diamond,regression,5,0,351,0.9344729344729344,0.9993337388835781,0.013904579820978535,0.02129138785087338,0.9992758031343241,-0.010388498936199338,0
house,regression,15,0,1787,0.3340794627867935,0.9183869419107057,0.1852410671421713,0.5281530759207187,0.9129003497702489,-0.005865666330747525,0
black-friday,regression,0,0,21,1.0,1.0,0.1337435839796186,0.29230826870480686,1.0,-0.0003491455029951282,0
black-friday,regression,1,1,12,1.0,1.0,0.5466168371361133,0.07126934172567533,1.0,0.0013053733964016202,5
black-friday,regression,2,0,14,1.0,1.0,0.261136712749616,0.21391105616125286,1.0,-0.00030019456157111333,0
black-friday,regression,3,0,15,1.0,1.0,0.1950189202352853,0.2817991083136638,1.0,-0.0003106466882245533,0
higgs-small,binclass,8,0,3,1.0,1.0,0.4919443514844385,0.08184730123822728,1.0,-0.00010956107309530225,0
higgs-small,binclass,12,0,3,1.0,1.0,0.500661344042326,0.09542477410718554,1.0,-0.00010114431135020136,0
higgs-small,binclass,16,0,3,1.0,1.0,0.5680228203534605,0.21045082946885307,1.0,-3.875799387603043e-05,0
higgs-small,binclass,20,0,3,1.0,1.0,0.6491051935427324,0.3574285668754283,1.0,-1.6129291609228197e-05,1
