task,dataset,model,seed,selected_heterogeneous_pair,anchor_parameters,tt_parameters,q_parameters,rank_active_parameters,tt_val_log_loss,tt_val_auc,tt_val_accuracy,tt_test_log_loss,tt_test_auc,tt_test_accuracy,tq_val_log_loss,tq_val_auc,tq_val_accuracy,tq_test_log_loss,tq_test_auc,tq_test_accuracy,trank_val_log_loss,trank_val_auc,trank_val_accuracy,trank_test_log_loss,trank_test_auc,trank_test_accuracy,tt_val_loss,tt_val_rmse,tt_test_loss,tt_test_rmse,tq_val_loss,tq_val_rmse,tq_test_loss,tq_test_rmse,trank_val_loss,trank_val_rmse,trank_test_loss,trank_test_rmse
classification,openml-magic-telescope-1120,mlp,20260827,tq,39969,39969,39969,39969,0.3026062383219824,0.929387502621603,0.879074658254469,0.30630799132871717,0.9273640191204264,0.8767087276550999,0.29590535745177143,0.9328712038279646,0.8796004206098843,0.2971123360151068,0.9322638405483484,0.879074658254469,0.29686316918817773,0.9317029993562677,0.8830178759200841,0.2993788440108436,0.9305920761519595,0.8777602523659306,,,,,,,,,,,,
classification,openml-magic-telescope-1120,resnet,20260827,tq,156065,156065,156065,156065,0.30177140292350757,0.9315525223760633,0.8774973711882229,0.3031312949922447,0.9305732854716521,0.8732912723449001,0.2963897717286481,0.9325153932040777,0.8796004206098843,0.29697718877286927,0.9323941630085455,0.8809148264984227,0.2967128240651332,0.9327267883575369,0.8767087276550999,0.29735104063134243,0.9321407918998833,0.8801261829652997,,,,,,,,,,,,
classification,openml-magic-telescope-1120,ft_transformer,20260827,tq,9345,9345,9345,9345,0.3087373696713236,0.9283582582615347,0.8740799158780231,0.3112244662437026,0.9256767978741073,0.8719768664563617,0.3048767189346695,0.9289495585402431,0.8746056782334385,0.3059486613909681,0.9281348916262667,0.8743427970557308,0.31059325619682177,0.9266342133433227,0.8732912723449001,0.3150220625823837,0.9230889878127284,0.8706624605678234,,,,,,,,,,,,
classification,openml-phoneme-1489,mlp,20260827,trank,28369,28369,28369,28369,0.3130445497239777,0.9259418303136406,0.8686401480111008,0.3302003619062172,0.915769980345847,0.8408880666049954,0.3140628839264585,0.9255268634284111,0.8714153561517114,0.32888058019599853,0.9173864931375626,0.8464384828862165,0.3139423378144311,0.9255660891538805,0.8732654949121184,0.3292949914442625,0.9170726873338069,0.8436632747456059,,,,,,,,,,,,
classification,openml-phoneme-1489,resnet,20260827,tq,144465,144465,144465,144465,0.29246863789712435,0.93708193634697,0.8732654949121184,0.3011064876786562,0.9320796240936794,0.8658649398704903,0.2772567581175779,0.9427676020281764,0.877890841813136,0.28439868237090715,0.9384383206434671,0.8714153561517114,0.2892434041158514,0.9392517383189918,0.8751156336725254,0.2997746755582948,0.9329302029828067,0.8686401480111008,,,,,,,,,,,,
classification,openml-phoneme-1489,ft_transformer,20260827,tq,7985,7985,7985,7985,0.3090519075892337,0.9281260838687301,0.876040703052729,0.3243757207819277,0.9213090656845095,0.8621646623496763,0.3008166247456058,0.9328723966505359,0.8825161887141536,0.31040843961113784,0.9275356334748213,0.8612395929694727,0.30461401245861297,0.9296662097213735,0.8732654949121184,0.31956617000217097,0.9227046757064759,0.8575393154486587,,,,,,,,,,,,
regression,openml-fried-564,mlp,20260827,trank,39969,39969,39969,39969,,,,,,,,,,,,,,,,,,,0.0435171015560627,1.0378678971326873,0.04125538840889931,1.0105375086330322,0.04299787059426308,1.0316575768142104,0.04104319214820862,1.0079353185636857,0.0429701954126358,1.0313255149458354,0.04104045405983925,1.0079016971290653
regression,openml-fried-564,resnet,20260827,tq,156065,156065,156065,156065,,,,,,,,,,,,,,,,,,,0.044063813984394073,1.0443670001629959,0.0420173704624176,1.0198270636652016,0.04388229176402092,1.042213629362592,0.04194864630699158,1.0189927011739135,0.04395653307437897,1.043094880131709,0.04201914742588997,1.0198486282736094
regression,openml-fried-564,ft_transformer,20260827,trank,9345,9345,9345,9345,,,,,,,,,,,,,,,,,,,0.044845011085271835,1.0535839978537829,0.04315195232629776,1.0335043826190624,0.04634380713105202,1.0710455768092708,0.045213811099529266,1.0579074017366932,0.04412858560681343,1.045134302154303,0.042967379093170166,1.0312917172205909
regression,openml-wine-quality-287,mlp,20260827,trank,51865,51865,51865,51865,,,,,,,,,,,,,,,,,,,0.6161575317382812,0.6897927145762797,0.6386474370956421,0.7022686948212917,0.6178204417228699,0.6907229071335405,0.6367700099945068,0.7012357080780278,0.6080681681632996,0.6852497044604857,0.627328097820282,0.6960173927458104
regression,openml-wine-quality-287,resnet,20260827,trank,167465,167465,167465,167465,,,,,,,,,,,,,,,,,,,0.5971614718437195,0.6790763602961682,0.6208625435829163,0.6924213530317872,0.5945444703102112,0.6775867337228925,0.6201701760292053,0.6920351614231489,0.5874099731445312,0.6735089639388703,0.6117646098136902,0.6873293624966492
regression,openml-wine-quality-287,ft_transformer,20260827,tq,19121,19121,19121,19121,,,,,,,,,,,,,,,,,,,0.5986189246177673,0.6799045438113095,0.6213104724884033,0.6926710859402987,0.5906702280044556,0.6753754393057615,0.6183095574378967,0.690996268588044,0.6027883887290955,0.6822682499480386,0.6163842082023621,0.6899195858611302
