dataset,model,method,seed,n_fields,parameters,best_epoch,val_loss,val_rmse,val_t_branch_rmse,test_loss,test_rmse,test_t_branch_rmse,mean_abs_chart_gate,max_abs_chart_gate,train_seconds
weather,mlp,scalar_gate,20260827,103,417649,12,0.18505942821502686,1.6782896433095644,1.7551530486391997,0.17066863179206848,1.611714674010105,1.6736503805913971,0.05792216584086418,0.05928259715437889,27.679125132970512
weather,mlp,field_gate,20260827,103,417853,12,0.1856173276901245,1.6808175131460683,1.7919782361942576,0.1713772714138031,1.6150572383554809,1.7236701458059611,0.014996056444942951,0.10505465418100357,28.301854755030945
weather,resnet,scalar_gate,20260827,103,533745,20,0.18262164294719696,1.667198954819223,1.794388923432457,0.16661253571510315,1.5924475741841264,1.690801130517592,0.1167403906583786,0.15147767961025238,36.1740562999621
weather,resnet,field_gate,20260827,103,533949,20,0.1817121058702469,1.6630420761029965,1.7544336013748685,0.165676087141037,1.587966078973183,1.6645974044866523,0.03789112716913223,0.19217175245285034,35.96247232891619
weather,ft_transformer,scalar_gate,20260827,103,196561,12,0.18421314656734467,1.674447814671983,1.7317669585276037,0.17361034452915192,1.6255454096952258,1.6707346021844458,0.11462506651878357,0.22823406755924225,46.79036384494975
weather,ft_transformer,field_gate,20260827,103,196765,12,0.18394844233989716,1.6732443371691588,1.7552179801885717,0.17295032739639282,1.6224525367737561,1.6883780111914264,0.04338277131319046,0.20178566873073578,49.28785661794245
cooking-time,mlp,scalar_gate,20260827,192,764131,8,0.5005907416343689,0.46709409747727887,0.4670526893468178,0.528659999370575,0.4800110093154656,0.4799774810312183,0.0039148577488958836,0.00396443298086524,22.08806185098365
cooking-time,mlp,field_gate,20260827,192,764513,8,0.5001598596572876,0.46689302928012894,0.4704380950827763,0.5282513499259949,0.4798254513443753,0.48634809721896183,0.008020004257559776,0.08071998506784439,22.27746010804549
cooking-time,resnet,scalar_gate,20260827,192,880227,5,0.5030204057693481,0.4682262678811446,0.4695574083503156,0.529435396194458,0.4803629014904424,0.481737244124276,0.04017678648233414,0.05103592574596405,19.469321988057345
cooking-time,resnet,field_gate,20260827,192,880609,5,0.5029242038726807,0.4681814919551676,0.4936159535384927,0.5288531184196472,0.48009867511728377,0.5112646733706969,0.012842988595366478,0.11756613850593567,19.468570102006197
cooking-time,ft_transformer,scalar_gate,20260827,192,360771,12,0.5026153922080994,0.46803773062320153,0.468024770232839,0.5275384187698364,0.4795015543861113,0.47939427165837345,0.02564985677599907,0.047050002962350845,56.46211894019507
cooking-time,ft_transformer,field_gate,20260827,192,361153,19,0.5018410682678223,0.46767706467926656,0.4677743172231841,0.5336996912956238,0.4822935440420493,0.4817876350594023,0.04108836501836777,0.2590640187263489,66.46128140483052
delivery-eta,mlp,scalar_gate,20260827,223,886881,8,0.6003851294517517,0.566333261654867,0.5686484187822819,0.5649459362030029,0.5493644473524052,0.5478889014142693,0.038951948285102844,0.04182140529155731,23.977943341014907
delivery-eta,mlp,field_gate,20260827,223,887325,8,0.5996583700180054,0.5659903878464809,0.5787279751813378,0.5662543177604675,0.5500002273309332,0.5496639646601749,0.010918637737631798,0.09998627007007599,24.208127246936783
delivery-eta,resnet,scalar_gate,20260827,223,1002977,8,0.600321352481842,0.5663031809809228,0.5827782326642802,0.5714393258094788,0.552512576537918,0.5549639827845396,0.09624409675598145,0.1142878383398056,26.55507377302274
delivery-eta,resnet,field_gate,20260827,223,1003421,8,0.6009791493415833,0.5666133569093034,0.5879925945611548,0.5701491832733154,0.5518885183623464,0.5538178631922525,0.022011809051036835,0.12620510160923004,25.8661013150122
delivery-eta,ft_transformer,scalar_gate,20260827,223,420033,7,0.6023297905921936,0.5672497033425636,0.5689375882500722,0.5709792971611023,0.5522901357842153,0.5590840000874178,0.0774865597486496,0.08916832506656647,40.6511734619271
delivery-eta,ft_transformer,field_gate,20260827,223,420477,7,0.6020755171775818,0.5671299585226754,0.5680674522110846,0.5711679458618164,0.5523813651970911,0.5573370540865589,0.0363130159676075,0.164769247174263,40.4138334619347
