dataset,model,method,seed,n_fields,parameters,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_identity_gate,mean_frequency_gate,train_seconds
maps-routing,mlp,rank_only,20260829,986,3331701,6,0.19290444254875183,0.165293848181297,0.19481299817562103,0.16610952674149024,0.0,0.0,22.501475095981732
maps-routing,resnet,rank_only,20260829,986,3447797,13,0.1954209804534912,0.16636852633889884,0.19601523876190186,0.16662129047972837,0.0,0.0,42.819295848021284
