dataset,model,method,seed,n_fields,parameters,best_epoch,val_loss,val_rmse,val_q_rmse,val_t_rmse,val_rank_rmse,val_disagreement,test_loss,test_rmse,test_q_rmse,test_t_rmse,test_rank_rmse,test_disagreement,train_seconds,val_qple,val_tple,test_qple,test_tple,val_gain_vs_qple_pct,val_gain_vs_tple_pct,val_beats_both_typed
weather,mlp,shared_noalign,20260827,103,417647,8,0.1877993792295456,1.690668195032745,1.693498629979268,1.6958811331313466,1.699124665787335,0.0012240962823852,0.1755073517560959,1.6344022938732214,1.6355471998759563,1.643580677468715,1.6378466582072562,0.0009881121804937,23.63256501313299,1.677555348321022,1.683721016559098,1.6190741111704274,1.6332156200312158,-0.7816640282448467,-0.4126086450975393,False
weather,mlp,shared_consistency,20260827,103,417647,20,0.1825312823057174,1.6667864412627773,1.672197873962055,1.6683717886696188,1.680044364544915,0.0014834760222584,0.1657168567180633,1.588161450327403,1.5954319402029438,1.593516948005409,1.5949413563478203,0.0013528236886486,33.727431832114235,1.677555348321022,1.683721016559098,1.6190741111704274,1.6332156200312158,0.641940492098974,1.0057827353683917,True
weather,resnet,shared_noalign,20260827,103,533743,14,0.1817827671766281,1.6633653933173438,1.6696302619716124,1.6742321005760392,1.6749716438045903,0.002100036945194,0.16815085709095,1.599782159245095,1.6133804256923967,1.6109880453213652,1.6049851340701051,0.002110484521836,41.28027074807324,1.6662249213642086,1.6700276777048275,1.6053225459629823,1.6043191449902594,0.1716171694589485,0.39893257317986014,True
weather,resnet,shared_consistency,20260827,103,533743,14,0.1817773133516311,1.6633404410846733,1.6691087649975749,1.671210536751295,1.6735286863265704,0.001740280422382,0.1682119071483612,1.600072547088083,1.6122369405152632,1.6085407142042774,1.6047630506459192,0.0017799691995605,42.94632525998168,1.6662249213642086,1.6700276777048275,1.6053225459629823,1.6043191449902594,0.1731147003355175,0.4004266940859765,True
weather,ft_transformer,shared_noalign,20260827,103,196559,14,0.1796699911355972,1.6536708834896885,1.671640817482733,1.6742667115226009,1.674893784018628,0.004357011988759,0.1654600203037262,1.5869302664028704,1.604465666516785,1.6159498351776236,1.599556021394444,0.0041428194381296,83.54512540483847,1.674052870804097,1.6799797000563412,1.6070798126916994,1.6249385139304475,1.2175235125410564,1.566019908798328,True
weather,ft_transformer,shared_consistency,20260827,103,196559,19,0.1792206764221191,1.6516018574731928,1.6732572138904631,1.6656117421839172,1.6823630140420551,0.0048412666656076,0.1645576357841491,1.582596956360917,1.611325466985594,1.6009381529202251,1.6055023145875555,0.0048880372196435,86.55303704203106,1.674052870804097,1.6799797000563412,1.6070798126916994,1.6249385139304475,1.3411173399870144,1.6891777074566292,True
cooking-time,mlp,shared_noalign,20260827,192,764129,12,0.4991922378540039,0.4664411791545576,0.467326571149869,0.4661473838095245,0.466964020774432,0.0007964664837345,0.5299762487411499,0.4806081997669728,0.4815852575140036,0.4799631651745878,0.4813633399636818,0.000801280257292,29.157205863157287,0.4677358851678095,0.4673639251822812,0.4805459814428184,0.4803208795013886,0.2768027971143229,0.19743629707058408,True
cooking-time,mlp,shared_consistency,20260827,192,764129,12,0.4991810917854309,0.4664359717274431,0.4672114608196272,0.4661755262053403,0.4669412946563554,0.0007292220252566,0.5300168991088867,0.4806266312773354,0.4815029069063654,0.4800291931680819,0.4813435064651577,0.000733669498004,28.009905660990626,0.4677358851678095,0.4673639251822812,0.4805459814428184,0.4803208795013886,0.2779161235191579,0.19855050953626185,True
cooking-time,resnet,shared_noalign,20260827,192,880225,5,0.502072811126709,0.4677850354269554,0.4682253524311131,0.4692359460617479,0.4676226533066175,0.0012381072156131,0.5287019610404968,0.4800300590486442,0.4806379817091727,0.4803760427478814,0.4809369690620387,0.0013680612901225,20.041054256027564,0.4686211592736794,0.4671566337594426,0.4853385577606978,0.4812908290429193,0.17842212844592054,-0.1345162675858215,False
cooking-time,resnet,shared_consistency,20260827,192,880225,15,0.4999582469463348,0.4667989183119251,0.4674599924886437,0.467223415155832,0.4672925497009528,0.0011287960223853,0.5351498126983643,0.482948322159958,0.4836856033439432,0.4831273574693792,0.4836112919488244,0.0011675131972879,42.70823898585513,0.4686211592736794,0.4671566337594426,0.4853385577606978,0.4812908290429193,0.3888516183474573,0.07657291402217474,True
cooking-time,ft_transformer,shared_noalign,20260827,192,360769,8,0.5016080141067505,0.4675684578414036,0.4684717935440552,0.4680935921816267,0.4680920659981221,0.0013979010982438,0.5318072438240051,0.4814377015612224,0.4816720165690391,0.4824375266274763,0.4821205573082019,0.0014130612835288,61.40461944998242,0.4689293597518175,0.4692554055358726,0.4833558013810191,0.4833349746946345,0.29021469483892903,0.35949456832416105,True
cooking-time,ft_transformer,shared_consistency,20260827,192,360769,8,0.5017330050468445,0.4676267086859608,0.4683766270654354,0.4681801325199295,0.4681659553172111,0.0013193631311878,0.5319662094116211,0.4815096508527322,0.4816405995679745,0.4827920893469857,0.4819232518934502,0.0013465743977576,60.05394641007297,0.4689293597518175,0.4692554055358726,0.4833558013810191,0.4833349746946345,0.27779260111717674,0.34708110566182615,True
