dataset,model,seed,method,n_train,n_val,n_test,n_num,n_bin,n_cat,n_cyclic,n_bins,d_token,alignment_weight,parameters,best_epoch,val_loss,val_rmse,val_primary_loss,val_secondary_loss,test_loss,test_rmse,test_primary_loss,test_secondary_loss,alignment_invariance_last,alignment_variance_last,alignment_covariance_last,train_seconds
cooking-time,mlp,20260827,ple,50000,15000,15000,186,3,3,3,16,16,0.01,460913,8,0.5002432465553284,0.4669319479759117,0.5002432465553284,0.5002432465553284,0.5296321511268616,0.48045215222003684,0.5296321511268616,0.5296321511268616,0.0,0.0,0.0,21.181629817932844
cooking-time,mlp,20260827,multiview_noalign,50000,15000,15000,186,3,3,3,16,16,0.01,511841,8,0.5089094638824463,0.47095914714736864,0.5035784244537354,0.5352522730827332,0.538020670413971,0.4842419986103397,0.5313396453857422,0.5661863684654236,0.0,0.0,0.0,22.196760043967515
cooking-time,mlp,20260827,multiview_vicreg,50000,15000,15000,186,3,3,3,16,16,0.01,511841,4,0.5119382739067078,0.47235854112762604,0.509471595287323,0.5226938724517822,0.5442649722099304,0.48704396368927794,0.5391867160797119,0.5583959817886353,0.0601222850382328,0.31241747736930847,2.7510793209075928,16.092843251070008
cooking-time,mlp,20260827,multiview_wrong,50000,15000,15000,186,3,3,3,16,16,0.01,511841,4,0.5120304226875305,0.47240105143340533,0.5094394087791443,0.5230609178543091,0.5445430874824524,0.4871683856822304,0.5392259359359741,0.559081494808197,0.05905422195792198,0.3171132802963257,2.875852584838867,15.905180328059942
