dataset,model,method,seed,n_fields,parameters,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_identity_gate,mean_frequency_gate,train_seconds
weather,mlp,rank_cycle,20260827,103,363055,9,0.18814459443092346,1.6922213854490904,0.1710662692785263,1.6135911328151182,0.0,0.1357726901769638,11.700126664014533
weather,mlp,rank_cycle_control,20260827,103,363055,9,0.18712395429611206,1.6876251923258303,0.17006582021713257,1.6088658210278517,0.0,0.13157007098197937,10.950873509049416
weather,resnet,rank_cycle,20260827,103,479151,14,0.1862676590681076,1.6837594060631866,0.17057208716869354,1.611258748406635,0.0,0.14276127517223358,16.549154587090015
weather,resnet,rank_cycle_control,20260827,103,479151,14,0.1859867125749588,1.682489124333277,0.1693330705165863,1.6053960804738334,0.0,0.1372496783733368,18.108136811992154
weather,ft_transformer,rank_cycle,20260827,103,141967,7,0.18921099603176117,1.6970103556694969,0.17423370480537415,1.6284611129208824,0.0,0.12549351155757904,22.324474168010056
weather,ft_transformer,rank_cycle_control,20260827,103,141967,7,0.18777243793010712,1.6905469208518051,0.1717134714126587,1.6166406344462787,0.0,0.12288673222064972,18.48410068708472
cooking-time,mlp,rank_cycle,20260827,192,662273,8,0.5037810802459717,0.4685801632881937,0.5362018942832947,0.48342281691182803,0.0,0.13277322053909302,10.907892080955207
cooking-time,mlp,rank_cycle_control,20260827,192,662273,8,0.5030516386032104,0.4682408038781641,0.5334768295288086,0.48219283570710697,0.0,0.1291179060935974,12.164262871956453
cooking-time,resnet,rank_cycle,20260827,192,778369,5,0.5026043057441711,0.46803256871201465,0.5322588682174683,0.4816420828201236,0.0,0.12721548974514008,10.268678014166653
cooking-time,resnet,rank_cycle_control,20260827,192,778369,5,0.5027797818183899,0.4681142645407406,0.5325538516044617,0.4817755298529387,0.0,0.12549293041229248,9.571400259854272
cooking-time,ft_transformer,rank_cycle,20260827,192,258913,5,0.5109606385231018,0.47190730010199144,0.5431410670280457,0.486540831809645,0.0,0.12586596608161926,20.329398374073207
cooking-time,ft_transformer,rank_cycle_control,20260827,192,258913,5,0.5085841417312622,0.47080859194341634,0.5395397543907166,0.4849251375624282,0.0,0.12457683682441711,20.211902091978118
