dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_size,width,parameter_count,baseline_parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
churn,binclass,mlp,20260835,quantile_ple,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,19,0.33036530862030683,0.3457671614653857,0.36304492696811635,0.8575,0.8525,0.1795773059129715,8.321220397949219,0.02208676002919674,14.085229089017957
churn,binclass,mlp,20260835,quantile_whitened,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,10,0.272426148700168,0.3804406362335101,0.4020668016156801,0.854375,0.8385,0.04525553807616234,7.343389511108398,0.022088555619120598,8.187808153918013
churn,binclass,mlp,20260835,adaptive_support_whitened,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,15,0.32057224004339624,0.35622791217692223,0.3752808495737769,0.855,0.845,0.1496477574110031,8.1635160446167,0.0220869779586792,11.172891014022753
churn,binclass,resnet,20260835,quantile_ple,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,15,0.2781456893298917,0.3486551721975715,0.36479297309802866,0.86375,0.8575,1.7697458267211914,7.130656719207764,0.022095108404755592,12.358210891950876
churn,binclass,resnet,20260835,quantile_whitened,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,5,0.2722272065998086,0.36894771298112644,0.37646495230765936,0.85875,0.8455,0.25980064272880554,6.635207653045654,0.022094503045082092,6.445740586146712
churn,binclass,resnet,20260835,adaptive_support_whitened,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,8,0.3024769846889838,0.3689043866953557,0.3875260918740235,0.848125,0.847,1.164130687713623,6.864272594451904,0.022095417603850365,8.205461672041565
diamond,regression,mlp,20260835,quantile_ple,32,0.35,1.0,184,128,40321,40321,0.0,184,40321,25,0.018435649573802948,0.01871727593243122,0.020058628171682358,0.1364892721316009,0.1412953365853804,0.6547062397003174,10.794550895690918,0.02346460148692131,72.43509331415407
diamond,regression,mlp,20260835,quantile_whitened,32,0.35,1.0,184,128,40321,40321,0.0,184,40321,23,0.015656661242246628,0.020252253860235214,0.021787837147712708,0.14197565434218795,0.14725982773499435,0.40163618326187134,9.679001808166504,0.02347256988286972,79.62064805999398
diamond,regression,mlp,20260835,adaptive_support_whitened,32,0.35,1.0,180,129,40249,40321,-0.001785669998263932,180,40249,24,0.01808810606598854,0.018185440450906754,0.02055061049759388,0.13453619243285164,0.1430176348044041,0.5186513066291809,10.01587200164795,0.023213619366288185,79.94082326884381
diamond,regression,resnet,20260835,quantile_ple,32,0.35,1.0,184,128,156417,156417,0.0,184,156417,9,0.019803857430815697,0.019707906991243362,0.021440871059894562,0.140054625974944,0.14608258054487155,6.391350746154785,7.542094707489014,0.023474175482988358,46.598010797053576
diamond,regression,resnet,20260835,quantile_whitened,32,0.35,1.0,184,128,156417,156417,0.0,184,156417,15,0.015693817287683487,0.020359627902507782,0.023234974592924118,0.14235152904802284,0.15207166023915608,2.4007883071899414,8.035234451293945,0.02347419783473015,55.45895557384938
diamond,regression,resnet,20260835,adaptive_support_whitened,32,0.35,1.0,180,128,155905,156417,-0.0032733014953617574,180,155905,21,0.016778090968728065,0.0182136632502079,0.02103969268500805,0.13464053765355466,0.14470945749950115,6.321352005004883,8.125218391418457,0.02322831004858017,42.192703041946515
higgs-small,binclass,mlp,20260835,quantile_ple,32,0.35,1.0,776,128,116097,116097,0.0,776,116097,10,0.5014610921640871,0.5427746966758563,0.5483264019412807,0.7219333333333333,0.7162666666666667,0.052309565246105194,13.601273536682129,0.04809624329209328,37.167327580973506
higgs-small,binclass,mlp,20260835,quantile_whitened,32,0.35,1.0,776,128,116097,116097,0.0,776,116097,2,0.5059761125171138,0.586219087575543,0.5883744319030627,0.6862666666666667,0.6832666666666667,0.07635795325040817,8.436339378356934,0.04813741147518158,19.490448577096686
higgs-small,binclass,mlp,20260835,adaptive_support_whitened,32,0.35,1.0,776,128,116097,116097,0.0,776,116097,10,0.5014610921640871,0.5427746966758563,0.5483264019412807,0.7219333333333333,0.7162666666666667,0.052309565246105194,13.601273536682129,0.04809624329209328,37.917038477025926
higgs-small,binclass,resnet,20260835,quantile_ple,32,0.35,1.0,776,128,232193,232193,0.0,776,232193,8,0.5034512989688956,0.5431591127293393,0.5464778338911319,0.7180666666666666,0.721,0.6618722081184387,12.234657287597656,0.048152774572372437,26.685596496099606
higgs-small,binclass,resnet,20260835,quantile_whitened,32,0.35,1.0,776,128,232193,232193,0.0,776,232193,2,0.471877528371805,0.5924362154563545,0.5951043555458412,0.6793333333333333,0.6797333333333333,0.45527639985084534,7.881345272064209,0.048154935240745544,17.036295858910307
higgs-small,binclass,resnet,20260835,adaptive_support_whitened,32,0.35,1.0,776,128,232193,232193,0.0,776,232193,8,0.5034512989688956,0.5431591127293393,0.5464778338911319,0.7180666666666666,0.721,0.6618722081184387,12.234657287597656,0.048152774572372437,28.62068437715061
house,regression,mlp,20260835,quantile_ple,32,0.35,1.0,439,128,72961,72961,0.0,439,72961,22,0.19069334864616394,0.3418944180011749,0.3785901665687561,30470.059599129017,32063.577436322346,0.43305763602256775,10.901537895202637,0.03620009124279022,13.360449166037142
house,regression,mlp,20260835,quantile_whitened,32,0.35,1.0,439,128,72961,72961,0.0,439,72961,6,0.12233036011457443,0.4507109820842743,0.5012844204902649,34984.555721396115,36895.160120297456,0.3226567506790161,7.985847473144531,0.03620961681008339,5.847767297876999
house,regression,mlp,20260835,adaptive_support_whitened,32,0.35,1.0,444,127,72899,72961,-0.0008497690547004564,444,72899,6,0.17650863528251648,0.4621967673301697,0.46466752886772156,35427.517761860276,35522.08433211665,0.3453108072280884,8.055154800415039,0.03641313686966896,4.103547667851672
house,regression,resnet,20260835,quantile_ple,32,0.35,1.0,439,128,189057,189057,0.0,439,189057,14,0.19810321927070618,0.3396405577659607,0.3795584738254547,30369.461094318423,32104.552349112928,5.710649490356445,7.72466516494751,0.03621240705251694,6.1368967411108315
house,regression,resnet,20260835,quantile_whitened,32,0.35,1.0,439,128,189057,189057,0.0,439,189057,6,0.08336350321769714,0.4931037425994873,0.5020213723182678,36592.86763906409,36922.26965932385,1.9501092433929443,7.125978946685791,0.03621270880103111,4.127832655096427
house,regression,resnet,20260835,adaptive_support_whitened,32,0.35,1.0,444,128,189697,189057,0.0033852224461405817,444,189697,4,0.1900435835123062,0.48846304416656494,0.5092003345489502,36420.26796283154,37185.32971761469,1.7992501258850098,6.9913201332092285,0.036423247307538986,3.41613455186598
microsoft,regression,mlp,20260835,quantile_ple,32,0.35,1.0,2305,128,311809,311809,0.0,2305,311809,15,0.7646421194076538,0.8520053625106812,0.8733725547790527,0.75658717237377,0.7660155501905095,0.3641864061355591,16.64319610595703,0.08285684883594513,39.726166068110615
microsoft,regression,mlp,20260835,quantile_whitened,32,0.35,1.0,2304,128,311681,311809,-0.0004105077146586532,2304,311681,1,0.7752570509910583,0.8800614476203918,0.8933501839637756,0.7689432949610122,0.7747269661792089,0.6113393902778625,8.371383666992188,0.08306895196437836,4.638286685105413
microsoft,regression,mlp,20260835,adaptive_support_whitened,32,0.35,1.0,2533,118,313173,311809,0.004374472834331273,2533,313173,2,0.7687313556671143,0.8815763592720032,0.8980026245117188,0.7696048540828855,0.7767416899860038,0.5559621453285217,9.578373908996582,0.08685091882944107,6.380402704933658
microsoft,regression,resnet,20260835,quantile_ple,32,0.35,1.0,2305,128,427905,427905,0.0,2305,427905,10,0.8071825504302979,0.8555302023887634,0.8709973692893982,0.7581506132909155,0.7649732562457459,8.006468772888184,14.351266860961914,0.08301031589508057,13.10498652420938
microsoft,regression,resnet,20260835,quantile_whitened,32,0.35,1.0,2304,128,427777,427905,-0.00029913181664154427,2304,427777,1,0.7321349382400513,0.8839881420135498,0.8990048766136169,0.7706568215160274,0.777175042722952,3.676908016204834,7.964669227600098,0.08307857066392899,5.007431495934725
microsoft,regression,resnet,20260835,adaptive_support_whitened,32,0.35,1.0,2533,122,429807,427905,0.004444911837907947,2533,429807,1,0.8222763538360596,0.8884056210517883,0.8998701572418213,0.7725799891752416,0.7775489377055749,3.422415018081665,7.619217872619629,0.08694718033075333,5.974590511992574
otto,multiclass,mlp,20260835,quantile_ple,32,0.35,1.0,390,128,67721,67721,0.0,390,67721,19,0.3658573620683277,0.5150263506638026,0.5103178924464017,0.8045651954348045,0.8065610859728507,0.097388856112957,29.610273361206055,0.03403497114777565,8.90435897395946
otto,multiclass,mlp,20260835,quantile_whitened,32,0.35,1.0,390,128,67721,67721,0.0,390,67721,6,0.3849848585839121,0.5352881217386991,0.528166580151012,0.8008281991718008,0.7979153199741436,0.17426638305187225,11.000153541564941,0.03410691022872925,14.57069944916293
otto,multiclass,mlp,20260835,adaptive_support_whitened,32,0.35,1.0,390,128,67721,67721,0.0,390,67721,19,0.3658573620683277,0.5150263506638026,0.5103178924464017,0.8045651954348045,0.8065610859728507,0.097388856112957,29.610273361206055,0.03403497114777565,39.10314770205878
otto,multiclass,resnet,20260835,quantile_ple,32,0.35,1.0,390,128,183817,183817,0.0,390,183817,5,0.4257121960909636,0.5331709156758895,0.5266157672657739,0.8024441975558024,0.7957336780866192,1.744759202003479,10.460250854492188,0.034105196595191956,11.561092930845916
otto,multiclass,resnet,20260835,quantile_whitened,32,0.35,1.0,390,128,183817,183817,0.0,390,183817,5,0.3807838237982131,0.5349542890967947,0.5233950736480973,0.7989092010907989,0.797349709114415,1.027289867401123,7.822562217712402,0.03411080688238144,12.533157388912514
