dataset,model,seed,method,val_loss,test_loss,test_loss_gain_pct,source
tabred-weather,mlp,20260836,quantile_ple,0.1929801851511001,0.1832058876752853,0.0,mass_canonical_tabred_weather.csv
tabred-weather,mlp,20260836,quantile_whitened,0.2258761376142501,0.2206004709005355,-20.411234431247355,mass_canonical_tabred_weather.csv
tabred-weather,mlp,20260836,adaptive_support_whitened,0.2127730846405029,0.2080377638339996,-13.554081953264728,mass_canonical_tabred_weather.csv
tabred-weather,resnet,20260836,quantile_ple,0.1908307820558548,0.178692489862442,0.0,mass_canonical_tabred_weather.csv
tabred-weather,resnet,20260836,quantile_whitened,0.2363144904375076,0.2339344024658203,-30.914512773258526,mass_canonical_tabred_weather.csv
tabred-weather,resnet,20260836,adaptive_support_whitened,0.2074004113674163,0.2007090449333191,-12.320917956778995,mass_canonical_tabred_weather.csv
tabred-weather,mlp,20260841,quantile_ple,0.1909014284610748,0.1829258203506469,0.0,field_riesz_churn_weather.csv
tabred-weather,mlp,20260841,adaptive_support_whitened,0.2138330340385437,0.2095438092947006,-14.551247545606305,field_riesz_churn_weather.csv
tabred-weather,mlp,20260841,adaptive_support_riesz,0.2012345194816589,0.1964808851480484,-7.410142959270636,field_riesz_churn_weather.csv
tabred-weather,mlp,20260841,adaptive_support_wrong_riesz,0.2099732756614685,0.194930225610733,-6.562444403460981,field_riesz_churn_weather.csv
tabred-weather,resnet,20260841,quantile_ple,0.1900814920663833,0.1773408502340316,0.0,field_riesz_churn_weather.csv
tabred-weather,resnet,20260841,adaptive_support_whitened,0.2058306634426117,0.1975124329328537,-11.374470502539179,field_riesz_churn_weather.csv
tabred-weather,resnet,20260841,adaptive_support_riesz,0.2015843093395233,0.1936650723218917,-9.20499820899556,field_riesz_churn_weather.csv
tabred-weather,resnet,20260841,adaptive_support_wrong_riesz,0.203106015920639,0.1956940442323684,-10.34910680427924,field_riesz_churn_weather.csv
tabred-cooking-time,mlp,20260843,quantile_ple,0.5322337746620178,0.5559481978416443,0.0,field_riesz_tabred_cooking-time.csv
tabred-cooking-time,mlp,20260843,adaptive_support_whitened,0.5527894496917725,0.5761527419090271,-3.634249404139242,field_riesz_tabred_cooking-time.csv
tabred-cooking-time,mlp,20260843,adaptive_support_riesz,0.5453693270683289,0.5736735463142395,-3.1883093679249743,field_riesz_tabred_cooking-time.csv
tabred-cooking-time,mlp,20260843,adaptive_support_wrong_riesz,0.5442896485328674,0.5643556118011475,-1.512265709672816,field_riesz_tabred_cooking-time.csv
tabred-delivery-eta,mlp,20260843,quantile_ple,0.5997940301895142,0.591974139213562,0.0,field_riesz_tabred_delivery-eta.csv
tabred-delivery-eta,mlp,20260843,adaptive_support_whitened,0.6276378631591797,0.609793484210968,-3.0101559877394335,field_riesz_tabred_delivery-eta.csv
tabred-delivery-eta,mlp,20260843,adaptive_support_riesz,0.6221086978912354,0.603540301322937,-1.9538289501532369,field_riesz_tabred_delivery-eta.csv
tabred-delivery-eta,mlp,20260843,adaptive_support_wrong_riesz,0.6214672923088074,0.6037597060203552,-1.9908921735078402,field_riesz_tabred_delivery-eta.csv
