dataset,column,field_name,nodes,rank,energy_zero,semantic_auc_retention,isospectral_null_auc_mean,isospectral_null_auc_sd,semantic_auc_z,isospectral_upper_tail,semantic_tau1_retention,isospectral_tau1_mean,samples,reference_bh_selected
tabred-weather,11,,33,32,0.0009239152127467802,0.4594474720922999,0.5318256126488538,0.04381807076936159,-1.6517874768498932,0.959,0.39755786677038263,0.5274378140928092,9999,False
tabred-weather,12,,31,30,0.0011695636512169447,0.523880947311803,0.5455510078639013,0.04289076329012348,-0.505238398428976,0.6815,0.4923286386700596,0.5446848491863587,9999,False
tabred-weather,13,,28,27,0.0009008613275721227,0.5599542732764462,0.5354858628877048,0.04671090350917138,0.5238265276529528,0.2897,0.5470408631787916,0.5279167695480225,9999,False
tabred-weather,14,,31,30,0.001585660887697333,0.5161486528985553,0.49671745708078757,0.05905089720458276,0.3290584349709034,0.3702,0.4941623720267004,0.4920591839049162,9999,False
tabred-weather,15,,32,31,0.0018526643215068927,0.5470535440807898,0.5368600309604357,0.0464069552504564,0.2196548570217576,0.3955,0.5320419038005685,0.5315130714353405,9999,False
tabred-weather,16,,31,30,0.0010381655917708768,0.5297543895347387,0.547896307964617,0.04254186317187747,-0.42644861031547476,0.6497,0.5168389532704181,0.5456545754973291,9999,False
tabred-weather,17,,31,30,0.0012402305412528066,0.5533042411535015,0.5446317282347213,0.04323616258134061,0.20058470504787648,0.4017,0.551915879816714,0.5408307481039403,9999,False
tabred-weather,18,,32,31,0.0014559775075630315,0.48489042342456895,0.5285662563075374,0.04750697055120416,-0.9193563044794358,0.8236,0.4582678957445838,0.52170338599832,9999,False
tabred-weather,19,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9999,False
tabred-weather,20,,28,27,0.0008666023826922396,0.5384478956584487,0.419210322646297,0.09979547656451489,1.194819415838634,0.1222,0.6201260961921516,0.464550577284922,9999,False
tabred-weather,21,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9999,False
tabred-weather,22,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9999,False
tabred-weather,23,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9999,False
tabred-weather,24,,15,14,0.0006291151679409877,0.5843906842726053,0.5511506857193571,0.06807692505003683,0.4882711510371051,0.2947,0.5947342104212069,0.539115461709183,9999,False
tabred-weather,25,,33,32,0.0011636454166614708,0.4502534830573478,0.5279973432817524,0.043625479679370506,-1.7820746223489183,0.9668,0.35816535227917395,0.5242951074765307,9999,False
tabred-weather,26,,33,32,0.0011418020540643536,0.46460792518634186,0.525634261669422,0.0430812028247383,-1.416542075933805,0.9289,0.4023294619115647,0.5207063992982852,9999,False
tabred-weather,27,,33,32,0.0015382916639480018,0.4781984449696657,0.5300654785289115,0.04260274404521456,-1.2174575774790237,0.8952,0.4418788381372486,0.5271185232494725,9999,False
tabred-weather,28,,33,32,0.002048988954226175,0.4812655310393873,0.5263447414044442,0.04251000147135576,-1.0604377512297276,0.8616,0.4288411934763415,0.5202629432874625,9999,False
tabred-weather,29,,33,32,0.0011902493588997495,0.5271295623162348,0.5261966222424121,0.04319666447756942,0.021597502610578936,0.473,0.532845617885525,0.520777016244892,9999,False
tabred-weather,30,,33,32,0.0012811218633172698,0.48266342194180534,0.5299793149379248,0.04200037878626596,-1.1265587207416257,0.8752,0.4410834143088697,0.5270385794785363,9999,False
tabred-weather,31,,33,32,0.001960025041139924,0.5073271293067035,0.5234325949216745,0.043038583229145916,-0.3742099392357381,0.6332,0.4974096229286522,0.5170433173531536,9999,False
tabred-weather,32,,33,32,0.0015682766801686323,0.5436531997906827,0.5239857647841992,0.04364540724224562,0.4506186618290235,0.3069,0.5581108571553896,0.5183203888928773,9999,False
tabred-weather,33,,33,32,0.0013836632283907033,0.5102253867280359,0.5246180977808798,0.0431220079844149,-0.33376718120468074,0.6189,0.48531332938686744,0.5194516859869356,9999,False
tabred-weather,34,,33,32,0.0016069161012684393,0.4876417291348083,0.5241449612939986,0.043236898003426866,-0.8442611252152524,0.8068,0.44590909588825667,0.5190044678171395,9999,False
tabred-weather,35,,33,32,0.0008414422131331565,0.5137637678446231,0.524156476587878,0.04305652608067994,-0.2413736009212848,0.5853,0.5118870792096102,0.5187012554795828,9999,False
tabred-weather,36,,33,32,0.0015240633405085326,0.5106544507205507,0.5240543684683445,0.04377657038964004,-0.3060979338610996,0.6157,0.49867184212181337,0.5184391156598765,9999,False
tabred-weather,37,,33,32,0.0010771148584188264,0.5921326331408128,0.5300664086875801,0.04913439500150652,1.2631930127831958,0.1085,0.6537556527084785,0.5239857023120085,9999,False
tabred-weather,38,,33,32,0.0014918584627031115,0.5122034514080932,0.5301401727511356,0.0479198217622355,-0.3743069294380781,0.6424,0.4880972652969127,0.5245965083467136,9999,False
tabred-weather,39,,33,32,0.0010593867866117493,0.549617878712816,0.5281412185517356,0.042522346071923914,0.5050676207929348,0.2986,0.5862949964185451,0.524658832334297,9999,False
tabred-weather,40,,33,32,0.001208346112097311,0.5264060311825154,0.5298819999676605,0.043191928548429265,-0.08047727670339277,0.5182,0.5423564377456249,0.5272345129954099,9999,False
tabred-weather,41,,33,32,0.0018320888822719523,0.5371993006254489,0.5242767069484173,0.04329027231490312,0.2985103346781856,0.3627,0.5528420987398013,0.5183180810814617,9999,False
tabred-weather,42,,33,32,0.0019409954021110461,0.47616392199356433,0.5251118504761079,0.04287285983506905,-1.141699636339753,0.8775,0.41883973087612925,0.519604576469731,9999,False
tabred-weather,43,,33,32,0.0010674377688620817,0.4802251356610807,0.5243581417865734,0.042820497495236566,-1.0306514101197,0.8508,0.4604062283264594,0.5184865272879676,9999,False
tabred-weather,44,,33,32,0.0011027354015753113,0.47763381716943404,0.5250481164543638,0.042727407141689176,-1.109692875294264,0.8733,0.43301707260557887,0.5189037179469085,9999,False
tabred-weather,45,,17,16,0.0004429480925167259,0.6559157913729305,0.5578912222045995,0.04790379447444941,2.046279845756575,0.0349,0.7466886339586245,0.576145963812541,9999,False
tabred-weather,46,,24,23,0.0009146132514229129,0.48313201090803926,0.5497924853142492,0.037648408238049415,-1.7706053861485551,0.9844,0.43072537508735265,0.5661105321349581,9999,False
tabred-weather,47,,21,20,0.0008229868628056244,0.5683027318774246,0.5519962270357561,0.12416844950648204,0.13132567013987925,0.4515,0.5258519318127688,0.5349563247491625,9999,False
tabred-weather,48,,12,11,0.0004813919453261315,0.48411810839997216,0.5610045792181775,0.08210677625627749,-0.936420528534963,0.82,0.44524060581469116,0.5543459360374423,9999,False
tabred-weather,49,,32,31,0.0014471041209587914,0.47493925740145254,0.49901012684804097,0.060113763067683956,-0.4004219369778313,0.6629,0.47088371048655897,0.5003529125416712,9999,False
tabred-weather,50,,33,32,0.0018185081313633125,0.5463011942992763,0.5277485490184581,0.04309371675662368,0.43051856922892384,0.323,0.565991989836178,0.520314473819872,9999,False
tabred-weather,51,,32,31,0.0012060095872352987,0.3182175284779162,0.46304492700691413,0.06529309431452145,-2.218112038485328,0.9853,0.28014290530308356,0.46988450329344406,9999,False
tabred-weather,52,,2,1,8.148594197341616e-08,0.5024847355727406,0.5024847355727404,2.220557090985149e-16,0.0,1.0,0.5,0.5,9999,False
tabred-weather,53,,29,28,0.0011304415563770129,0.5189553809978009,0.5184435135292749,0.04766198729129347,0.010739532646796592,0.5123,0.5527524151238069,0.5400964749820923,9999,False
tabred-weather,54,,32,31,0.000998675867942343,0.6169322038676918,0.527245871192651,0.04595926385619498,1.9514310097669612,0.0304,0.6629698795586247,0.521096538865408,9999,False
tabred-weather,55,,33,32,0.0014005249052268308,0.5179131637968121,0.5405808185367873,0.03949624407858602,-0.5739192490018342,0.7086,0.48973818776068945,0.5379746578059073,9999,False
tabred-weather,56,,18,17,0.0009968188680753534,0.5489977908141656,0.5227479122226566,0.07234168062218116,0.3628596732304877,0.355,0.5215541097131052,0.5254999655118611,9999,False
tabred-weather,57,,33,32,0.000891088525765841,0.6032253169040851,0.5329437879959363,0.04773370471045807,1.4723669435351965,0.075,0.6512596470719344,0.5250278962388881,9999,False
tabred-weather,58,,33,32,0.0017559704588425763,0.4974621650849793,0.525035686211327,0.047066209033920794,-0.585845380206325,0.7181,0.4630711899571849,0.51864707752687,9999,False
tabred-weather,59,,27,26,0.0007519887631848378,0.4881742033885553,0.5231562087185809,0.06309246077981913,-0.5544561885469376,0.7045,0.4277854833366463,0.5105115800831554,9999,False
tabred-weather,60,,33,32,0.0010663926445729417,0.5637214034031269,0.5340354129198928,0.0403741890103789,0.7352714992145815,0.2183,0.5804447970457793,0.5291293445706912,9999,False
tabred-weather,61,,33,32,0.000831022557989388,0.5316805112384863,0.5346540195129055,0.041447188276605595,-0.07174209875408091,0.5162,0.5326390879541384,0.5301971002894152,9999,False
tabred-weather,62,,33,32,0.0014941056994335164,0.5172248595002109,0.5277596051401727,0.04086492067173594,-0.25779434945161006,0.5873,0.49946752525240756,0.5192143127186232,9999,False
tabred-weather,63,,33,32,0.0014578735390761506,0.5066429955294312,0.5297638655214661,0.04166778564351534,-0.5548859780993245,0.6985,0.47279940937420517,0.5222393865256831,9999,False
tabred-weather,64,,33,32,0.001586986153962952,0.4990258236408455,0.5325278344252039,0.041900878580809826,-0.7995538976526846,0.7875,0.48434170302935703,0.5267723039362,9999,False
tabred-weather,65,,33,32,0.0011331029092776688,0.5632375292509176,0.5331931705744102,0.042126386895842804,0.7131957162809125,0.2332,0.6096437838911217,0.5277371259031268,9999,False
tabred-weather,66,,33,32,0.0012472175043621004,0.5225164189306762,0.5335249362655179,0.042496186476085135,-0.25904718158738144,0.5898,0.5134901869418228,0.5288788360439284,9999,False
tabred-weather,67,,33,32,0.001596429559399053,0.5214422400482355,0.5308384410003413,0.04259300890757046,-0.22060430087238397,0.5705,0.5244841741930474,0.5240827384048768,9999,False
tabred-weather,68,,33,32,0.0012712648413324298,0.5284247279731615,0.5316108426863484,0.041055590856341466,-0.07760489245753315,0.5103,0.5301082054368429,0.525824717550414,9999,False
tabred-weather,69,,33,32,0.001388849412081798,0.47719699541524313,0.5298455101208974,0.04265127747451412,-1.2343947901001073,0.8999,0.4368386109043204,0.5225002345918227,9999,False
tabred-weather,70,,33,32,0.001050494055037593,0.48599473723556447,0.5284760487507095,0.04242093491373472,-1.0014232737098585,0.8437,0.4774605108575854,0.5205733897995716,9999,False
tabred-weather,71,,33,32,0.0022832889149610345,0.4680777665510127,0.5279440304573382,0.04172413916997447,-1.4348112411006062,0.9321,0.41391167280460167,0.5194040171912856,9999,False
tabred-weather,72,,33,32,0.0013443577136202473,0.4966886491504896,0.5269533469447176,0.0419918402282449,-0.7207280659700913,0.7576,0.4777504914838519,0.5179639917767305,9999,False
tabred-weather,73,,33,32,0.001638232218583267,0.5526051396346651,0.5390644663376188,0.039608297586841194,0.3418645617716413,0.3463,0.572446768685652,0.5369252826023683,9999,False
tabred-weather,74,,33,32,0.0011398408605893377,0.4858574426844522,0.5275363952276447,0.04190401798498099,-0.9946290247901975,0.8418,0.45783922089747897,0.5192470606524725,9999,False
tabred-weather,75,,33,32,0.0014820610154208749,0.42609251396899084,0.5263580987431807,0.04270721101482052,-2.3477436805553777,0.9945,0.3595305271208335,0.5181321703990988,9999,False
tabred-weather,76,,33,32,0.0015996900950319922,0.48238634313247253,0.5248121650178041,0.042749417276154465,-0.9924304139929564,0.8387,0.4403254664241326,0.516198980973781,9999,False
tabred-weather,77,,33,32,0.0012670745879906661,0.5674075307414542,0.5266033981288214,0.04310367974668076,0.9466507929818913,0.1663,0.5848039389239776,0.5197599825560533,9999,False
tabred-weather,78,,33,32,0.0013962570800574515,0.5492741593881858,0.52695906506176,0.042977692859941796,0.5192250407472425,0.2881,0.5526333899588438,0.5202267588931893,9999,False
tabred-weather,79,,33,32,0.0015675810470790058,0.5362956744669983,0.5263303970662061,0.04251208277137389,0.23441047229759554,0.3953,0.5463196139102791,0.5190221016621493,9999,False
tabred-weather,80,,33,32,0.0009313234148203313,0.5781240711683248,0.5266545066200549,0.04242731488648925,1.213123307142402,0.1176,0.6261123841426548,0.5192588257468257,9999,False
tabred-weather,81,,33,32,0.0015312090255077333,0.5230962887196704,0.5274812462830345,0.04307305387136253,-0.10180280173446153,0.5254,0.5313690403972161,0.5204737322231967,9999,False
tabred-weather,82,,33,32,0.0007834632786419423,0.47125342383354657,0.49586252106627143,0.05698999165525042,-0.4318143680664613,0.6729,0.46213241279357997,0.4981625829423041,9999,False
tabred-weather,83,,33,32,0.001131744208874527,0.5409415006368135,0.5276243341243777,0.04934035081682929,0.26990417157499125,0.3825,0.5359361759850987,0.5142020415372107,9999,False
tabred-weather,84,,33,32,0.0010409639475644373,0.550326735038399,0.529043689443387,0.04154542276761802,0.5122837650264761,0.2887,0.5672265247010813,0.5217356118169251,9999,False
tabred-weather,85,,32,31,0.0015819955070243417,0.47974278706411866,0.5025198750871059,0.05413371951077185,-0.4207560136054379,0.6616,0.45067465026205156,0.4959528174339766,9999,False
tabred-weather,86,,5,4,3.464572752481831e-05,0.2958787233790848,0.5021801038574231,0.10233168424796266,-2.0160068896984424,0.9702,0.14974081714744336,0.5140957976840697,9999,False
tabred-weather,87,,27,26,0.0009084809213338804,0.40709953197091414,0.4925069345473504,0.06524896531332972,-1.3089464662972727,0.9046,0.3399766328146266,0.479633944161643,9999,False
tabred-weather,88,,23,22,0.0006215124681817883,0.41999841926206827,0.5160212902382417,0.058593674142956687,-1.6387924529514417,0.9536,0.350180536349395,0.5085576923353703,9999,False
tabred-weather,89,,24,23,0.0010413416105176296,0.5283856774312709,0.5440566553024023,0.06732032799894706,-0.2327822566666131,0.5786,0.49265664225144246,0.526949226858765,9999,False
tabred-weather,90,,33,32,0.0007896596275181472,0.495251883660879,0.5307628294536578,0.04149920788360131,-0.855701773691232,0.8022,0.4639540936062406,0.5242964295697916,9999,False
tabred-weather,91,,33,32,0.0018217633322648594,0.5103569839941747,0.528225801602032,0.041225038042998666,-0.4334457518079113,0.6582,0.5012180424946963,0.5198377262001566,9999,False
tabred-weather,92,,33,32,0.0018585044670948049,0.5225734338610328,0.533985100012888,0.04100580453182318,-0.2782939216080734,0.5856,0.5358611398133556,0.5267226123048101,9999,False
tabred-weather,93,,33,32,0.0011104686873770406,0.648852441544414,0.5466116276385757,0.03826454942813649,2.671946107659093,0.0087,0.6757165406418143,0.5485863451646078,9999,False
tabred-weather,94,,30,29,0.003954344905244041,0.48975562195009675,0.5433476662753387,0.0586964011689331,-0.9130379930960266,0.8201,0.4165272246783406,0.5337962738216591,9999,False
tabred-weather,95,,7,6,0.0001497036309401807,0.54338681305025,0.5376715244560047,0.04841322146641385,0.11805222666725916,0.4001,0.595879040395812,0.5633194120803313,9999,False
tabred-weather,96,,31,30,0.0017914992499036284,0.5292733216126756,0.5552779189203132,0.03310275166651939,-0.7855720747812948,0.7741,0.5188124614629805,0.5763818688164898,9999,False
tabred-weather,97,,22,21,0.0023061683468450435,0.44431047193289736,0.5390067954809903,0.0525780872455742,-1.8010606415900772,0.965,0.4124180170079365,0.5543911498193203,9999,False
tabred-weather,98,,24,23,0.0017726923041664528,0.5166100195692815,0.5503663822003427,0.039525303019711584,-0.854044372897701,0.799,0.50733128662103,0.5638120527900934,9999,False
tabred-weather,99,,11,10,0.0009012342994276627,0.5063904245849256,0.541996419602527,0.0475494694340656,-0.7488200276761116,0.7622,0.49760430281379453,0.5612140883805025,9999,False
king-county-sales,0,bedrooms,13,12,2.235389866842829e-05,0.4167222382024336,0.5255098131422664,0.09264182175531235,-1.1742814732979343,0.8742,0.3199706145545176,0.5181700380568154,9999,False
king-county-sales,1,bathrooms,30,29,0.00018461329485215487,0.4224129960620064,0.5075118270306154,0.06529130536246874,-1.3033715667986348,0.9028,0.4167516120042421,0.49772584330557956,9999,False
king-county-sales,2,sqft_living,32,31,7.06314329981692e-05,0.6053692466288039,0.5146038767574689,0.05040698630050936,1.8006505949437768,0.039,0.7201432952971024,0.5071050619527672,9999,False
king-county-sales,3,sqft_lot,32,31,4.258341799657308e-05,0.6805075423202012,0.5411978357679829,0.055485321013641335,2.510748861270323,0.0062,0.6927619739269242,0.5324131617326094,9999,False
king-county-sales,4,floors,6,5,7.177564227255204e-06,0.22290709846944376,0.42836611927065454,0.11726908161346276,-1.7520306117722986,0.9496,0.16372852952635117,0.4203919264079198,9999,False
king-county-sales,5,waterfront,2,1,0.000458561768469774,0.5024847355727406,0.5024847355727404,2.220557090985149e-16,0.0,1.0,0.5,0.5,9999,False
king-county-sales,6,view,5,4,5.851492964323348e-05,0.6175451950658967,0.5602434825332363,0.07158293775617702,0.8004940049797787,0.2135,0.6877145335843396,0.5929640967741944,9999,False
king-county-sales,7,condition,5,4,0.00011941626137307677,0.45284769267999025,0.5288881820542186,0.11433892579211384,-0.6650446367887165,0.7384,0.3817385178229746,0.5467424482726021,9999,False
king-county-sales,8,grade,12,11,0.00021351287339038013,0.3105413612192787,0.4615678001178853,0.09371429585662522,-1.6115624357852933,0.9443,0.1908319494214217,0.46526445037301417,9999,False
king-county-sales,9,sqft_above,33,32,7.377540513043383e-05,0.5769935755259066,0.5036651261800426,0.05206728036648018,1.408340301812102,0.0827,0.654525203165164,0.49153226838061886,9999,False
king-county-sales,10,sqft_basement,19,18,2.3048864405739343e-05,0.5704711902010734,0.5267438010789203,0.06260598822813519,0.6984537798973995,0.2366,0.6464274445990122,0.5139648085779793,9999,False
king-county-sales,11,yr_built,30,29,0.00016706208070251495,0.2111792288472082,0.5376639227937515,0.04526685312890101,-7.21244511998331,1.0,0.09943651532148877,0.5392930563768289,9999,False
king-county-sales,12,yr_renovated,6,5,9.988843863613191e-05,0.16562417551744857,0.5055497239723133,0.16461626357165884,-2.0649572592618854,0.9939,0.05901626578311008,0.4854998032018622,9999,False
king-county-sales,13,lat,33,32,4.755799245493586e-05,0.6273650185091729,0.5147286753227582,0.04954691142985095,2.2733272354602048,0.0149,0.6634237648494257,0.5115244004541379,9999,False
king-county-sales,14,long,30,29,8.951438660394037e-05,0.5402808097022496,0.5077935574768566,0.0496564863152115,0.6542398513493086,0.2487,0.5630806640645243,0.49694492549097746,9999,False
king-county-sales,15,sqft_living15,33,32,6.284303339143519e-05,0.46042616840735995,0.5047500347023346,0.05196113738048084,-0.8530195551805776,0.8081,0.4375765086901383,0.4935678289765065,9999,False
king-county-sales,16,sqft_lot15,31,30,2.6086210982139878e-05,0.537410764680815,0.5268942407015728,0.059100138818865534,0.17794415020705798,0.4263,0.5238859980011256,0.518840169667984,9999,False
