dataset,column,field_name,nodes,rank,energy_zero,semantic_auc_retention,isospectral_null_auc_mean,isospectral_null_auc_sd,semantic_auc_z,isospectral_upper_tail,semantic_tau1_retention,isospectral_tau1_mean,samples,reference_bh_selected
california,0,,33,32,0.0001711570486462015,0.4809295256499742,0.524365672179537,0.04794081366109288,-0.9060369070209185,0.817,0.41393719406437596,0.5133305991088035,9999,False
california,1,,28,27,0.00035225978838446953,0.39651710493913433,0.5503843081576858,0.03969930808467059,-3.875815741936455,1.0,0.2747018341372518,0.5599100364314323,9999,False
california,2,,33,32,9.684389687148597e-05,0.5282162949107978,0.5222796979454271,0.04769929791134194,0.12445879133074493,0.4415,0.4920754387328841,0.51758834640905,9999,False
california,3,,32,31,0.000343494683884983,0.42681503241206675,0.5219807856180888,0.05370886032140341,-1.7718818205512683,0.9633,0.3413888954417477,0.5161505844460075,9999,False
california,4,,33,32,0.00028038212333542144,0.3676390725352781,0.49940489953323375,0.05561986642319824,-2.3690424927557543,0.9921,0.2935886250807913,0.4938766552637163,9999,False
california,5,,32,31,0.00017389200720067106,0.5132014472959022,0.5397559359733067,0.04648081964940445,-0.5712999228004092,0.7092,0.4947979782314643,0.5339686648187157,9999,False
california,6,,32,31,0.00046885976893646535,0.5770889290312706,0.5379533349073097,0.04839511214318649,0.8086683218786759,0.2027,0.59629371778705,0.5366725898823889,9999,False
california,7,,33,32,0.000597956023443544,0.5628434907790592,0.5168190783460422,0.05062724550812677,0.9090838731415676,0.1796,0.584439627636471,0.5078247714090367,9999,False
tabred-weather,0,,33,32,0.0015907520187389986,0.5200598668750476,0.5336991509552161,0.0464119767893785,-0.29387423298224935,0.6033,0.5097680983606445,0.526278130236985,9999,False
tabred-weather,1,,33,32,0.0013199688438894164,0.5713211301527719,0.5323163447847328,0.04028928791635327,0.9681180131309094,0.1647,0.5557234568053346,0.5260572191826954,9999,False
tabred-weather,2,,33,32,0.0014575095504554248,0.4141927333127432,0.5249963071168122,0.0436396433853032,-2.5390577284457154,0.9955,0.3267665396714166,0.5193298330451429,9999,False
tabred-weather,3,,33,32,0.0011165098031856364,0.563736730638408,0.5249561248762289,0.042698071815042,0.9082519213084744,0.1747,0.5702971845693432,0.5192951906561801,9999,False
tabred-weather,4,,33,32,0.0009395243770239944,0.534148409143516,0.5359091934776196,0.04644227003069249,-0.03791339942987027,0.4971,0.5199391042112645,0.5244551680360533,9999,False
tabred-weather,5,,33,32,0.0008804049048981011,0.5600289699229811,0.5243587597844643,0.043207782515734386,0.8255505851411666,0.2019,0.5962635307002169,0.5181801810095654,9999,False
tabred-weather,6,,33,32,0.001141487436496592,0.5064100528948869,0.5253824303887812,0.04397706629795714,-0.43141526006648523,0.6583,0.48108485946424423,0.5205081861682881,9999,False
tabred-weather,7,,33,32,0.0013628909839910185,0.511545493304578,0.5230215866637125,0.04421206184455714,-0.2595692867589541,0.5924,0.49662776913819695,0.5162849949689566,9999,False
tabred-weather,8,,33,32,0.0011732103583144506,0.5096540907181523,0.5243337037107483,0.04377407328158622,-0.33534948639954565,0.6205,0.5221817712157448,0.518252025824281,9999,False
tabred-weather,9,,33,32,0.0012310280121382911,0.4752397458838245,0.5212181634152837,0.044427796539712974,-1.0349020458478098,0.8495,0.450648134613328,0.514957756308455,9999,False
tabred-weather,10,,33,32,0.0007707053152301861,0.47229403496076106,0.5217204021747444,0.0446892175525493,-1.1060020721075206,0.8696,0.4117003056504459,0.5163642341786147,9999,False
