dataset,model,method,seed,n_fields,anchor_parameters,anchor_target_parameters,anchor_width,anchor_ft_feedforward_width,anchor_best_epoch,anchor_val_log_loss,anchor_val_auc,anchor_val_accuracy,anchor_test_log_loss,anchor_test_auc,anchor_test_accuracy,anchor_train_seconds,residual_parameters,residual_best_epoch,val_log_loss,val_auc,val_accuracy,val_anchor_log_loss,val_anchor_auc,val_anchor_accuracy,test_log_loss,test_auc,test_accuracy,test_anchor_log_loss,test_anchor_auc,test_anchor_accuracy,residual_gate,residual_train_seconds,total_train_seconds
adult,mlp,frozen_t_anchor_q_rank_residual,20260829,14,55265,55078,141,64,25,0.2837189336589767,0.9258348852685664,0.8650391524643022,0.2874363391545051,0.9211066128606048,0.8697333333333334,18.88048948906362,67214,5,0.283280458782027,0.9261003693691836,0.8659603869184708,0.2837189336589767,0.9258348852685664,0.8650391524643022,0.287127384579985,0.9213789754707445,0.8692666666666666,0.2874363391545051,0.9211066128606048,0.8697333333333334,0.03317230939865112,11.560114863794297,32.547419293783605
adult,resnet,frozen_t_anchor_q_rank_residual,20260829,14,171843,171174,131,64,11,0.28738055728184864,0.9242036121829925,0.8676493167511131,0.2924262059305777,0.9195062205203539,0.8664666666666667,11.973070209147409,183310,11,0.28708737622204406,0.9242747389653536,0.8665745432212498,0.28738055728184864,0.9242036121829925,0.8676493167511131,0.2921941069123623,0.9194794157981064,0.8665333333333334,0.2924262059305777,0.9195062205203539,0.8664666666666667,0.02533010020852089,16.99764504819177,30.700141065986827
adult,ft_transformer,frozen_t_anchor_q_rank_residual,20260829,14,16271,16262,128,159,20,0.27881292406410796,0.9289193243020161,0.8697988638108398,0.28643759695104176,0.9226789428513459,0.8717333333333334,28.54220551182516,28398,11,0.27762438775105286,0.929410182930604,0.8705665591893137,0.27881292406410796,0.9289193243020161,0.8697988638108398,0.28588514027436157,0.9229115175872022,0.8718666666666667,0.28643759695104176,0.9226789428513459,0.8717333333333334,0.09155172854661942,29.58060810295865,58.74105806089938
churn,mlp,frozen_t_anchor_q_rank_residual,20260829,11,42675,42724,131,64,36,0.33502507063705095,0.8610506496133139,0.870625,0.34426501243061886,0.8523500387907168,0.861,5.329174625920132,55816,4,0.3346615559232343,0.8611770569483103,0.869375,0.33502507063705095,0.8610506496133139,0.870625,0.3441561857773016,0.8524518355026829,0.8595,0.34426501243061886,0.8523500387907168,0.861,0.023447232320904732,2.4308973329607397,8.140687123173848
churn,resnet,frozen_t_anchor_q_rank_residual,20260829,11,159703,158820,129,64,14,0.3403486161521414,0.8638027178780903,0.863125,0.34460367784669654,0.8569308908291959,0.8655,3.1231352069880813,171912,6,0.33554942167937296,0.8677141219866898,0.8625,0.3403486161521414,0.8638027178780903,0.863125,0.339795231709812,0.8610528864766153,0.864,0.34460367784669654,0.8569308908291959,0.8655,0.0458504892885685,2.9451564599294215,7.591723195044324
churn,ft_transformer,frozen_t_anchor_q_rank_residual,20260829,11,10075,10052,128,85,29,0.3279270220856651,0.8700075122073369,0.87,0.3375014413078004,0.8613775562928105,0.861,8.660818845033646,23144,13,0.32667610748216697,0.8707816066492666,0.869375,0.3279270220856651,0.8700075122073369,0.87,0.3360191044404365,0.8622682775225148,0.8635,0.3375014413078004,0.8613775562928105,0.861,-0.12552684545516968,5.707547904923558,14.737567482050508
higgs-small,mlp,frozen_t_anchor_q_rank_residual,20260829,28,81729,81989,128,64,15,0.5371139167384112,0.8017383239623173,0.7257333333333333,0.5417712376253447,0.7975853702069693,0.7176666666666667,20.08254797803238,118522,9,0.53486707876146,0.8034573973843915,0.7258,0.5371139167384112,0.8017383239623173,0.7257333333333333,0.5400849340926538,0.7992083433126439,0.7211333333333333,0.5417712376253447,0.7975853702069693,0.7176666666666667,-0.0701986774802208,25.869749098084867,46.621532934950665
higgs-small,resnet,frozen_t_anchor_q_rank_residual,20260829,28,197825,198085,128,64,13,0.5392270150708057,0.8028517357564507,0.7247333333333333,0.544605588498076,0.7986012794879707,0.7176666666666667,22.47266889200546,234618,12,0.5352761903355499,0.804767550662961,0.7292,0.5392270150708057,0.8028517357564507,0.7247333333333333,0.5404303706285798,0.8003949773071191,0.7217333333333333,0.544605588498076,0.7986012794879707,0.7176666666666667,0.067601278424263,34.6700728200376,58.965958788990974
higgs-small,ft_transformer,frozen_t_anchor_q_rank_residual,20260829,28,14505,14501,128,68,18,0.5438196168796848,0.7951602147748869,0.7183333333333334,0.5477648046509401,0.7919345499005019,0.7146666666666667,46.002291950862855,51034,26,0.5402301243254775,0.7986391171869547,0.7214666666666667,0.5438196168796848,0.7951602147748869,0.7183333333333334,0.5441200489446664,0.7955516426111757,0.7178,0.5477648046509401,0.7919345499005019,0.7146666666666667,-0.15490108728408813,74.84517361503094,121.52154033700936
