dataset,model,method,seed,n_fields,parameters,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_identity_gate,mean_frequency_gate,train_seconds
maps-routing,mlp,interval_rank,20260827,986,3331701,6,0.1931179165840149,0.16538528254013574,0.1946151703596115,0.16602516524650246,0.0,0.0,21.35650630388409
maps-routing,resnet,interval_rank,20260827,986,3447797,8,0.19526490569114685,0.16630207719228515,0.19735287129878998,0.1671888461346536,0.0,0.0,29.780940866097808
