task,dataset,model,method,seed,selected_alpha,anchor_parameters,anchor_target_parameters,anchor_width,anchor_ft_feedforward_width,anchor_best_epoch,anchor_val_log_loss,anchor_val_auc,anchor_val_accuracy,anchor_train_seconds,anchor_test_log_loss,anchor_test_auc,anchor_test_accuracy,second_parameters,second_matched_width,second_matched_ft_feedforward_width,second_best_epoch,second_train_seconds,second_val_log_loss,second_val_auc,second_val_accuracy,second_test_log_loss,second_test_auc,second_test_accuracy,stack_val_log_loss,stack_val_auc,stack_val_accuracy,stack_test_log_loss,stack_test_auc,stack_test_accuracy,fixed_val_log_loss,fixed_val_auc,fixed_val_accuracy,fixed_test_log_loss,fixed_test_auc,fixed_test_accuracy,anchor_val_loss,anchor_val_rmse,anchor_test_loss,anchor_test_rmse,second_val_loss,second_val_rmse,second_test_loss,second_test_rmse,stack_val_loss,stack_val_rmse,stack_test_loss,stack_test_rmse,fixed_val_loss,fixed_val_rmse,fixed_test_loss,fixed_test_rmse
classification,openml-magic-telescope-1120,mlp,safeple_discrete_convex_stack,20260827,0.5,39969,39969,128,64,34,0.3039270407506751,0.9286290562108047,0.8764458464773922,9.07098097493872,0.3077984200894057,0.9264955563071828,0.8727655099894848,39969,128,64,39,8.821003190008923,0.30432464415950317,0.9291795928362654,0.8774973711882229,0.3077598231422356,0.9273623522052378,0.8735541535226078,0.3026062383219824,0.929387502621603,0.879074658254469,0.30630799132871717,0.9273640191204264,0.8767087276550999,0.3026062383219824,0.929387502621603,0.879074658254469,0.30630799132871717,0.9273640191204264,0.8767087276550999,,,,,,,,,,,,,,,,
classification,openml-magic-telescope-1120,resnet,safeple_discrete_convex_stack,20260827,0.5,156065,156065,128,64,12,0.3055819821893786,0.9298687864978659,0.8751314405888538,5.662505130050704,0.30981333311675047,0.9275823850101288,0.8743427970557308,156065,128,64,19,7.647804623004049,0.3090423425602481,0.9288751535077351,0.8753943217665615,0.30905335206817547,0.9287730170679992,0.8711882229232387,0.30177140292350757,0.9315525223760633,0.8774973711882229,0.3031312949922447,0.9305732854716521,0.8732912723449001,0.30177140292350757,0.9315525223760633,0.8774973711882229,0.3031312949922447,0.9305732854716521,0.8732912723449001,,,,,,,,,,,,,,,,
classification,openml-magic-telescope-1120,ft_transformer,safeple_discrete_convex_stack,20260827,0.75,9345,9345,128,64,20,0.3171214330621162,0.9251933924694227,0.870136698212408,12.057492178864777,0.32262642420706006,0.9202008299419185,0.8654048370136698,9345,128,64,39,18.130220480961725,0.31125140654614575,0.9274238765294704,0.8759200841219769,0.3122306595777991,0.925820455655813,0.8714511041009464,0.3085973942769142,0.9284456955400623,0.8753943217665615,0.3101780436984611,0.9263809937724048,0.8711882229232387,0.3087373696713236,0.9283582582615347,0.8740799158780231,0.3112244662437026,0.9256767978741073,0.8719768664563617,,,,,,,,,,,,,,,,
classification,openml-phoneme-1489,mlp,safeple_discrete_convex_stack,20260827,0.75,28369,28369,128,64,36,0.31708532046619753,0.9245957685764777,0.8704902867715079,2.639573040883988,0.3332245064256091,0.9139779840454523,0.8362627197039778,28369,128,64,39,2.501572225941345,0.31318566917128,0.9254009282045352,0.8686401480111008,0.33123108079141617,0.9160280443291987,0.8408880666049954,0.31261183506660783,0.9258798949576362,0.8658649398704903,0.33021945063784525,0.916025979817332,0.8390379278445883,0.3130445497239777,0.9259418303136406,0.8686401480111008,0.3302003619062172,0.915769980345847,0.8408880666049954,,,,,,,,,,,,,,,,
classification,openml-phoneme-1489,resnet,safeple_discrete_convex_stack,20260827,0.25,144465,144465,128,64,17,0.2966221965779135,0.937383355079525,0.8667900092506938,2.07891529914923,0.3125911890872281,0.9296104679009695,0.8612395929694727,144465,128,64,13,1.6699473978951573,0.3125232660020969,0.9298231126232513,0.8677150786308974,0.311639128492088,0.9278411812311097,0.8538390379278445,0.2918665734577245,0.9379098056055626,0.8723404255319149,0.30449261410810946,0.9312723999537549,0.8677150786308974,0.29246863789712435,0.93708193634697,0.8732654949121184,0.3011064876786562,0.9320796240936794,0.8658649398704903,,,,,,,,,,,,,,,,
classification,openml-phoneme-1489,ft_transformer,safeple_discrete_convex_stack,20260827,0.75,7985,7985,128,64,26,0.32713946976395875,0.9176466216327811,0.8677150786308974,4.300960791995749,0.34175390400403116,0.9128631476373726,0.8427382053654024,7985,128,64,39,5.256500554038212,0.31352920302048837,0.9270587312335872,0.8667900092506938,0.3311324401063906,0.9199919071134821,0.8575393154486587,0.3087366202377698,0.9286979536558375,0.8723404255319149,0.32509979461197464,0.9217715163426758,0.8630897317298798,0.3090519075892337,0.9281260838687301,0.876040703052729,0.3243757207819277,0.9213090656845095,0.8621646623496763,,,,,,,,,,,,,,,,
regression,openml-fried-564,mlp,safeple_discrete_convex_stack,20260827,0.25,39969,39969,128,64,18,,,,,,,,39969,128,64,21,12.554586701095104,,,,,,,,,,,,,,,,,,,0.04361865296959877,1.0390781746025415,0.04143701121211052,1.0127594619951241,0.04389733821153641,1.0423922921903361,0.04154152050614357,1.0140358103630593,0.0435076504945755,1.0377551887307421,0.041287727653980255,1.0109335007643188,0.0435171015560627,1.0378678971326873,0.04125538840889931,1.0105375086330322
regression,openml-fried-564,resnet,safeple_discrete_convex_stack,20260827,0.5,156065,156065,128,64,15,,,,,,,,156065,128,64,11,11.050162740983069,,,,,,,,,,,,,,,,,,,0.04544709250330925,1.0606330358615197,0.04356403276324272,1.0384273928963828,0.044839512556791306,1.053519404947381,0.042623378336429596,1.0271551132911065,0.044063813984394073,1.0443670001629959,0.0420173704624176,1.0198270636652016,0.044063813984394073,1.0443670001629959,0.0420173704624176,1.0198270636652016
regression,openml-fried-564,ft_transformer,safeple_discrete_convex_stack,20260827,0.5,9345,9345,128,64,20,,,,,,,,9345,128,64,21,25.902176256058738,,,,,,,,,,,,,,,,,,,0.04712415486574173,1.080025190873831,0.04582440108060837,1.0650267027494773,0.04658183827996254,1.0737926071492847,0.04457470029592514,1.0504038717254647,0.044845011085271835,1.0535839978537829,0.04315195232629776,1.0335043826190624,0.044845011085271835,1.0535839978537829,0.04315195232629776,1.0335043826190624
regression,openml-wine-quality-287,mlp,safeple_discrete_convex_stack,20260827,0.25,51865,51783,149,64,36,,,,,,,,51865,149,64,20,1.9552899168338627,,,,,,,,,,,,,,,,,,,0.6168656945228577,0.6901889973678642,0.6342342495918274,0.6998380766644677,0.6309228539466858,0.6980087260921383,0.6592926979064941,0.7135293718747376,0.6145773530006409,0.6889076361143806,0.6344118714332581,0.6999360671356113,0.6161575317382812,0.6897927145762797,0.6386474370956421,0.7022686948212917
