dataset,model,method,seed,n_fields,anchor_parameters,anchor_target_parameters,anchor_width,anchor_ft_feedforward_width,anchor_best_epoch,anchor_val_loss,anchor_val_rmse,anchor_test_loss,anchor_test_rmse,residual_parameters,residual_best_epoch,val_loss,val_rmse,val_anchor_rmse,test_loss,test_rmse,test_anchor_rmse,residual_gate,residual_train_seconds,total_train_seconds
maps-routing,mlp,frozen_t_anchor_q_rank_residual,20260829,986,2320069,2317822,129,64,4,0.19377821683883667,0.16566778029863324,0.19516277313232422,0.16625857967242086,3599638,9,0.19206932187080383,0.1649356655655797,0.16566778029863324,0.1945241391658783,0.16598633159160822,0.16625857967242086,0.022219335660338402,56.01197197497822,90.08526427694596
maps-routing,resnet,frozen_t_anchor_q_rank_residual,20260829,986,2437975,2433918,129,64,10,0.19260019063949585,0.16516344471880492,0.19360187649726868,0.16559238337653867,3715734,2,0.19245842099189758,0.1651026465603601,0.16516344471880492,0.19329723715782166,0.16546204937500372,0.16559238337653867,0.01458793506026268,44.408554011024535,77.4516030040104
