dataset,task,model,seed,method,strength,target_parameters,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds,width,parameter_error_fraction,members
king-county-sales,regression,mlp,20260850,raple_raw,1.0,64769,397,64977,19,0.07689739763736725,0.10549011826515198,0.1116010993719101,0.17062254340900473,0.17549500181023525,0.6739985346794128,9.66860580444336,0.034559156745672226,2.926524864975363,124,0.003211412867266748,
king-county-sales,regression,mlp,20260850,anchor_only,1.0,64769,376,64897,19,0.08070863038301468,0.10338139533996582,0.10844098031520844,0.1689085878279588,0.17299248513172394,0.6330663561820984,9.163928031921387,0.03363354131579399,2.4072354179807007,128,0.0019762540721641525,
king-county-sales,regression,mlp,20260850,anchor_mass_representer,1.0,64769,378,64517,19,0.07843295484781265,0.10362657904624939,0.11198218911886215,0.1691087653651291,0.17579439138033592,0.6851142644882202,9.37045955657959,0.03372763842344284,2.5041806411463767,127,-0.0038907502045731754,
king-county-sales,regression,mlp,20260850,anchor_riesz_representer,1.0,64769,378,64517,19,0.0782674252986908,0.1035739853978157,0.11177409440279007,0.16906583663003438,0.1756309741166895,0.6855223774909973,9.354694366455078,0.033726051449775696,2.472205596975982,127,-0.0038907502045731754,
king-county-sales,regression,mlp,20260850,anchor_wrong_representer,1.0,64769,378,64517,19,0.07861731201410294,0.10360625386238098,0.11189443618059158,0.16909218566765816,0.17572548935146948,0.6860941052436829,9.370718002319336,0.03372664004564285,2.601279762107879,127,-0.0038907502045731754,
king-county-sales,regression,mlp,20260850,anchor_isospectral_representer,1.0,64769,378,64517,19,0.07895277440547943,0.10372880101203918,0.11079558730125427,0.16919214918829262,0.17486052700409083,0.6827444434165955,9.341577529907227,0.033725887537002563,2.4924669628962874,127,-0.0038907502045731754,
king-county-sales,regression,mlp,20260851,raple_raw,1.0,64769,397,64977,15,0.07669315487146378,0.10466431081295013,0.11256735771894455,0.16995339057651648,0.17625309634369835,0.5080184936523438,9.062437057495117,0.03451422229409218,2.198652185034007,124,0.003211412867266748,
king-county-sales,regression,mlp,20260851,anchor_only,1.0,64769,376,64897,18,0.07876583188772202,0.10385771095752716,0.11358614265918732,0.16929724787490485,0.17704889051031536,0.4773450493812561,8.9149169921875,0.033599525690078735,2.3471867369953543,128,0.0019762540721641525,
king-county-sales,regression,mlp,20260851,anchor_mass_representer,1.0,64769,378,64517,21,0.07614833861589432,0.10402912646532059,0.11351925879716873,0.16943689933991024,0.17699675605084586,0.402351051568985,9.358327865600586,0.033679354935884476,2.6825507159810513,127,-0.0038907502045731754,
king-county-sales,regression,mlp,20260851,anchor_riesz_representer,1.0,64769,378,64517,21,0.07631292939186096,0.10397141426801682,0.11278149485588074,0.16938990004641852,0.17642066244571097,0.4036491811275482,9.317216873168945,0.033677682280540466,2.248806759947911,127,-0.0038907502045731754,
king-county-sales,regression,mlp,20260851,anchor_wrong_representer,1.0,64769,378,64517,15,0.07908321171998978,0.10390684008598328,0.11351562291383743,0.16933729590713398,0.17699392231596178,0.4020748436450958,8.711832046508789,0.03367794305086136,2.076021861983463,127,-0.0038907502045731754,
king-county-sales,regression,mlp,20260851,anchor_isospectral_representer,1.0,64769,378,64517,21,0.07613978534936905,0.10404596477746964,0.11351854354143143,0.16945061399050942,0.1769961924350678,0.4024539291858673,9.354771614074707,0.033679474145174026,2.421198941068724,127,-0.0038907502045731754,
king-county-sales,regression,mlp,20260852,raple_raw,1.0,64769,397,64977,10,0.08114328980445862,0.10530110448598862,0.11923924088478088,0.17046961566122754,0.18140119417238232,0.6865500211715698,8.37430477142334,0.0344281941652298,1.6392198510002345,124,0.003211412867266748,
king-county-sales,regression,mlp,20260852,anchor_only,1.0,64769,376,64897,10,0.08228668570518494,0.10567231476306915,0.1210799291729927,0.17076983499900145,0.18279597100712053,0.5290783643722534,8.218097686767578,0.03350048139691353,1.5551755269989371,128,0.0019762540721641525,
king-county-sales,regression,mlp,20260852,anchor_mass_representer,1.0,64769,378,64517,10,0.08174075186252594,0.10542935132980347,0.12057672441005707,0.17057339924435766,0.1824157182288637,0.5825197100639343,8.185955047607422,0.03358487784862518,1.6412021601572633,127,-0.0038907502045731754,
king-county-sales,regression,mlp,20260852,anchor_riesz_representer,1.0,64769,378,64517,10,0.08168219774961472,0.10543117672204971,0.12079709023237228,0.17057487090777812,0.18258234497124626,0.5844057202339172,8.173897743225098,0.033584196120500565,1.5873228220734745,127,-0.0038907502045731754,
king-county-sales,regression,mlp,20260852,anchor_wrong_representer,1.0,64769,378,64517,10,0.08186081051826477,0.10530184209346771,0.12036735564470291,0.17047021058899325,0.1822572795712567,0.5817566514015198,8.196276664733887,0.03358389809727669,1.5935669119935483,127,-0.0038907502045731754,
king-county-sales,regression,mlp,20260852,anchor_isospectral_representer,1.0,64769,378,64517,10,0.08184138685464859,0.10525817424058914,0.11989366263151169,0.17043487501090837,0.18189830328862122,0.5822206139564514,8.180681228637695,0.033585112541913986,1.590388349024579,127,-0.0038907502045731754,
king-county-sales,regression,tabm,20260850,raple_raw,1.0,73536,397,73740,18,,0.1032770499587059,0.11432728916406631,0.16882332528553512,0.17762556338722213,,,,2.657973320921883,124,0.0027741514360313316,8
king-county-sales,regression,tabm,20260850,anchor_only,1.0,73536,376,73672,15,,0.10315420478582382,0.1137523204088211,0.16872289208508562,0.17717834992333437,,,,2.2976496340706944,128,0.0018494342906875544,8
king-county-sales,regression,tabm,20260850,anchor_mass_representer,1.0,73536,378,73263,15,,0.10347378998994827,0.11481425911188126,0.168984049718242,0.17800346776640374,,,,2.288789547048509,127,-0.003712467362924282,8
king-county-sales,regression,tabm,20260850,anchor_riesz_representer,1.0,73536,378,73263,15,,0.10332689434289932,0.11444730311632156,0.16886406218149297,0.17771877917451384,,,,2.4906513071618974,127,-0.003712467362924282,8
king-county-sales,regression,tabm,20260850,anchor_wrong_representer,1.0,73536,378,73263,15,,0.10323266685009003,0.114715076982975,0.16878705034782016,0.17792656552468777,,,,2.30578802106902,127,-0.003712467362924282,8
king-county-sales,regression,tabm,20260850,anchor_isospectral_representer,1.0,73536,378,73263,15,,0.10354097932577133,0.11486352980136871,0.16903890832063873,0.17804165273536654,,,,2.3613726338371634,127,-0.003712467362924282,8
king-county-sales,regression,tabm,20260851,raple_raw,1.0,73536,397,73740,13,,0.10384563356637955,0.11417140811681747,0.16928740025478284,0.17750443296292318,,,,2.2446843979414552,124,0.0027741514360313316,8
king-county-sales,regression,tabm,20260851,anchor_only,1.0,73536,376,73672,21,,0.10289164632558823,0.11441917717456818,0.1685080292256984,0.17769693906311446,,,,2.690285700140521,128,0.0018494342906875544,8
king-county-sales,regression,tabm,20260851,anchor_mass_representer,1.0,73536,378,73263,13,,0.10403619706630707,0.11399789154529572,0.1694426607456414,0.17736949395206203,,,,2.2994676418602467,127,-0.003712467362924282,8
king-county-sales,regression,tabm,20260851,anchor_riesz_representer,1.0,73536,378,73263,13,,0.10416187345981598,0.1143476590514183,0.16954497266535107,0.177641391596989,,,,2.2760857520624995,127,-0.003712467362924282,8
