dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_size,width,parameter_count,baseline_parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
churn,binclass,mlp,20260828,quantile_ple,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,25,0.3220585928090112,0.3459568024636816,0.3627896044531984,0.856875,0.854,0.1706213355064392,8.758844375610352,0.02210504189133644,4.017322346102446
churn,binclass,mlp,20260828,adaptive_support_ple,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,25,0.32181847291036275,0.3469780398568115,0.3632736135947548,0.85875,0.855,0.17164625227451324,8.758533477783203,0.02210514433681965,3.9652509898878634
churn,binclass,mlp,20260828,adaptive_support_spectral,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,16,0.3168643420243618,0.3560703080457266,0.3701663394467943,0.853125,0.85,0.13803136348724365,8.189088821411133,0.022106831893324852,4.242255371063948
churn,binclass,mlp,20260828,adaptive_support_heat,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,21,0.30867172460982795,0.34971651492366107,0.3640693515129117,0.859375,0.8555,0.13795527815818787,8.938512802124023,0.02189771644771099,3.9621390451211482
churn,binclass,mlp,20260829,quantile_ple,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,21,0.3303664088644861,0.34709271120234564,0.3606547912400664,0.858125,0.8525,0.16068406403064728,8.369778633117676,0.02214483544230461,4.346548289060593
churn,binclass,mlp,20260829,adaptive_support_ple,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,21,0.32961724128136394,0.3469907419878017,0.3604558252749641,0.86,0.851,0.16115258634090424,8.384685516357422,0.022143512964248657,4.603032815037295
churn,binclass,mlp,20260829,adaptive_support_spectral,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,18,0.3058085282515652,0.35594575293369213,0.37854079740791086,0.85125,0.8485,0.14207865297794342,8.461030960083008,0.022143959999084473,4.411352063994855
churn,binclass,mlp,20260829,adaptive_support_heat,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,21,0.31115704114023296,0.3500037066562935,0.3644238048244383,0.8575,0.853,0.14194373786449432,8.995526313781738,0.021919356659054756,4.297285703010857
churn,binclass,mlp,20260830,quantile_ple,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,16,0.33991549852940833,0.3523773777220973,0.3671714318658273,0.863125,0.85,0.21075734496116638,8.05347728729248,0.022017914801836014,4.22002816805616
churn,binclass,mlp,20260830,adaptive_support_ple,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,15,0.33918372626288223,0.35268836329564707,0.36611032347808453,0.8575,0.85,0.21147599816322327,7.9672017097473145,0.02201828546822071,3.905926750972867
