dataset,model,method,seed,n_fields,anchor_parameters,anchor_target_parameters,anchor_width,anchor_ft_feedforward_width,anchor_best_epoch,anchor_val_log_loss,anchor_val_auc,anchor_val_accuracy,anchor_test_log_loss,anchor_test_auc,anchor_test_accuracy,anchor_train_seconds,residual_parameters,residual_best_epoch,val_log_loss,val_auc,val_accuracy,val_anchor_log_loss,val_anchor_auc,val_anchor_accuracy,test_log_loss,test_auc,test_accuracy,test_anchor_log_loss,test_anchor_auc,test_anchor_accuracy,residual_gate,residual_train_seconds,total_train_seconds,val_gain_log_loss,val_gain_pct,test_gain_log_loss,test_gain_pct,validation_safe,substantive_validation_win
adult,ft_transformer,frozen_t_anchor_q_rank_residual,20260827,14,16271,16262,128,159,21,0.2835370068616144,0.9272112497678546,0.8693382465837556,0.2878476316420598,0.922754104574814,0.8685333333333334,29.977238570107147,28398,8,0.2822771722066435,0.9271552124388684,0.8674957776754184,0.2835370068616144,0.9272112497678546,0.8693382465837556,0.2863973843602587,0.9223662621907236,0.8709333333333333,0.2878476316420598,0.922754104574814,0.8685333333333334,0.1177910640835762,24.73384997597896,55.321612789994106,0.001259834654970926,0.44432812101519154,0.001450247281801098,0.5038246358074917,True,True
adult,mlp,frozen_t_anchor_q_rank_residual,20260827,14,55265,55078,141,64,27,0.2843292368806229,0.9260349817378924,0.8694917856594503,0.2882568332426002,0.921454445436189,0.8699333333333333,20.00355589413084,67214,13,0.2833457718446712,0.9263183926249974,0.8662674650698603,0.2843292368806229,0.9260349817378924,0.8694917856594503,0.2881351434478474,0.9213251687513854,0.8703333333333333,0.2882568332426002,0.921454445436189,0.8699333333333333,-0.0452608540654182,19.181588363833725,41.206118626054376,0.0009834650359517028,0.3458895211555805,0.00012168979475279951,0.042215753702665566,True,True
adult,resnet,frozen_t_anchor_q_rank_residual,20260827,14,171843,171174,131,64,12,0.2893324110002823,0.923056297847754,0.8679563949025026,0.2932154331080595,0.9189182057969416,0.8664,13.4809404311236,183310,24,0.2868052704357215,0.9241824611543304,0.8674957776754184,0.2893324110002823,0.923056297847754,0.8679563949025026,0.2910404157094285,0.9198026999827088,0.8674666666666667,0.2932154331080595,0.9189182057969416,0.8664,-0.0609108991920948,32.70550202601589,47.91857128194533,0.0025271405645607703,0.873438463331474,0.002175017398630963,0.7417813501751792,True,True
adult,ft_transformer,frozen_t_anchor_q_rank_residual,20260828,14,16271,16262,128,159,26,0.2806875122101111,0.9271008517158128,0.8662674650698603,0.2859939349998445,0.9224050883500414,0.8713333333333333,35.138940579025075,28398,5,0.2803700129091758,0.9271414771672066,0.8671886995240289,0.2806875122101111,0.9271008517158128,0.8662674650698603,0.2858836272628196,0.922463715973908,0.8713333333333333,0.2859939349998445,0.9224050883500414,0.8713333333333333,0.0414872132241725,19.932700730860237,55.587181662907824,0.0003174993009353311,0.11311486515212837,0.00011030773702491725,0.0385699567457531,True,True
adult,mlp,frozen_t_anchor_q_rank_residual,20260828,14,55265,55078,141,64,23,0.2837691900014402,0.926113137368193,0.8667280822969445,0.2869276520582475,0.9215872114201632,0.8694666666666667,17.891233016038314,67214,3,0.2837680188676442,0.9260841836734696,0.8665745432212498,0.2837691900014402,0.926113137368193,0.8667280822969445,0.2868546533915386,0.9215832042744728,0.8697333333333334,0.2869276520582475,0.9215872114201632,0.8694666666666667,-0.015165589749813,9.77076648082584,29.7618783810176,1.1711337959963153e-06,0.00041270646612141777,7.29986667089011e-05,0.02544148888587499,True,True
adult,resnet,frozen_t_anchor_q_rank_residual,20260828,14,171843,171174,131,64,11,0.2880140750196623,0.922804871443016,0.8628896054045755,0.2939033692925301,0.91788051534902,0.8646,12.32264167093672,183310,5,0.2868271955327088,0.9233527346732424,0.8635037617073545,0.2880140750196623,0.922804871443016,0.8628896054045755,0.2930001553306073,0.9183157653490448,0.8664,0.2939033692925301,0.91788051534902,0.8646,0.0381709560751915,13.02856963709928,27.18492369097657,0.001186879486953507,0.4120907934351752,0.0009032139619227775,0.3073166408731381,True,True
adult,ft_transformer,frozen_t_anchor_q_rank_residual,20260829,14,16271,16262,128,159,20,0.2788129240641079,0.928919324302016,0.8697988638108398,0.2864375969510417,0.922678942851346,0.8717333333333334,28.54220551182516,28398,11,0.2776243877510528,0.929410182930604,0.8705665591893137,0.2788129240641079,0.928919324302016,0.8697988638108398,0.2858851402743615,0.9229115175872022,0.8718666666666667,0.2864375969510417,0.922678942851346,0.8717333333333334,0.0915517285466194,29.58060810295865,58.74105806089938,0.0011885363130550997,0.42628451211315355,0.0005524566766801908,0.19287156524170165,True,True
adult,mlp,frozen_t_anchor_q_rank_residual,20260829,14,55265,55078,141,64,25,0.2837189336589767,0.9258348852685664,0.8650391524643022,0.2874363391545051,0.9211066128606048,0.8697333333333334,18.88048948906362,67214,5,0.283280458782027,0.9261003693691836,0.8659603869184708,0.2837189336589767,0.9258348852685664,0.8650391524643022,0.287127384579985,0.9213789754707444,0.8692666666666666,0.2874363391545051,0.9211066128606048,0.8697333333333334,0.0331723093986511,11.560114863794295,32.547419293783605,0.00043847487694970155,0.15454551139570324,0.0003089545745201261,0.10748626128099076,True,True
adult,resnet,frozen_t_anchor_q_rank_residual,20260829,14,171843,171174,131,64,11,0.2873805572818486,0.9242036121829924,0.8676493167511131,0.2924262059305777,0.919506220520354,0.8664666666666667,11.973070209147409,183310,11,0.287087376222044,0.9242747389653536,0.8665745432212498,0.2873805572818486,0.9242036121829924,0.8676493167511131,0.2921941069123623,0.9194794157981064,0.8665333333333334,0.2924262059305777,0.919506220520354,0.8664666666666667,0.0253301002085208,16.99764504819177,30.700141065986827,0.0002931810598045814,0.10201840464699356,0.0002320990182154148,0.07937011577906097,True,True
churn,ft_transformer,frozen_t_anchor_q_rank_residual,20260827,11,10075,10052,128,85,17,0.3393276706186439,0.8603644383661913,0.864375,0.3477509158046485,0.8494897054219087,0.8645,6.202274702023715,23144,15,0.3328605869952338,0.8661177779275939,0.86625,0.3393276706186439,0.8603644383661913,0.864375,0.3379672739274088,0.8582072056648329,0.8655,0.3477509158046485,0.8494897054219087,0.8645,-0.2112931907176971,8.552198834950104,15.126640080939978,0.006467083623410086,1.9058521256517773,0.009783641877239735,2.813405064542163,True,True
