dataset,model,method,val_loss,test_loss,test_loss_gain_pct,input_size,baseline_parameter_count,parameter_count
churn,mlp,quantile_ple,0.3457671614653857,0.3630449269681163,0.0,163,37633,37633
churn,mlp,quantile_whitened,0.3804406362335101,0.4020668016156801,-10.748497430730056,163,37633,37633
churn,mlp,adaptive_support_whitened,0.3562279121769222,0.3752808495737769,-3.3703604421210334,163,37633,37633
churn,resnet,quantile_ple,0.3486551721975715,0.3647929730980286,0.0,163,153729,153729
churn,resnet,quantile_whitened,0.3689477129811264,0.3764649523076593,-3.1996173365143634,163,153729,153729
churn,resnet,adaptive_support_whitened,0.3689043866953557,0.3875260918740235,-6.2317863699326095,163,153729,153729
diamond,mlp,quantile_ple,0.0187172759324312,0.0200586281716823,0.0,184,40321,40321
diamond,mlp,quantile_whitened,0.0202522538602352,0.0217878371477127,-8.620773869628866,184,40321,40321
diamond,mlp,adaptive_support_whitened,0.0181854404509067,0.0205506104975938,-2.452721700111354,180,40321,40249
diamond,resnet,quantile_ple,0.0197079069912433,0.0214408710598945,0.0,184,156417,156417
diamond,resnet,quantile_whitened,0.0203596279025077,0.0232349745929241,-8.367680249640143,184,156417,156417
diamond,resnet,adaptive_support_whitened,0.0182136632502079,0.021039692685008,1.8710917749834781,180,156417,155905
higgs-small,mlp,quantile_ple,0.5427746966758563,0.5483264019412807,0.0,776,116097,116097
higgs-small,mlp,quantile_whitened,0.586219087575543,0.5883744319030627,-7.303684414975645,776,116097,116097
higgs-small,mlp,adaptive_support_whitened,0.5427746966758563,0.5483264019412807,0.0,776,116097,116097
higgs-small,resnet,quantile_ple,0.5431591127293393,0.5464778338911319,0.0,776,232193,232193
higgs-small,resnet,quantile_whitened,0.5924362154563545,0.5951043555458412,-8.898169081894826,776,232193,232193
higgs-small,resnet,adaptive_support_whitened,0.5431591127293393,0.5464778338911319,0.0,776,232193,232193
house,mlp,quantile_ple,0.3418944180011749,0.3785901665687561,0.0,439,72961,72961
house,mlp,quantile_whitened,0.4507109820842743,0.5012844204902649,-32.40819882711512,439,72961,72961
house,mlp,adaptive_support_whitened,0.4621967673301697,0.4646675288677215,-22.736291087299758,444,72961,72899
house,resnet,quantile_ple,0.3396405577659607,0.3795584738254547,0.0,439,189057,189057
house,resnet,quantile_whitened,0.4931037425994873,0.5020213723182678,-32.26456710570751,439,189057,189057
house,resnet,adaptive_support_whitened,0.4884630441665649,0.5092003345489502,-34.15596532910318,444,189057,189697
microsoft,mlp,quantile_ple,0.8520053625106812,0.8733725547790527,0.0,2305,311809,311809
microsoft,mlp,quantile_whitened,0.8800614476203918,0.8933501839637756,-2.2874120643482865,2304,311809,311681
microsoft,mlp,adaptive_support_whitened,0.8815763592720032,0.8980026245117188,-2.820110340986954,2533,311809,313173
microsoft,resnet,quantile_ple,0.8555302023887634,0.8709973692893982,0.0,2305,427905,427905
microsoft,resnet,quantile_whitened,0.8839881420135498,0.8990048766136169,-3.215567384212495,2304,427905,427777
microsoft,resnet,adaptive_support_whitened,0.8884056210517883,0.8998701572418213,-3.314911039970065,2533,427905,429807
otto,mlp,quantile_ple,0.5150263506638026,0.5103178924464017,0.0,390,67721,67721
otto,mlp,quantile_whitened,0.5352881217386991,0.528166580151012,-3.4975625916320343,390,67721,67721
otto,mlp,adaptive_support_whitened,0.5150263506638026,0.5103178924464017,0.0,390,67721,67721
otto,resnet,quantile_ple,0.5331709156758895,0.5266157672657739,0.0,390,183817,183817
otto,resnet,quantile_whitened,0.5349542890967947,0.5233950736480973,0.6115832107341916,390,183817,183817
otto,resnet,adaptive_support_whitened,0.5331709156758895,0.5266157672657739,0.0,390,183817,183817
