dataset,task,model,seed,method,strength,target_parameters,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds,width,parameter_error_fraction,members
california,regression,mlp,20260850,anchor_product_mass,1.0,49409,256,49537,23,0.1478976160287857,0.15025344491004944,0.14399223029613495,0.4498742714437398,0.4404011624938988,0.38458991050720215,7.740733623504639,0.02778443694114685,2.5788645930588245,128,0.0025906211418972253,
california,regression,mlp,20260850,anchor_product_riesz,1.0,49409,256,49537,23,0.14770424365997314,0.14998410642147064,0.1437014490365982,0.449470868263969,0.43995625337091226,0.38343366980552673,7.740201473236084,0.02778458036482334,2.3473843538668007,128,0.0025906211418972253,
california,regression,mlp,20260850,anchor_product_wrong,1.0,49409,256,49537,23,0.14776045083999634,0.1500905603170395,0.1438138484954834,0.4496303548507754,0.44012829550554144,0.38424861431121826,7.741738796234131,0.027784133329987526,2.3182999070268124,128,0.0025906211418972253,
california,regression,mlp,20260850,anchor_product_isospectral,1.0,49409,256,49537,23,0.14780306816101074,0.1501285433769226,0.1438809484243393,0.44968725258126696,0.44023095353842834,0.384625107049942,7.739750385284424,0.02778390794992447,2.3703132439404726,128,0.0025906211418972253,
california,regression,mlp,20260851,anchor_product_mass,1.0,49409,256,49537,18,0.1514659970998764,0.15197913348674774,0.1462290734052658,0.4524503378094238,0.4438086966670518,0.35031020641326904,7.482053756713867,0.027721131220459938,2.162979398854077,128,0.0025906211418972253,
california,regression,mlp,20260851,anchor_product_riesz,1.0,49409,256,49537,18,0.15146194398403168,0.15188288688659668,0.14596419036388397,0.4523070385404715,0.44340653866557744,0.3499840795993805,7.477542400360107,0.02772080898284912,2.1894062508363277,128,0.0025906211418972253,
california,regression,mlp,20260851,anchor_product_wrong,1.0,49409,256,49537,18,0.15126806497573853,0.1518152356147766,0.14605222642421722,0.45220631745160134,0.4435402223910181,0.35020712018013,7.492428779602051,0.027720054611563683,2.1717564130667597,128,0.0025906211418972253,
california,regression,mlp,20260851,anchor_product_isospectral,1.0,49409,256,49537,18,0.15154677629470825,0.1519080251455307,0.14630632102489471,0.4523444630659377,0.4439258817800642,0.3500317931175232,7.483173370361328,0.027720564976334572,2.2742728090379387,128,0.0025906211418972253,
california,regression,mlp,20260852,anchor_product_mass,1.0,49409,256,49537,20,0.15016956627368927,0.15155646204948425,0.1459629088640213,0.45182072723912725,0.4434046017215607,0.5198482275009155,7.564728260040283,0.027629872784018517,2.243142557097599,128,0.0025906211418972253,
california,regression,mlp,20260852,anchor_product_riesz,1.0,49409,256,49537,20,0.15013259649276733,0.15165020525455475,0.14580832421779633,0.4519604639146202,0.44316974725953173,0.5204097628593445,7.578679084777832,0.027629973366856575,2.2687000329606235,128,0.0025906211418972253,
california,regression,mlp,20260852,anchor_product_wrong,1.0,49409,256,49537,20,0.15005260705947876,0.15155157446861267,0.14592324197292328,0.4518134636990645,0.4433443489273259,0.5203700065612793,7.585578918457031,0.027629505842924118,2.2331369158346206,128,0.0025906211418972253,
california,regression,mlp,20260852,anchor_product_isospectral,1.0,49409,256,49537,20,0.15015046298503876,0.15149766206741333,0.14599911868572235,0.45173308052237005,0.44345959709632154,0.5194358825683594,7.573134422302246,0.027629708871245384,1.9835425468627363,128,0.0025906211418972253,
