dataset,model,seeds,correct_mean_test_loss,quantile_ple_mean_test_loss,gain_vs_quantile_ple_pct,wins_vs_quantile_ple,raple_raw_mean_test_loss,gain_vs_raple_raw_pct,wins_vs_raple_raw,anchor_only_mean_test_loss,gain_vs_anchor_only_pct,wins_vs_anchor_only,anchor_mass_representer_mean_test_loss,gain_vs_anchor_mass_representer_pct,wins_vs_anchor_mass_representer,anchor_wrong_representer_mean_test_loss,gain_vs_anchor_wrong_representer_pct,wins_vs_anchor_wrong_representer
california,mlp,3,0.14727815488974252,0.18155965209007255,18.88231509315091,3,0.14984781543413797,1.7140661711452176,3,0.14808427294095353,0.5443579004143575,3,0.1474587023258209,0.12299043476207572,1,0.14772766828536985,0.30545233328125276,2
california,resnet,3,0.15041739741961155,0.1787105997403462,15.805108563326229,3,0.15469509363174433,2.740417148292579,3,0.15185316900412238,0.941126221321853,2,0.15241474409898115,1.3097451896537526,3,0.1533693025509516,1.9236044644989503,3
california,tabm,3,0.14453059931596113,0.17886564632256818,19.196168069118254,3,0.1452024082342783,0.461314396203165,2,0.14549629886945084,0.6632197315022728,3,0.14497886101404822,0.3083282594776094,2,0.1451219320297241,0.4076202875279087,3
tabred-cooking-time,mlp,3,0.5526371796925863,0.5536247293154398,0.176720742605333,2,0.5514942407608032,-0.20712197112418804,1,0.5532926718393961,0.1178300657137397,2,0.5539580384890238,0.23828309705926912,2,0.5570045908292135,0.7813380580826962,2
tabred-cooking-time,resnet,3,0.5486657818158468,0.5479056040445963,-0.14080524251718676,2,0.5448882381121317,-0.695779587535467,1,0.5454222559928894,-0.6016052019660277,2,0.5465253988901774,-0.3911130971033672,2,0.5494268337885538,0.1392468900927161,2
tabred-cooking-time,tabm,3,0.5453594525655111,0.5449143250783285,-0.08146954889980891,1,0.5433793862660726,-0.36518036238831747,1,0.5433645645777384,-0.3682671090317535,1,0.54381263256073,-0.28764041535270213,1,0.5435481866200765,-0.3333471378985316,0
tabred-delivery-eta,mlp,3,0.5965820948282877,0.6037250955899557,1.1864897915647143,3,0.589441736539205,-1.2076982847530326,0,0.5957832137743632,-0.13498312697916406,2,0.5983308752377828,0.296567660419736,1,0.5958385666211446,-0.12604027092544265,2
tabred-delivery-eta,resnet,3,0.5976002216339111,0.591791013876597,-0.9864445371794982,1,0.5836785833040873,-2.3865311831596556,0,0.5944419304529825,-0.5305934510106415,0,0.5979170600573221,0.05356920647218599,2,0.5966717402140299,-0.15719367145022342,2
tabred-delivery-eta,tabm,3,0.5936317245165507,0.5914514859517416,-0.3672131084169976,0,0.5901053746541342,-0.5982225034579717,0,0.591084619363149,-0.43112712528031844,0,0.5913176735242208,-0.388397423942423,1,0.5884535710016886,-0.8774311850954746,0
tabred-maps-routing,mlp,3,0.20317266384760532,0.1982104231913884,-2.5206329789913675,0,0.20065683126449582,-1.2551886449427414,0,0.20025048653284702,-1.4607124393677164,0,0.203470249970754,0.1449439436616592,2,0.20400969684123993,0.40773802320192426,2
tabred-maps-routing,resnet,3,0.19557553529739377,0.19538181026776627,-0.10123624441941602,1,0.19386647144953406,-0.8827764351904807,0,0.1949747006098429,-0.3177344165779923,1,0.19653426110744476,0.4866531407866527,3,0.19650019208590183,0.47015196911248996,3
tabred-maps-routing,tabm,3,0.19637588659922278,0.19728498160839072,0.45612236328514283,2,0.19595276812712345,-0.21637650509071446,1,0.19499159355958298,-0.710666173888359,1,0.19850956896940863,1.0754037698773053,3,0.19916751484076176,1.400283601728803,3
tabred-weather,mlp,3,0.1697593430678049,0.17634871602058408,3.7285232360257106,3,0.1714695344368616,0.9930457453897436,3,0.1702827811241149,0.3052839976161868,2,0.17059871554374686,0.4743935655948545,2,0.17386853694915763,2.35884444256528,3
tabred-weather,resnet,3,0.1683740715185801,0.17234446605046586,2.304579749720513,3,0.16654943923155466,-1.102338049378225,1,0.16909828782081604,0.4255951331378536,2,0.16794544458389274,-0.25487964882742437,1,0.1710103303194046,1.535696933692094,3
tabred-weather,tabm,3,0.1613398045301437,0.16661753753821054,3.167393623054769,3,0.16264148056507108,0.7610048708742561,1,0.1612791667381922,-0.03701606414695994,2,0.16199152668317154,0.4028380022960231,3,0.1618353128433227,0.3062845357957845,3
