dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_size,width,parameter_count,baseline_parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
adult,binclass,mlp,20260832,quantile_ple,32,0.35,1.0,190,128,41089,41089,0.0,190,41089,16,0.28811793706604427,0.3029535344525078,0.30433440749014434,0.8547520343927529,0.861,0.14459951221942902,11.30276107788086,0.023768344894051552,26.467493093805388
adult,binclass,mlp,20260832,adaptive_support_whitened,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,8,0.2771104258418579,0.2898299844141124,0.29152530308198105,0.8621219100261016,0.8668,0.10095853358507156,9.101794242858887,0.02462613396346569,17.56843350804411
adult,binclass,mlp,20260832,adaptive_support_riesz,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,10,0.274525471764403,0.2913429303860725,0.29254411384044154,0.8630431444802702,0.8645333333333334,0.10307122766971588,9.883355140686035,0.024624405428767204,23.73526822705753
adult,binclass,mlp,20260832,adaptive_support_wrong_riesz,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,10,0.27379371269687,0.29030210231054504,0.29170885065948393,0.8642714570858283,0.8658666666666667,0.10228175669908524,9.905771255493164,0.02463042363524437,23.843753232154995
adult,binclass,resnet,20260832,quantile_ple,32,0.35,1.0,190,128,157185,157185,0.0,190,157185,6,0.2931295480217384,0.3048205480914726,0.3092109877862444,0.8506064793489944,0.8539333333333333,2.659935474395752,7.396583557128906,0.023838326334953308,17.843782199081033
adult,binclass,resnet,20260832,adaptive_support_whitened,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,8,0.26877281598883185,0.2924577839682611,0.2963361711179924,0.8624289881774911,0.8646,1.033730149269104,7.749649524688721,0.024681447073817253,21.36630763998255
adult,binclass,resnet,20260832,adaptive_support_riesz,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,7,0.2720398954815761,0.2946303058556677,0.2981725278597314,0.8616612927990174,0.8644,1.0430243015289307,7.541286945343018,0.024683289229869843,19.333257598103955
adult,binclass,resnet,20260832,adaptive_support_wrong_riesz,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,7,0.26924521859971756,0.29502311639423734,0.2963084280575897,0.8608935974205435,0.864,1.0354280471801758,7.553045272827148,0.024683604016900063,19.524680494097993
black-friday,regression,mlp,20260832,quantile_ple,32,0.35,1.0,58,128,24193,24193,0.0,58,24193,25,0.5036686062812805,0.5174993276596069,0.522524356842041,0.7184348672129062,0.7219145665307423,0.09368952363729477,11.690728187561035,0.013177518732845783,12.58176433807239
black-friday,regression,mlp,20260832,adaptive_support_whitened,32,0.35,1.0,72,122,24035,24193,-0.006530814698466498,72,24035,13,0.464276522397995,0.4834119975566864,0.48671576380729675,0.6943704391708394,0.6967391895977357,0.16508355736732483,7.603581428527832,0.014707679860293865,51.45133788115345
black-friday,regression,mlp,20260832,adaptive_support_riesz,32,0.35,1.0,72,122,24035,24193,-0.006530814698466498,72,24035,13,0.46564266085624695,0.48293647170066833,0.48580408096313477,0.6940288743240188,0.696086299524552,0.1262061893939972,7.885655403137207,0.014706640504300594,53.955096137942746
black-friday,regression,mlp,20260832,adaptive_support_wrong_riesz,32,0.35,1.0,72,122,24035,24193,-0.006530814698466498,72,24035,13,0.46596288681030273,0.4829551577568054,0.4850585162639618,0.6940422678567018,0.6955519868607212,0.12608817219734192,7.825807571411133,0.014705749228596687,56.13263147510588
black-friday,regression,resnet,20260832,quantile_ple,32,0.35,1.0,58,128,140289,140289,0.0,58,140289,12,0.4586750268936157,0.49312394857406616,0.4947333335876465,0.7013108487535078,0.7024543588105701,1.2965784072875977,7.62711763381958,0.013182303868234158,11.613315338036045
black-friday,regression,resnet,20260832,adaptive_support_whitened,32,0.35,1.0,72,127,139955,140289,-0.002380799635039098,72,139955,5,0.4639856517314911,0.48781073093414307,0.4915367066860199,0.6975224433890332,0.7001812679704358,1.1957440376281738,6.769410610198975,0.01471142191439867,35.86010129889473
black-friday,regression,resnet,20260832,adaptive_support_riesz,32,0.35,1.0,72,127,139955,140289,-0.002380799635039098,72,139955,5,0.4617263972759247,0.4862716794013977,0.4881228506565094,0.696421256895249,0.6977455498801248,1.1804146766662598,6.814496994018555,0.014710962772369385,41.34657341078855
black-friday,regression,resnet,20260832,adaptive_support_wrong_riesz,32,0.35,1.0,72,127,139955,140289,-0.002380799635039098,72,139955,5,0.4599355161190033,0.4854840636253357,0.48926350474357605,0.6958570022450203,0.6985603528817421,1.3042244911193848,6.82794713973999,0.014711271971464157,47.56156648299657
california,regression,mlp,20260832,quantile_ple,32,0.35,1.0,254,128,49281,49281,0.0,254,49281,25,0.15585383772850037,0.18320691585540771,0.18057340383529663,0.4967637084359744,0.49318043118158883,0.2930576801300049,9.502599716186523,0.027552561834454536,28.379284104099497
california,regression,mlp,20260832,adaptive_support_whitened,32,0.35,1.0,249,129,49150,49281,-0.00265822527951949,249,49150,11,0.09983997046947479,0.1806359440088272,0.17414231598377228,0.4932658296597552,0.4843185318338854,0.24449072778224945,7.915043830871582,0.02728324383497238,23.048059899825603
california,regression,mlp,20260832,adaptive_support_riesz,32,0.35,1.0,249,129,49150,49281,-0.00265822527951949,249,49150,21,0.0786285400390625,0.17051108181476593,0.1676395684480667,0.47924238956688825,0.4751898876244489,0.22222991287708282,9.147838592529297,0.027279803529381752,34.10830553295091
california,regression,mlp,20260832,adaptive_support_wrong_riesz,32,0.35,1.0,249,129,49150,49281,-0.00265822527951949,249,49150,16,0.09562040120363235,0.17077626287937164,0.1718103438615799,0.4796149054072494,0.4810648117686327,0.21557866036891937,9.06881046295166,0.02728019468486309,31.12134941900149
california,regression,resnet,20260832,quantile_ple,32,0.35,1.0,254,128,165377,165377,0.0,254,165377,7,0.1636178344488144,0.1878158152103424,0.18626652657985687,0.502973378012193,0.5008945874345194,2.553616523742676,6.843393325805664,0.02756652422249317,19.4598097410053
california,regression,resnet,20260832,adaptive_support_whitened,32,0.35,1.0,249,128,164737,165377,-0.003869945639357347,249,164737,6,0.0986727923154831,0.1802169531583786,0.17526236176490784,0.4926934281145243,0.48587355199646254,1.8223985433578491,6.789572238922119,0.027289701625704765,17.73564319801517
california,regression,resnet,20260832,adaptive_support_riesz,32,0.35,1.0,249,128,164737,165377,-0.003869945639357347,249,164737,6,0.09631317108869553,0.1716035157442093,0.17033125460147858,0.48077516946155896,0.4789896183727045,2.31125545501709,6.795817852020264,0.02729003317654133,18.954784340923652
california,regression,resnet,20260832,adaptive_support_wrong_riesz,32,0.35,1.0,249,128,164737,165377,-0.003869945639357347,249,164737,11,0.06037139892578125,0.18316741287708282,0.18221865594387054,0.4967101657692261,0.4954220634098121,2.3043434619903564,7.154403209686279,0.027290569618344307,25.899974840926006
