dataset,model,seed,method,n_train,n_val,n_num,n_bin,n_cat,n_cyclic,local_weight,parameters,best_epoch,val_loss,val_rmse,last_local_loss,mean_abs_gate,max_abs_gate,gates,train_seconds,test_evaluated
weather,mlp,20260827,ple,50000,15000,100,3,0,5,0.1,255009,8,0.18537357449531555,1.679713523452515,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",9.561424235114828,False
weather,mlp,20260827,ple_adapter,50000,15000,100,3,0,5,0.1,256294,8,0.18511268496513367,1.6785311166120152,0.0,0.005665292497724295,0.013934805057942867,"[0.013934805057942867, -0.004269716329872608, 0.008983593434095383, 0.0011167052434757352, -2.1642117644660175e-05]",10.068710140883923,False
weather,mlp,20260827,semantic_noalign,50000,15000,100,3,0,5,0.1,256294,8,0.18523555994033813,1.6790881158646993,0.0,0.13903990387916565,0.1912108212709427,"[-0.08252940326929092, 0.14537431299686432, 0.1912108212709427, 0.1787269115447998, 0.09735811501741409]",9.728683106135577,False
weather,mlp,20260827,semantic_local,50000,15000,100,3,0,5,0.1,256294,8,0.18434804677963257,1.6750608057400116,0.08024486899375916,0.09188681095838547,0.13783489167690277,"[-0.008375809527933598, 0.1097746193408966, 0.13783489167690277, 0.13566187024116516, 0.06778687238693237]",9.039835218107328,False
weather,mlp,20260827,semantic_wrong_local,50000,15000,100,3,0,5,0.1,256294,8,0.18532001972198486,1.6794708697318974,0.09858372807502747,0.06748413294553757,0.13331055641174316,"[0.021403787657618523, -0.0341186597943306, 0.13331055641174316, 0.08832089602947235, 0.06026677414774895]",9.678534076083452,False
weather,resnet,20260827,ple,50000,15000,100,3,0,5,0.1,371105,19,0.1820390373468399,1.664537453820957,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",14.68180824490264,False
weather,resnet,20260827,ple_adapter,50000,15000,100,3,0,5,0.1,372390,14,0.18199823796749115,1.6643509116879525,0.0,0.014046436175704002,0.059637200087308884,"[0.005758668761700392, -4.473308763408568e-06, 0.059637200087308884, 0.00186252617277205, 0.0029693152755498886]",16.21671577799134,False
weather,resnet,20260827,semantic_noalign,50000,15000,100,3,0,5,0.1,372390,14,0.1819932460784912,1.6643280864340602,0.0,0.16843457520008087,0.22099292278289795,"[-0.08673148602247238, 0.20870117843151093, 0.22099292278289795, 0.19876262545585632, -0.1269846111536026]",15.91595404711552,False
weather,resnet,20260827,semantic_local,50000,15000,100,3,0,5,0.1,372390,14,0.18189868330955505,1.6638956420305182,0.053724855184555054,0.058712609112262726,0.15855416655540466,"[-0.08168387413024902, 0.013367909006774426, 0.01468447595834732, 0.15855416655540466, 0.025272613391280174]",15.632651168154553,False
weather,resnet,20260827,semantic_wrong_local,50000,15000,100,3,0,5,0.1,372390,14,0.18191057443618774,1.66395002744463,0.15219739079475403,0.09309389442205429,0.27083152532577515,"[-0.008750270120799541, 0.07029364258050919, 0.08058251440525055, 0.27083152532577515, 0.035011522471904755]",16.197310989024118,False
cooking-time,mlp,20260827,ple,50000,15000,186,3,3,3,0.1,460913,8,0.5002432465553284,0.4669319479759117,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",8.709276441950351,False
cooking-time,mlp,20260827,ple_adapter,50000,15000,186,3,3,3,0.1,461684,8,0.5002301931381226,0.4669258558424072,0.0,0.020602868869900703,0.05847196280956268,"[-0.0026668941136449575, 0.05847196280956268, 0.0006697492790408432]",9.513751556165516,False
cooking-time,mlp,20260827,semantic_noalign,50000,15000,186,3,3,3,0.1,461684,8,0.5002603530883789,0.46693993161044334,0.0,0.05819610133767128,0.08957649767398834,"[0.08957649767398834, 0.029515981674194336, -0.05549583211541176]",10.122627713019028,False
cooking-time,mlp,20260827,semantic_local,50000,15000,186,3,3,3,0.1,461684,8,0.5003089904785156,0.46696262997890553,0.12768325209617615,0.015339009463787079,0.021555254235863686,"[-0.013361601158976555, 0.01110017579048872, 0.021555254235863686]",10.38941692118533,False
cooking-time,mlp,20260827,semantic_wrong_local,50000,15000,186,3,3,3,0.1,461684,8,0.5003195405006409,0.4669675533764467,0.07295989245176315,0.03448585793375969,0.05634491518139839,"[-0.05634491518139839, -0.016725530847907066, 0.030387135222554207]",10.690113126998767,False
cooking-time,resnet,20260827,ple,50000,15000,186,3,3,3,0.1,577009,13,0.5020326972007751,0.46776634782958687,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",16.14784416090697,False
cooking-time,resnet,20260827,ple_adapter,50000,15000,186,3,3,3,0.1,577780,13,0.5020439624786377,0.46777159598209933,0.0,0.035444412380456924,0.0981479212641716,"[-0.0008916393271647394, 0.0981479212641716, -0.007293669041246176]",19.501685046125203,False
cooking-time,resnet,20260827,semantic_noalign,50000,15000,186,3,3,3,0.1,577780,13,0.502120852470398,0.4678074151332438,0.0,0.07287529855966568,0.15622691810131073,"[-0.15622691810131073, 0.0004443808284122497, -0.061954595148563385]",18.9738758970052,False
cooking-time,resnet,20260827,semantic_local,50000,15000,186,3,3,3,0.1,577780,13,0.5018990635871887,0.46770408747479514,0.08018050342798233,0.019022414460778236,0.0433824248611927,"[0.0433824248611927, 0.005672498606145382, 0.008012318052351475]",19.783713907003403,False
cooking-time,resnet,20260827,semantic_wrong_local,50000,15000,186,3,3,3,0.1,577780,13,0.5020872354507446,0.46779175500459247,0.07499610632658005,0.006856292486190796,0.010143388994038105,"[-0.005752076860517263, -0.004673411604017019, 0.010143388994038105]",19.06151670892723,False
