dataset,model,method,seed,n_fields,anchor_parameters,anchor_target_parameters,anchor_width,anchor_ft_feedforward_width,anchor_best_epoch,anchor_val_loss,anchor_val_rmse,anchor_test_loss,anchor_test_rmse,residual_parameters,residual_best_epoch,val_loss,val_rmse,val_anchor_rmse,test_loss,test_rmse,test_anchor_rmse,residual_gate,residual_train_seconds,total_train_seconds
weather,mlp,frozen_t_anchor_q_rank_residual,20260829,103,258827,257946,130,64,12,0.18230341374874115,1.6657457242231188,0.16734570264816284,1.5959474558365143,390352,2,0.1807924211025238,1.6588282274373585,1.6657457242231188,0.16732773184776306,1.5958617613049433,1.5959474558365143,-0.018351910635828972,30.20691993716173,52.96914279088378
weather,resnet,frozen_t_anchor_q_rank_residual,20260829,103,374823,374042,129,64,17,0.18525104224681854,1.679158284933877,0.17200060188770294,1.6179917017336867,506448,16,0.18126054108142853,1.660974414258653,1.679158284933877,0.16841696202754974,1.6010475159763682,1.6179917017336867,-0.05503252148628235,55.493090523872524,84.89179763896391
weather,ft_transformer,frozen_t_anchor_q_rank_residual,20260829,103,36825,36858,128,108,11,0.18495650589466095,1.6778228811200713,0.17308253049850464,1.6230725190763506,169264,18,0.18024083971977234,1.6562958267208072,1.6778228811200713,0.16829414665699005,1.6004636403899135,1.6230725190763506,-0.0871201679110527,72.65810417500325,103.29485931689851
cooking-time,mlp,frozen_t_anchor_q_rank_residual,20260829,192,467579,467821,130,64,5,0.5036070346832275,0.4684992140957361,0.5323330760002136,0.481675657033243,713202,2,0.500839352607727,0.4672100707606826,0.4684992140957361,0.5294770002365112,0.48038177503563595,0.481675657033243,0.011325480416417122,17.063567984849215,31.57961932080798
cooking-time,resnet,frozen_t_anchor_q_rank_residual,20260829,192,582151,583917,129,64,5,0.5048261284828186,0.4690659250624155,0.5343363881111145,0.4825811432660748,829298,17,0.5033723711967468,0.4683900491502264,0.4690659250624155,0.5314207077026367,0.481262706869973,0.4825811432660748,0.034349218010902405,52.32986911898479,70.86030518705957
cooking-time,ft_transformer,frozen_t_anchor_q_rank_residual,20260829,192,64483,64461,128,169,15,0.5026607513427734,0.468058849462606,0.5320870280265808,0.48156432728264337,309842,8,0.5021370649337769,0.4678149673483424,0.468058849462606,0.5330924987792969,0.4820191122074599,0.48156432728264337,-0.055942755192518234,44.09333641198464,85.08799507305957
delivery-eta,mlp,frozen_t_anchor_q_rank_residual,20260829,223,541323,540302,130,64,6,0.6006883382797241,0.5664762495148515,0.5761033296585083,0.5547627577070721,826688,0,0.6006883382797241,0.5664762495148515,0.5664762495148515,0.5761033296585083,0.5547627577070721,0.5547627577070721,0.0,11.285391996148974,24.283087790943682
delivery-eta,resnet,frozen_t_anchor_q_rank_residual,20260829,223,655399,656398,129,64,14,0.601893424987793,0.5670441904233783,0.5681165456771851,0.5509038717184201,942784,7,0.6007260680198669,0.5664940396605276,0.5670441904233783,0.5667766332626343,0.5502538301917284,0.5509038717184201,-0.026946330443024635,29.701133789960295,54.92904561501928
delivery-eta,ft_transformer,frozen_t_anchor_q_rank_residual,20260829,223,73483,73454,128,165,4,0.6085556745529175,0.5701738088036957,0.5695851445198059,0.5516154639172932,359840,0,0.6085556745529175,0.5701738088036957,0.5701738088036957,0.5695851445198059,0.5516154639172932,0.5516154639172932,0.0,20.06260692095384,40.3417474408634
