dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_size,width,parameter_count,baseline_parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
adult,binclass,mlp,20260831,quantile_ple,32,0.35,1.0,190,128,41089,41089,0.0,190,41089,18,0.28742110896195633,0.3013578253432201,0.30349767580515996,0.855980346998311,0.8586666666666667,0.13413526117801666,11.32511043548584,0.023885345086455345,25.160046132979915
adult,binclass,mlp,20260831,adaptive_support_ple,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,18,0.2818697276026276,0.29810954467172074,0.2993660051026274,0.8601259020420697,0.8616,0.1253952533006668,12.201810836791992,0.024739326909184456,19.257860976969823
adult,binclass,mlp,20260831,adaptive_support_standardized,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,15,0.27508390493816637,0.29340028322867895,0.297508604036327,0.8619683709504069,0.8628,0.11296495795249939,11.464324951171875,0.024754663929343224,23.114881339017302
adult,binclass,mlp,20260831,adaptive_support_whitened,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,9,0.2739580886561056,0.29025494901132926,0.2915621982935919,0.862582527253186,0.8668666666666667,0.10016046464443207,9.586507797241211,0.024749495089054108,16.408866483019665
adult,binclass,mlp,20260831,adaptive_support_spectral,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,9,0.27435893375594395,0.2909989419020968,0.2914425015337907,0.8615077537233226,0.8676,0.10020901262760162,9.52623462677002,0.024750929325819016,16.114386206958443
adult,binclass,mlp,20260831,adaptive_support_heat,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,9,0.28224632696147256,0.29560718819256737,0.29713078072095583,0.8587440503608168,0.8632666666666666,0.09837914258241653,10.592820167541504,0.02455623261630535,16.13069040607661
adult,binclass,resnet,20260831,quantile_ple,32,0.35,1.0,190,128,157185,157185,0.0,190,157185,8,0.28661445687656495,0.3039064005584499,0.30692131505394876,0.8550591125441425,0.8587333333333333,1.607450008392334,7.760926246643066,0.023948807269334793,15.874221831094474
adult,binclass,resnet,20260831,adaptive_support_ple,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,8,0.28567037658715855,0.29970464970818833,0.302142752671308,0.8565945033010901,0.8611333333333333,2.5904176235198975,7.772407531738281,0.02478383481502533,15.694455527933314
adult,binclass,resnet,20260831,adaptive_support_standardized,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,8,0.27427212111888016,0.29610866844038775,0.29737769936199016,0.860586519269154,0.8638,1.847442626953125,7.826822757720947,0.02478361316025257,15.351377995917574
adult,binclass,resnet,20260831,adaptive_support_whitened,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,3,0.28512745610551926,0.29583810367229196,0.297126273840039,0.8602794411177644,0.8646,1.5791730880737305,6.911258220672607,0.024783141911029816,10.344334233086556
