dataset,model,seed,val_rmse,test_rmse,parameters,val_disagreement,test_disagreement,val_qple,val_tple,test_qple,test_tple,val_rank,test_rank,val_gain_vs_qple_pct,val_gain_vs_tple_pct,val_gain_vs_rank_pct,val_best_typed,val_gain_vs_best_typed_pct,test_gain_vs_qple_pct,test_gain_vs_tple_pct,test_gain_vs_rank_pct,test_best_typed,test_gain_vs_best_typed_pct,val_beats_both_typed
cooking-time,mlp,20260827,0.4664359717274431,0.4806266312773354,764129,0.0007292220252566,0.000733669498004,0.4677358851678095,0.4673639251822812,0.4805459814428184,0.4803208795013886,0.4668283152460684,0.480115259469775,0.2779161235191579,0.19855050953626185,0.08404449897570247,0.4673639251822812,0.19855050953626185,-0.01678295889081241,-0.0636557328642932,-0.10651021759340329,0.4803208795013886,-0.0636557328642932,True
cooking-time,resnet,20260827,0.4667989183119251,0.482948322159958,880225,0.0011287960223853,0.0011675131972879,0.4686211592736794,0.4671566337594426,0.4853385577606978,0.4812908290429193,0.4685188705106934,0.481840069468432,0.3888516183474573,0.07657291402217474,0.36710414607068603,0.4671566337594426,0.07657291402217474,0.492488297605719,-0.3443849367200094,-0.23000426111273983,0.4812908290429193,-0.3443849367200094,True
cooking-time,ft_transformer,20260827,0.4676267086859608,0.4815096508527322,360769,0.0013193631311878,0.0013465743977576,0.4689293597518175,0.4692554055358726,0.4833558013810191,0.4833349746946345,0.4688929337713876,0.4840229092775545,0.27779260111717674,0.34708110566182615,0.2700456744447645,0.4689293597518175,0.27779260111717674,0.3819444233444969,0.3776519261937405,0.519243692116466,0.4833349746946345,0.3776519261937405,True
cooking-time,mlp,20260828,0.4682172520073916,0.481521358119315,764129,0.0005811510491184,0.0005970666534267,0.4693627087965101,0.4684328364110043,0.4834485297074137,0.4811037668124311,0.4688050288582348,0.4819654575746366,0.24404512068194345,0.046022478967195066,0.12537767614709183,0.4684328364110043,0.046022478967195066,0.39863014771500566,-0.08679859433457923,0.09214341989494478,0.4811037668124311,-0.08679859433457923,True
cooking-time,resnet,20260828,0.4688096835498999,0.4815986890647326,880225,0.0006588710239157,0.0006698404904454,0.4688570036254028,0.4695087479474724,0.4840939377072097,0.4820157977045857,0.4680013185071878,0.4840916838483992,0.010092645548002913,0.14889273110002027,-0.1727270866010763,0.4688570036254028,0.010092645548002913,0.515447199007543,0.08653422602317877,0.5149840137405298,0.4820157977045857,0.08653422602317877,True
cooking-time,ft_transformer,20260828,0.4674087794279516,0.4819431423876017,360769,0.002822675043717,0.0027889120392501,0.4684548801689295,0.4699693120864298,0.4807396101792421,0.4841353907390157,0.46858462617593,0.4814895536138875,0.2233087508023505,0.5448297564601984,0.250935835768737,0.4684548801689295,0.2233087508023505,-0.2503501236169996,0.4528172063743514,-0.09420531978518211,0.4807396101792421,-0.2503501236169996,True
cooking-time,mlp,20260829,0.4664938627948252,0.4809231679200728,764129,0.0007333142566494,0.0007647289312444,0.4677616827556989,0.4665574260959341,0.4812920974707231,0.4803926175249497,0.4680276287652025,0.4813187606687343,0.2710397212111686,0.013623896556698325,0.3277084249115451,0.4665574260959341,0.013623896556698325,0.07665398052224676,-0.11044099675314206,0.08218934747357312,0.4803926175249497,-0.11044099675314206,True
cooking-time,resnet,20260829,0.4683253755669639,0.4820015423877016,880225,0.0008125766180455,0.0008224745397455,0.4691515662033062,0.4689254264362157,0.4833709303982165,0.4824051632375055,0.4684045523342993,0.4822605245838848,0.1761031393390442,0.12796296285576242,0.016903500817999684,0.4689254264362157,0.12796296285576242,0.28329962031162026,0.08366843486813391,0.05370171991718802,0.4824051632375055,0.08366843486813391,True
cooking-time,ft_transformer,20260829,0.4672241657667369,0.4805747131469486,360769,0.0029372044373303,0.0031021682079881,0.4682172520073916,0.4676448741316953,0.4816164623682984,0.4810727987030511,0.4678044441916835,0.4813878676091835,0.21209945519884799,0.08996321530082918,0.12404294831983206,0.4676448741316953,0.08996321530082918,0.21630266046702715,0.10353642056780041,0.16891876944748055,0.4810727987030511,0.10353642056780041,True
delivery-eta,mlp,20260827,0.5651374627075326,0.5507890425223371,886879,0.0009886813350021,0.0009528647642582,0.565800794336928,0.5662899955837155,0.5527619161274105,0.550138836374452,0.565358903784087,0.5528093801747141,0.11723766315540941,0.20352343943404652,0.03916823014058122,0.565800794336928,0.11723766315540941,0.3569119990927041,-0.11818946507576884,0.36546732469310794,0.550138836374452,-0.11818946507576884,True
delivery-eta,resnet,20260827,0.5672435847874236,0.5487051833031413,1002975,0.0014498598175123,0.0014502413105219,0.567612937447483,0.5681378777180294,0.5520030611588507,0.5517297171283645,0.5671129743808343,0.5480137511682909,0.06507121943349001,0.15740772894736757,-0.02303075621430585,0.567612937447483,0.06507121943349001,0.5974383273864321,0.5481912123503546,-0.12617058119005528,0.5517297171283645,0.5481912123503546,True
delivery-eta,ft_transformer,20260827,0.5649534445751717,0.554347853911436,420031,0.0065031014382839,0.0066721169278025,0.5674863397514791,0.5677534718582452,0.5536201325759902,0.5534490560149775,0.567012069668761,0.5529927178650041,0.446335884916037,0.4931766024977463,0.3630654802096106,0.5674863397514791,0.446335884916037,-0.1314477730532975,-0.16239939099908807,-0.24505495328470256,0.5534490560149775,-0.16239939099908807,True
