dataset,model,method,seed,n_fields,parameters,best_epoch,val_loss,val_rmse,val_q_rmse,val_t_rmse,val_rank_rmse,val_disagreement,test_loss,test_rmse,test_q_rmse,test_t_rmse,test_rank_rmse,test_disagreement,train_seconds
weather,mlp,shared_noalign,20260827,103,417647,8,0.1877993792295456,1.690668195032745,1.693498629979268,1.6958811331313466,1.6991246657873347,0.0012240962823852897,0.1755073517560959,1.6344022938732214,1.6355471998759563,1.643580677468715,1.6378466582072562,0.000988112180493772,23.63256501313299
weather,mlp,shared_consistency,20260827,103,417647,20,0.18253128230571747,1.6667864412627773,1.672197873962055,1.6683717886696188,1.680044364544915,0.001483476022258401,0.16571685671806335,1.588161450327403,1.5954319402029438,1.593516948005409,1.5949413563478205,0.0013528236886486411,33.727431832114235
weather,resnet,shared_noalign,20260827,103,533743,14,0.1817827671766281,1.6633653933173438,1.6696302619716124,1.6742321005760392,1.6749716438045903,0.002100036945194006,0.16815085709095,1.599782159245095,1.6133804256923967,1.6109880453213652,1.6049851340701051,0.0021104845218360424,41.280270748073235
weather,resnet,shared_consistency,20260827,103,533743,14,0.18177731335163116,1.6633404410846733,1.6691087649975749,1.671210536751295,1.6735286863265704,0.0017402804223820567,0.1682119071483612,1.600072547088083,1.6122369405152632,1.6085407142042774,1.6047630506459192,0.0017799691995605826,42.94632525998168
weather,ft_transformer,shared_noalign,20260827,103,196559,14,0.17966999113559723,1.6536708834896883,1.671640817482733,1.6742667115226009,1.674893784018628,0.004357011988759041,0.1654600203037262,1.5869302664028704,1.604465666516785,1.6159498351776236,1.599556021394444,0.0041428194381296635,83.54512540483847
weather,ft_transformer,shared_consistency,20260827,103,196559,19,0.17922067642211914,1.6516018574731928,1.6732572138904631,1.6656117421839172,1.6823630140420551,0.004841266665607691,0.16455763578414917,1.582596956360917,1.611325466985594,1.6009381529202253,1.6055023145875555,0.004888037219643593,86.55303704203106
cooking-time,mlp,shared_noalign,20260827,192,764129,12,0.4991922378540039,0.4664411791545576,0.467326571149869,0.4661473838095245,0.46696402077443205,0.0007964664837345481,0.5299762487411499,0.48060819976697283,0.48158525751400366,0.47996316517458787,0.4813633399636818,0.0008012802572920918,29.157205863157287
cooking-time,mlp,shared_consistency,20260827,192,764129,12,0.4991810917854309,0.4664359717274431,0.4672114608196272,0.4661755262053403,0.4669412946563554,0.000729222025256604,0.5300168991088867,0.48062663127733546,0.48150290690636544,0.4800291931680819,0.4813435064651577,0.0007336694980040193,28.009905660990626
cooking-time,resnet,shared_noalign,20260827,192,880225,5,0.502072811126709,0.4677850354269554,0.4682253524311131,0.46923594606174795,0.46762265330661756,0.0012381072156131268,0.5287019610404968,0.4800300590486442,0.4806379817091727,0.4803760427478814,0.4809369690620387,0.0013680612901225686,20.041054256027564
cooking-time,resnet,shared_consistency,20260827,192,880225,15,0.49995824694633484,0.4667989183119251,0.4674599924886437,0.467223415155832,0.4672925497009528,0.0011287960223853588,0.5351498126983643,0.482948322159958,0.4836856033439432,0.48312735746937924,0.4836112919488244,0.0011675131972879171,42.70823898585513
cooking-time,ft_transformer,shared_noalign,20260827,192,360769,8,0.5016080141067505,0.4675684578414036,0.4684717935440552,0.4680935921816267,0.4680920659981221,0.0013979010982438922,0.5318072438240051,0.48143770156122245,0.48167201656903913,0.48243752662747635,0.4821205573082019,0.0014130612835288048,61.40461944998242
cooking-time,ft_transformer,shared_consistency,20260827,192,360769,8,0.5017330050468445,0.4676267086859608,0.4683766270654354,0.46818013251992957,0.46816595531721117,0.0013193631311878562,0.5319662094116211,0.4815096508527322,0.48164059956797456,0.48279208934698575,0.48192325189345026,0.0013465743977576494,60.05394641007297
