domain,regime,seed,interface,chart,test_mse,seen_mse,held_mse,initial_native_cka,final_native_cka,final_corrupt_cka,orbit_damage
cycle16,interpolation,7301,label,0,0.02625725375790292,0.02625725375790292,,0.41796335708402454,0.4179633565089268,0.15494990646278956,0.15327075123786926
cycle16,interpolation,7301,label,1,0.48537058893971036,0.48537058893971036,,0.2758753762546954,0.2758753747065726,0.1842796481766796,0.2612098157405853
cycle16,interpolation,7301,label,2,0.3703217340720636,0.3703217340720636,,0.15588954230123192,0.15588954413161998,0.13835220943768448,0.17907845973968506
cycle16,interpolation,7301,label,3,0.6857732082229627,0.6857732082229627,,0.10553979115902704,0.10553979293276766,0.2422109553016974,0.3540753722190857
cycle16,interpolation,7301,label,4,0.45099415179875213,0.45099415179875213,,0.2584347751895965,0.25843477408458426,0.20849758572585997,0.20329472422599792
cycle16,interpolation,7301,learned,0,0.015704048550478474,0.015704048550478474,,0.4466695449053946,0.4767688859611255,0.4946814592367909,0.0007620119140483439
cycle16,interpolation,7301,learned,1,0.015989454921473592,0.015989454921473592,,0.4832939070979166,0.5149682840379263,0.46175501718381295,0.0012592040002346039
cycle16,interpolation,7301,learned,2,0.015773929862233076,0.015773929862233076,,0.5633737768198589,0.5972128536471331,0.447890951914785,0.0011878882069140673
cycle16,interpolation,7301,learned,3,0.01589374184435813,0.01589374184435813,,0.5195646010992597,0.5651652431577002,0.4695292183493638,0.0010350015945732594
cycle16,interpolation,7301,learned,4,0.0161761497665944,0.0161761497665944,,0.4374949466882726,0.46224358934817433,0.4664145494716944,0.0012331533944234252
cycle16,interpolation,7301,random_fixed,0,0.01619595748290704,0.01619595748290704,,0.4911350458764289,0.4911350458764289,0.4910626719985733,8.766604656833613e-16
cycle16,interpolation,7301,random_fixed,1,0.01619595748290704,0.01619595748290704,,0.4911350458764289,0.4911350458764289,0.4910626719985733,8.766604656833613e-16
cycle16,interpolation,7301,random_fixed,2,0.01619595748290704,0.01619595748290704,,0.4911350458764289,0.4911350458764289,0.4910626719985733,8.766604656833613e-16
cycle16,interpolation,7301,random_fixed,3,0.01619595748290704,0.01619595748290704,,0.4911350458764289,0.4911350458764289,0.4910626719985733,8.766604656833613e-16
cycle16,interpolation,7301,random_fixed,4,0.01619595748290704,0.01619595748290704,,0.4911350458764289,0.4911350458764289,0.4910626719985733,8.766604656833613e-16
cycle16,interpolation,7301,native_fixed,0,0.014000061648657915,0.014000061648657915,,0.9999999999999993,0.9999999999999993,0.5441696002841272,7.314739363262907e-16
cycle16,interpolation,7301,native_fixed,1,0.014000061648657915,0.014000061648657915,,0.9999999999999993,0.9999999999999993,0.5441696002841272,7.314739363262907e-16
cycle16,interpolation,7301,native_fixed,2,0.014000061648657915,0.014000061648657915,,0.9999999999999993,0.9999999999999993,0.5441696002841272,7.314739363262907e-16
cycle16,interpolation,7301,native_fixed,3,0.014000061648657915,0.014000061648657915,,0.9999999999999993,0.9999999999999993,0.5441696002841272,7.314739363262907e-16
cycle16,interpolation,7301,native_fixed,4,0.014000061648657915,0.014000061648657915,,0.9999999999999993,0.9999999999999993,0.5441696002841272,7.314739363262907e-16
cycle16,interpolation,7301,native_tuned,0,0.015397588755812416,0.015397588755812416,,0.9999999999999993,0.9974776240747205,0.5272529404899217,9.74149722747595e-16
cycle16,interpolation,7301,native_tuned,1,0.015397588755812416,0.015397588755812416,,0.9999999999999993,0.9974776240747205,0.5272529404899217,9.74149722747595e-16
cycle16,interpolation,7301,native_tuned,2,0.015397588755812416,0.015397588755812416,,0.9999999999999993,0.9974776240747205,0.5272529404899217,9.74149722747595e-16
cycle16,interpolation,7301,native_tuned,3,0.015397588755812416,0.015397588755812416,,0.9999999999999993,0.9974776240747205,0.5272529404899217,9.74149722747595e-16
cycle16,interpolation,7301,native_tuned,4,0.015397588755812416,0.015397588755812416,,0.9999999999999993,0.9974776240747205,0.5272529404899217,9.74149722747595e-16
cycle16,interpolation,7301,corrupt_fixed,0,0.017712172371104177,0.017712172371104177,,0.5441696071831251,0.5441696071831251,0.9999999999999996,6.9293393722622e-16
cycle16,interpolation,7301,corrupt_fixed,1,0.017712172371104177,0.017712172371104177,,0.5441696071831251,0.5441696071831251,0.9999999999999996,6.9293393722622e-16
cycle16,interpolation,7301,corrupt_fixed,2,0.017712172371104177,0.017712172371104177,,0.5441696071831251,0.5441696071831251,0.9999999999999996,6.9293393722622e-16
cycle16,interpolation,7301,corrupt_fixed,3,0.017712172371104177,0.017712172371104177,,0.5441696071831251,0.5441696071831251,0.9999999999999996,6.9293393722622e-16
cycle16,interpolation,7301,corrupt_fixed,4,0.017712172371104177,0.017712172371104177,,0.5441696071831251,0.5441696071831251,0.9999999999999996,6.9293393722622e-16
cycle16,interpolation,7302,label,0,0.036813513083766666,0.036813513083766666,,0.4179633567926486,0.41796335716208033,0.11295333302657959,0.22092324495315552
cycle16,interpolation,7302,label,1,0.44511675351535884,0.44511675351535884,,0.1370582754818159,0.13705827626005046,0.15776282289812638,0.19897714257240295
cycle16,interpolation,7302,label,2,1.0228510922309435,1.0228510922309435,,0.14989710751749316,0.14989711194008223,0.16592546447409948,0.4737975001335144
cycle16,interpolation,7302,label,3,0.31982862247032984,0.31982862247032984,,0.353766118169278,0.3537661218038238,0.12362679509312158,0.15039455890655518
cycle16,interpolation,7302,label,4,0.7221306369655391,0.7221306369655391,,0.059874421885079666,0.05987442094674895,0.15950278856999514,0.3490528464317322
cycle16,interpolation,7302,learned,0,0.01597225567817325,0.01597225567817325,,0.44747449782492615,0.4748008371871073,0.4438142386180519,0.0010175250936299562
cycle16,interpolation,7302,learned,1,0.014886250982539474,0.014886250982539474,,0.5065213372269625,0.5506677917133184,0.43487022433493866,0.0010460233315825462
