domain,seed,interface,alpha,chart_mean_held_mse,chart_sd_held_mse
cycle16,7301,learned,0.0,0.14610168144733438,0.09616309791773585
cycle16,7301,learned,0.25,0.21602773692306423,0.03595962218350464
cycle16,7301,learned,0.5,0.44312775748317695,0.07427261464093239
cycle16,7301,learned,0.75,0.9053746699100526,0.11346235562545222
cycle16,7301,learned,1.0,2.877614653454996,0.3212664505033153
cycle16,7301,native_tuned,0.0,0.041966668152369754,0.0
cycle16,7301,native_tuned,0.25,0.17688500452917041,0.0
cycle16,7301,native_tuned,0.5,0.3778028456574262,0.0
cycle16,7301,native_tuned,0.75,0.8081054594936496,0.0
cycle16,7301,native_tuned,1.0,3.1456364035456685,0.0
cycle16,7302,learned,0.0,0.08993205238425138,0.03133005926247221
cycle16,7302,learned,0.25,0.26657760427648725,0.06970012830074816
cycle16,7302,learned,0.5,0.639280374110815,0.10708317424759281
cycle16,7302,learned,0.75,1.489786648899446,0.13615102062598208
cycle16,7302,learned,1.0,3.9999156729062078,0.24974802124411435
cycle16,7302,native_tuned,0.0,0.08121019833210508,0.0
cycle16,7302,native_tuned,0.25,0.23983382624089838,2.7755575615628914e-17
cycle16,7302,native_tuned,0.5,0.6004203481520731,0.0
cycle16,7302,native_tuned,0.75,1.4966114762128389,0.0
cycle16,7302,native_tuned,1.0,4.4680690230355635,0.0
cycle16,7303,learned,0.0,0.09309529180249025,0.031145683140459852
cycle16,7303,learned,0.25,0.2088713971970304,0.053825006192943635
cycle16,7303,learned,0.5,0.4512272932768198,0.06932385694809429
cycle16,7303,learned,0.75,0.9748141313622835,0.10659716073481813
cycle16,7303,learned,1.0,3.3240900524621986,0.20781379161531405
cycle16,7303,native_tuned,0.0,0.10896634584897821,1.3877787807814457e-17
cycle16,7303,native_tuned,0.25,0.18037935635303737,0.0
cycle16,7303,native_tuned,0.5,0.33264111324977197,0.0
cycle16,7303,native_tuned,0.75,0.7271967883335283,0.0
cycle16,7303,native_tuned,1.0,3.4014769188671314,4.440892098500626e-16
ordinal16,7301,learned,0.0,0.0780803037545832,0.029061728163351914
ordinal16,7301,learned,0.25,0.11301782603590346,0.029287272635016695
ordinal16,7301,learned,0.5,0.23134698705678267,0.02981946214248882
ordinal16,7301,learned,0.75,0.5326233484745959,0.05778591719066972
ordinal16,7301,learned,1.0,2.1017875624897213,0.14810548431699988
ordinal16,7301,native_tuned,0.0,0.027110255371087178,0.0
ordinal16,7301,native_tuned,0.25,0.1183302586155334,1.3877787807814457e-17
ordinal16,7301,native_tuned,0.5,0.31268515257735585,0.0
