dataset,model,seed,parameters,temperature,latency_ms_per_context,crps_point,coverage50_point,coverage90_point,crps_difference,coverage50_difference,coverage90_difference,crps_dense,coverage50_dense,coverage90_dense,crps_scaled_dense,coverage50_scaled_dense,coverage90_scaled_dense,macro_crps,coverage50,coverage90,coverage_error
Electricity,diagonal_calibrated,20261302.0,136580.0,1.3742415110270183,0.004415205694385804,0.17116762200991312,0.5123697916666666,0.9016927083333334,0.22865073879559836,0.5504557291666666,0.9055989583333334,0.17896985014279684,0.5052083333333334,0.890625,0.273689071337382,0.5205078125,0.8958333333333334,0.21311931312084198,0.5221354166666666,0.8984375,0.014257812500000003
JenaWeather,diagonal_calibrated,20261302.0,136580.0,0.957366426785787,0.008788607450090543,0.11590938021739323,0.5162760416666666,0.908203125,0.1787960429986318,0.5540364583333334,0.9069010416666666,0.17100492119789124,0.5133463541666666,0.8870442708333334,0.25122882922490436,0.5110677083333334,0.8932291666666666,0.17923478782176971,0.523681640625,0.8988444010416666,0.015478515625000003
Traffic,diagonal_calibrated,20261302.0,136580.0,1.6532741785049438,0.004412399069527358,0.22661352654298147,0.4658203125,0.8369140625,0.31405456860860187,0.4873046875,0.8427734375,0.2849210500717163,0.4117838541666667,0.7994791666666666,0.41894524296124774,0.40625,0.7985026041666666,0.31113359332084656,0.4427897135416667,0.8194173177083334,0.06889648437500001
