seed,model,mean_absolute_prediction_change
11,structure_only,0.0013483752198045615
11,semantics,0.008901592428500964
29,structure_only,0.00762943315822981
29,semantics,0.006896151232471305
47,structure_only,0.005216686911213012
47,semantics,0.0035674187770952884
