seed,noise_sd,model,rmse
3,0.5,structure_only,2.243724060529179
3,0.5,semantics,1.2186938854294163
3,1.0,structure_only,2.386721186712902
3,1.0,semantics,1.4972468158419048
3,2.0,structure_only,2.9217926133019674
3,2.0,semantics,2.2953392425713046
11,0.5,structure_only,2.239918554211384
11,0.5,semantics,1.188867694782534
11,1.0,structure_only,2.3446165713415272
11,1.0,semantics,1.4800214689218956
11,2.0,structure_only,2.93955143605062
11,2.0,semantics,2.260226293931334
29,0.5,structure_only,2.136556948267646
29,0.5,semantics,1.1950341798039157
29,1.0,structure_only,2.3781719205605207
29,1.0,semantics,1.4916055286251935
29,2.0,structure_only,2.9591471832759906
29,2.0,semantics,2.259377984721484
47,0.5,structure_only,2.2227549691793738
47,0.5,semantics,1.1620749156391588
47,1.0,structure_only,2.345858563924092
47,1.0,semantics,1.4893176073959382
47,2.0,structure_only,2.970242388832567
47,2.0,semantics,2.264198642036776
71,0.5,structure_only,2.1984566834478136
71,0.5,semantics,1.2002762170994288
71,1.0,structure_only,2.387429109352372
71,1.0,semantics,1.4823281935770123
71,2.0,structure_only,2.9255545128772145
71,2.0,semantics,2.292254763264052
