seed,shots,model,auroc,accuracy,log_loss
11,0,structure_only,0.6212918105002198,0.5866666666666667,0.6696724995304617
11,0,semantics,0.8730215170056941,0.7816666666666666,0.4743104564270145
11,10,structure_only,0.8561466929394393,0.6694444444444444,0.5699636244381754
11,10,semantics,0.25113955681980926,0.44666666666666666,1.3746491138567472
11,50,structure_only,0.8711078517069895,0.7716666666666666,0.48370499266423217
11,50,semantics,0.8708214192235706,0.7327777777777778,0.5106886300669469
11,100,structure_only,0.875042594485681,0.7844444444444445,0.44611264311021714
11,100,semantics,0.8678138781476707,0.7705555555555555,0.4535232679248855
29,0,structure_only,0.617398129989501,0.5877777777777777,0.672933246325938
29,0,semantics,0.8808796874071433,0.7911111111111111,0.4708776078492556
29,10,structure_only,0.8689135516332878,0.755,0.5005784137304614
29,10,semantics,0.8848205265347359,0.76,0.4783605923125625
29,50,structure_only,0.8571257007587012,0.775,0.48018885453020593
29,50,semantics,0.8795388363938907,0.7627777777777778,0.5009474201091684
29,100,structure_only,0.8519467720528517,0.7616666666666667,0.4822320033449376
29,100,semantics,0.8898224084308948,0.8072222222222222,0.4229629712962995
47,0,structure_only,0.6124316135317236,0.5722222222222222,0.6717192875241729
47,0,semantics,0.8671805452150153,0.7816666666666666,0.4815356129101119
47,10,structure_only,0.8241774794763427,0.6861111111111111,0.600520353753423
47,10,semantics,0.8660273434750883,0.7033333333333334,0.5733453413390267
47,50,structure_only,0.8607774357682683,0.7772222222222223,0.46566947365888395
47,50,semantics,0.8642148165433828,0.7755555555555556,0.46182982536619827
47,100,structure_only,0.8632517572744929,0.78,0.46000877255799405
47,100,semantics,0.8526655134649267,0.7627777777777778,0.4961921727359991
