seed,split,model,auroc,accuracy,log_loss
11,same_schema,structure_only,0.8814338314735906,0.7952777777777778,0.4308751722824454
11,same_schema,semantics,0.8815025377827592,0.7958333333333333,0.43214509212628616
11,heldout_schema,structure_only,0.6186346394663005,0.5797222222222222,0.6712019306856152
11,shuffled_semantics,structure_only,0.6186346394663005,0.5797222222222222,0.6712019306856152
11,heldout_schema,semantics,0.8755849070817443,0.7920833333333334,0.47192467681565253
11,shuffled_semantics,semantics,0.2614377970074493,0.3273611111111111,1.110853557769223
11,role_reversal,structure_only,0.6185288189847655,0.5806944444444444,0.6712361750870367
11,role_reversal,semantics,0.8758553629295185,0.7929166666666667,0.4717956200425052
29,same_schema,structure_only,0.8731647620737814,0.785,0.4448580694136566
29,same_schema,semantics,0.8785853942312563,0.7955555555555556,0.43655924077516817
29,heldout_schema,structure_only,0.6084641154367083,0.5756944444444444,0.6748060818018338
29,shuffled_semantics,structure_only,0.6084641154367083,0.5756944444444444,0.6748060818018338
29,heldout_schema,semantics,0.8726268809977281,0.7858333333333334,0.4739914306110856
29,shuffled_semantics,semantics,0.2558567525738344,0.3165277777777778,1.1220996419049012
29,role_reversal,structure_only,0.6081583920415901,0.5756944444444444,0.6749562210192416
29,role_reversal,semantics,0.8726785166834978,0.7869444444444444,0.4739854591336786
47,same_schema,structure_only,0.8848834609269511,0.8061111111111111,0.4276759604619465
47,same_schema,semantics,0.8763398606458495,0.7858333333333334,0.43908390983621987
47,heldout_schema,structure_only,0.614521207876862,0.585,0.6737511083373952
47,shuffled_semantics,structure_only,0.614521207876862,0.585,0.6737511083373952
47,heldout_schema,semantics,0.8747635675187431,0.7883333333333333,0.4752845532468741
47,shuffled_semantics,semantics,0.25084439758512284,0.3186111111111111,1.1157866169970927
47,role_reversal,structure_only,0.6138681901021703,0.5844444444444444,0.6740235890448386
47,role_reversal,semantics,0.8747617928042427,0.7883333333333333,0.47535090196687607
