dataset,split_seed,seed,query_family,model,rmse,nll,coverage90
fremtpl_claim_count,2026082801,2027083102,point,projective,1.1289342768972865,2.5022374391555786,0.9296875
fremtpl_claim_count,2026082801,2027083102,point,direct,1.1038338261501022,1.8332830866177876,0.9296875
fremtpl_claim_count,2026082801,2027083102,point,ridge,1.3018908040440642,,
fremtpl_claim_count,2026082801,2027083102,dense,projective,1.0520090353889593,2.2863781452178955,0.7506510416666666
fremtpl_claim_count,2026082801,2027083102,dense,direct,1.0209125744303225,2.078794280687968,0.78515625
fremtpl_claim_count,2026082801,2027083102,dense,ridge,1.2556991989165187,,
fremtpl_claim_count,2026082801,2027083102,scaled_dense,projective,2.283508054169601,2.6772619485855103,0.78125
fremtpl_claim_count,2026082801,2027083102,scaled_dense,direct,2.200381092096256,6.693962017695109,0.7005208333333334
fremtpl_claim_count,2026082801,2027083102,scaled_dense,ridge,2.7513520211729054,,
fremtpl_claim_count,2026082811,2027083102,point,projective,1.135140957152831,3.130994121233622,0.9348958333333334
fremtpl_claim_count,2026082811,2027083102,point,direct,1.1104639824573064,2.0874534249305725,0.9368489583333334
fremtpl_claim_count,2026082811,2027083102,point,ridge,1.3643672738094588,,
fremtpl_claim_count,2026082811,2027083102,dense,projective,1.1063259921221604,2.398542046546936,0.7473958333333334
fremtpl_claim_count,2026082811,2027083102,dense,direct,1.0714405454617446,2.167991896470388,0.7734375
fremtpl_claim_count,2026082811,2027083102,dense,ridge,1.316719629131932,,
fremtpl_claim_count,2026082811,2027083102,scaled_dense,projective,2.651208558790611,3.1204156478246055,0.7486979166666666
fremtpl_claim_count,2026082811,2027083102,scaled_dense,direct,2.546204726438266,15.78946057955424,0.6875
fremtpl_claim_count,2026082811,2027083102,scaled_dense,ridge,3.168305617051865,,
fremtpl_claim_count,2026082821,2027083102,point,projective,1.0500332936806236,2.0182655851046243,0.9596354166666666
fremtpl_claim_count,2026082821,2027083102,point,direct,1.034062648798929,1.5710718631744385,0.9596354166666666
fremtpl_claim_count,2026082821,2027083102,point,ridge,1.3052900868187887,,
fremtpl_claim_count,2026082821,2027083102,dense,projective,1.0743754925670312,2.0439637104670205,0.78515625
fremtpl_claim_count,2026082821,2027083102,dense,direct,1.04064144545382,2.0913830200831094,0.8131510416666666
fremtpl_claim_count,2026082821,2027083102,dense,ridge,1.3012094413429065,,
fremtpl_claim_count,2026082821,2027083102,scaled_dense,projective,2.5228333906504803,2.9193427165349326,0.8014322916666666
