dataset,split_seed,seed,query_family,model,rmse,nll,coverage90
fremtpl_claim_count,2026082801,2027083103,point,projective,1.0336905269051453,2.1457743446032205,0.9453125
fremtpl_claim_count,2026082801,2027083103,point,direct,1.002895024043253,1.6875734726587932,0.9459635416666666
fremtpl_claim_count,2026082801,2027083103,point,ridge,1.2138363503600156,,
fremtpl_claim_count,2026082801,2027083103,dense,projective,1.0117383387963204,1.9338886936505635,0.7779947916666666
fremtpl_claim_count,2026082801,2027083103,dense,direct,0.9688511252176939,2.0471210281054177,0.78515625
fremtpl_claim_count,2026082801,2027083103,dense,ridge,1.1975475350689828,,
fremtpl_claim_count,2026082801,2027083103,scaled_dense,projective,2.4228700132024943,2.9191362063090005,0.7805989583333334
fremtpl_claim_count,2026082801,2027083103,scaled_dense,direct,2.3067114439883065,26.021990140279133,0.6595052083333334
fremtpl_claim_count,2026082801,2027083103,scaled_dense,ridge,2.8532713903703084,,
fremtpl_claim_count,2026082811,2027083103,point,projective,1.1991630814644294,3.0554252465566,0.9440104166666666
fremtpl_claim_count,2026082811,2027083103,point,direct,1.1676724333381603,2.306689500808716,0.9440104166666666
fremtpl_claim_count,2026082811,2027083103,point,ridge,1.3663709327316855,,
fremtpl_claim_count,2026082811,2027083103,dense,projective,1.0859555167480595,2.1254446506500244,0.7740885416666666
fremtpl_claim_count,2026082811,2027083103,dense,direct,1.0297533841007667,2.2516056895256042,0.7864583333333334
fremtpl_claim_count,2026082811,2027083103,dense,ridge,1.3033954672055938,,
fremtpl_claim_count,2026082811,2027083103,scaled_dense,projective,2.521167848528716,2.810160756111145,0.7727864583333334
fremtpl_claim_count,2026082811,2027083103,scaled_dense,direct,2.38832876257804,16.334402243296307,0.6608072916666666
fremtpl_claim_count,2026082811,2027083103,scaled_dense,ridge,2.9666860533377313,,
fremtpl_claim_count,2026082821,2027083103,point,projective,1.142811078182063,2.3178598483403525,0.9563802083333334
fremtpl_claim_count,2026082821,2027083103,point,direct,1.1060975019945734,1.800231695175171,0.9563802083333334
fremtpl_claim_count,2026082821,2027083103,point,ridge,1.3727029050317423,,
fremtpl_claim_count,2026082821,2027083103,dense,projective,1.0991088197673275,1.9913157025973003,0.8014322916666666
fremtpl_claim_count,2026082821,2027083103,dense,direct,1.0578882604428477,2.149633526802063,0.8131510416666666
fremtpl_claim_count,2026082821,2027083103,dense,ridge,1.324542670828271,,
fremtpl_claim_count,2026082821,2027083103,scaled_dense,projective,2.6878281769984427,3.0093488693237305,0.8001302083333334
fremtpl_claim_count,2026082821,2027083103,scaled_dense,direct,2.57972028292877,11.842938423156738,0.708984375
fremtpl_claim_count,2026082821,2027083103,scaled_dense,ridge,3.2006644249600797,,
kdd17_stock_return,2026082801,2027083103,point,projective,0.9154924852304817,1.3017584085464478,0.8723958333333334
kdd17_stock_return,2026082801,2027083103,point,direct,0.8770582366910782,1.2567405303319295,0.9283854166666666
kdd17_stock_return,2026082801,2027083103,point,ridge,1.1560655652975016,,
kdd17_stock_return,2026082801,2027083103,dense,projective,0.9437525833380839,1.3754887382189434,0.8411458333333334
kdd17_stock_return,2026082801,2027083103,dense,direct,0.8627593993367005,1.3658526539802551,0.876953125
kdd17_stock_return,2026082801,2027083103,dense,ridge,1.2246963818886611,,
kdd17_stock_return,2026082801,2027083103,scaled_dense,projective,2.2578952162571326,2.214884400367737,0.8430989583333334
kdd17_stock_return,2026082801,2027083103,scaled_dense,direct,2.0961542227665526,8.681354761123657,0.6451822916666666
kdd17_stock_return,2026082801,2027083103,scaled_dense,ridge,2.932716221449317,,
kdd17_stock_return,2026082811,2027083103,point,projective,1.1556430159932372,1.352334479490916,0.8541666666666666
kdd17_stock_return,2026082811,2027083103,point,direct,1.1205162306459335,1.3674526611963909,0.9069010416666666
kdd17_stock_return,2026082811,2027083103,point,ridge,1.5341374427682242,,
kdd17_stock_return,2026082811,2027083103,dense,projective,1.1692795983250082,1.4252652724583943,0.8190104166666666
kdd17_stock_return,2026082811,2027083103,dense,direct,1.1254629312944138,1.623102068901062,0.8313802083333334
kdd17_stock_return,2026082811,2027083103,dense,ridge,1.503053365521839,,
kdd17_stock_return,2026082811,2027083103,scaled_dense,projective,2.656525302158805,2.267111341158549,0.8333333333333334
kdd17_stock_return,2026082811,2027083103,scaled_dense,direct,2.5334042616585504,7.619046926498413,0.6106770833333334
kdd17_stock_return,2026082811,2027083103,scaled_dense,ridge,3.253511976616421,,
kdd17_stock_return,2026082821,2027083103,point,projective,1.093470174325405,1.3933932582537334,0.8489583333333334
kdd17_stock_return,2026082821,2027083103,point,direct,1.049995648662694,1.3488732775052388,0.919921875
kdd17_stock_return,2026082821,2027083103,point,ridge,1.3301803318064682,,
kdd17_stock_return,2026082821,2027083103,dense,projective,1.2183292836505957,1.681509017944336,0.7903645833333334
kdd17_stock_return,2026082821,2027083103,dense,direct,1.1683547573918758,1.7715695699055989,0.8151041666666666
kdd17_stock_return,2026082821,2027083103,dense,ridge,1.491204795333447,,
kdd17_stock_return,2026082821,2027083103,scaled_dense,projective,2.7641577986524273,2.4674866596857705,0.8040364583333334
kdd17_stock_return,2026082821,2027083103,scaled_dense,direct,2.6634873620500805,12.764912287394205,0.583984375
kdd17_stock_return,2026082821,2027083103,scaled_dense,ridge,3.344838306945705,,
openml-abalone-183,2026082801,2027083103,point,projective,1.006603817309382,1.5901008645693462,0.7819010416666666
openml-abalone-183,2026082801,2027083103,point,direct,1.0258915867264633,1.4726842045783997,0.8997395833333334
openml-abalone-183,2026082801,2027083103,point,ridge,0.8196748707678616,,
openml-abalone-183,2026082801,2027083103,dense,projective,0.9501393619594973,1.4269390503565471,0.8001302083333334
openml-abalone-183,2026082801,2027083103,dense,direct,1.027315978241747,1.6836480498313904,0.8033854166666666
openml-abalone-183,2026082801,2027083103,dense,ridge,0.8126897468061554,,
openml-abalone-183,2026082801,2027083103,scaled_dense,projective,2.4001878777452275,2.409806807835897,0.779296875
openml-abalone-183,2026082801,2027083103,scaled_dense,direct,2.402849114252718,11.303511142730713,0.583984375
openml-abalone-183,2026082801,2027083103,scaled_dense,ridge,1.9573437510394214,,
openml-abalone-183,2026082811,2027083103,point,projective,0.9380262063716429,1.512486418088277,0.7962239583333334
openml-abalone-183,2026082811,2027083103,point,direct,1.0279135870272105,1.4424710273742676,0.89453125
openml-abalone-183,2026082811,2027083103,point,ridge,0.7919583327100942,,
openml-abalone-183,2026082811,2027083103,dense,projective,0.963611067600884,1.4797032276789348,0.7994791666666666
openml-abalone-183,2026082811,2027083103,dense,direct,1.0646916766691714,1.8930617173512776,0.7838541666666666
openml-abalone-183,2026082811,2027083103,dense,ridge,0.8257310862298525,,
openml-abalone-183,2026082811,2027083103,scaled_dense,projective,2.2518302749425922,2.2797381480534873,0.7981770833333334
