dataset,split_seed,seed,query_family,model,rmse,nll,coverage90
fremtpl_claim_count,2026082801,2027083101,point,projective,1.0755666102657546,2.325977126757304,0.931640625
fremtpl_claim_count,2026082801,2027083101,point,direct,1.0504845882297782,1.839589516321818,0.93359375
fremtpl_claim_count,2026082801,2027083101,point,ridge,1.2549253741021635,,
fremtpl_claim_count,2026082801,2027083101,dense,projective,1.0651130986791284,2.117566963036855,0.7454427083333334
fremtpl_claim_count,2026082801,2027083101,dense,direct,1.0223261207810808,2.240624845027924,0.7526041666666666
fremtpl_claim_count,2026082801,2027083101,dense,ridge,1.271235615996808,,
fremtpl_claim_count,2026082801,2027083101,scaled_dense,projective,2.4116445569718934,2.847008466720581,0.7721354166666666
fremtpl_claim_count,2026082801,2027083101,scaled_dense,direct,2.313433982636552,7.303159872690837,0.6783854166666666
fremtpl_claim_count,2026082801,2027083101,scaled_dense,ridge,3.001188678488361,,
fremtpl_claim_count,2026082811,2027083101,point,projective,0.9196756928464036,1.8888084689776103,0.95703125
fremtpl_claim_count,2026082811,2027083101,point,direct,0.8753470288981385,1.516869386037191,0.958984375
fremtpl_claim_count,2026082811,2027083101,point,ridge,1.1461170221040604,,
fremtpl_claim_count,2026082811,2027083101,dense,projective,1.104758898537853,2.237631837526957,0.755859375
fremtpl_claim_count,2026082811,2027083101,dense,direct,1.0681445029472043,2.568191925684611,0.7669270833333334
fremtpl_claim_count,2026082811,2027083101,dense,ridge,1.297464788139173,,
fremtpl_claim_count,2026082811,2027083101,scaled_dense,projective,2.544709094021236,2.87715478738149,0.7649739583333334
fremtpl_claim_count,2026082811,2027083101,scaled_dense,direct,2.454458113389036,7.752172867457072,0.6803385416666666
fremtpl_claim_count,2026082811,2027083101,scaled_dense,ridge,3.1669406688670545,,
fremtpl_claim_count,2026082821,2027083101,point,projective,0.994975705457223,1.8329410354296367,0.9654947916666666
fremtpl_claim_count,2026082821,2027083101,point,direct,0.95970402873016,1.471914033095042,0.96875
fremtpl_claim_count,2026082821,2027083101,point,ridge,1.2614175852403262,,
