source,task,split,backbone,operator,predicted_gain,predicted_se,actual_gain,selected_mean,selected_pessimistic,ordinary_dimensions,oof_finite
ACS,acs_occupation,0,resnet,harmonic,0.00018035619803257418,0.00011921476438329405,0.0004952128432687285,False,False,10,True
ACS,acs_occupation,0,resnet,kernel_ridge,0.012194523629497033,0.0020653596539321178,0.01756253004546936,True,True,10,True
ACS,acs_occupation,0,resnet,knn_1,-0.010786560198361494,0.007210952417172581,-0.01821470407569044,False,False,10,True
ACS,acs_occupation,0,resnet,knn_10,0.007862100858544056,0.002036902702256745,0.01256973982925124,False,False,10,True
ACS,acs_occupation,0,resnet,knn_3,0.007127646631009824,0.0027839177009059478,0.008943382567728773,False,False,10,True
ACS,acs_occupation,0,resnet,knn_5,0.009071588445617876,0.001658304096502604,0.01443100024624267,False,False,10,True
ACS,acs_occupation,0,resnet,rbf,3.4739771128438184e-05,0.000126498093836072,0.0003081214857751872,False,False,10,True
ACS,acs_occupation,0,resnet,rbf_double,-3.32356752749081e-05,0.00013189217816105274,0.0002224921109314707,False,False,10,True
ACS,acs_occupation,0,resnet,rbf_half,0.0003533881453741299,0.00010492251408765468,0.000710019668160092,False,False,10,True
NYC_TLC,tlc_pickup_zone,0,resnet,harmonic,0.0005743704454853865,0.007337018855174834,0.0069083468856205804,False,False,258,True
NYC_TLC,tlc_pickup_zone,0,resnet,kernel_ridge,-0.01951498920069994,0.018880079188724277,0.002097311584254808,False,False,258,True
NYC_TLC,tlc_pickup_zone,0,resnet,knn_1,-0.04250026196484814,0.03357708848565822,-0.03629074333707366,False,False,258,True
NYC_TLC,tlc_pickup_zone,0,resnet,knn_10,0.0046157465916400004,0.003226249180127919,0.019740836313256065,True,False,258,True
NYC_TLC,tlc_pickup_zone,0,resnet,knn_3,-0.007233391074826798,0.015131725755752907,-0.0023080448131397747,False,False,258,True
NYC_TLC,tlc_pickup_zone,0,resnet,knn_5,0.0009711909943321897,0.009569977070001092,0.005598761145248643,False,False,258,True
NYC_TLC,tlc_pickup_zone,0,resnet,rbf,0.0008333634341172874,0.007247550393963682,0.006482734398089875,False,False,258,True
NYC_TLC,tlc_pickup_zone,0,resnet,rbf_double,-0.0017278508052267047,0.007312164602104142,0.006048620367811225,False,False,258,True
NYC_TLC,tlc_pickup_zone,0,resnet,rbf_half,-0.002007316683179344,0.007756151834228122,0.009825795590240714,False,False,258,True
BTS,airline_origin_airport,0,resnet,harmonic,0.0014213383701362583,0.0007005699731412801,-0.002760303376050874,False,False,334,True
BTS,airline_origin_airport,0,resnet,kernel_ridge,0.0003575524206505627,0.0011592888301200925,-0.0025866642799424536,False,False,334,True
BTS,airline_origin_airport,0,resnet,knn_1,-0.00780790468051939,0.003055970300547592,-0.02260668722841071,False,False,334,True
BTS,airline_origin_airport,0,resnet,knn_10,-0.00020848703998801966,0.001291868194129019,-0.003995968212721325,False,False,334,True
BTS,airline_origin_airport,0,resnet,knn_3,-0.002313449315869332,0.0018398117955681448,-0.0075568031118227715,False,False,334,True
BTS,airline_origin_airport,0,resnet,knn_5,-0.0010294508760300303,0.0014897458611817503,-0.005633464634026975,False,False,334,True
BTS,airline_origin_airport,0,resnet,rbf,0.001437967963413149,0.0007063589178893796,-0.0027810801962282966,False,False,334,True
BTS,airline_origin_airport,0,resnet,rbf_double,0.0014411386200907897,0.0006449777424228359,-0.0024759079632142808,True,True,334,True
BTS,airline_origin_airport,0,resnet,rbf_half,0.0012344805479752867,0.0008087085284422874,-0.0029022751493302254,False,False,334,True
STRING_BENCHMARK,medical_charges,0,resnet,harmonic,-0.0002053716335337814,0.001138597604482058,0.003360908664287846,False,False,52,True
STRING_BENCHMARK,medical_charges,0,resnet,kernel_ridge,0.010145095840755946,0.0037057059926516663,0.03970426631284582,False,False,52,True
STRING_BENCHMARK,medical_charges,0,resnet,knn_1,-0.002595604681270014,0.020797048727616972,0.016737945790603267,False,False,52,True
STRING_BENCHMARK,medical_charges,0,resnet,knn_10,0.013153745642613273,0.004102956029583795,0.03361450835213663,True,True,52,True
STRING_BENCHMARK,medical_charges,0,resnet,knn_3,0.009100872738504722,0.00882522014463295,0.029214185086451534,False,False,52,True
STRING_BENCHMARK,medical_charges,0,resnet,knn_5,0.01086355916552403,0.006530150998197001,0.026032368300380353,False,False,52,True
STRING_BENCHMARK,medical_charges,0,resnet,rbf,-0.00037635437763429316,0.0011446657659911067,0.003173404782603169,False,False,52,True
STRING_BENCHMARK,medical_charges,0,resnet,rbf_double,-0.0006265619842078091,0.0011391343654665544,0.0026854682976685923,False,False,52,True
STRING_BENCHMARK,medical_charges,0,resnet,rbf_half,0.0007759503341991097,0.0012096626397856507,0.0053387963883703825,False,False,52,True
