dataset,split,round,model,r2,spearman,choice_percentile,chosen_gain,oracle_gain,regret,normalized_regret,improving_choice
credit-g,leave_one_round_out,0,additive_delta,0.04853864098345173,0.21944510076820178,0.5838448660714286,0.006565127608045729,0.150496310500896,0.14393118289285028,2.2472534093572376,1.0
credit-g,leave_one_round_out,0,fm_delta,0.05022133381346294,0.207209178013796,0.40318080357142855,-0.0166038341276602,0.150496310500896,0.1671001446285562,2.6089993993877196,0.0
credit-g,leave_one_round_out,0,empirical_static_swap,0.12340560405516876,0.3805838189490346,0.9921875,0.12550754533336994,0.150496310500896,0.024988765167526072,0.3901592871654213,1.0
credit-g,leave_one_round_out,0,row_ridge,0.009492242295390918,0.2102403857829486,0.37806919642857145,-0.02082156021803694,0.150496310500896,0.17131787071893295,2.6748523934771953,0.0
credit-g,leave_one_round_out,0,row_hist_gbdt,0.11030099156336992,0.38873872533027654,0.9921875,0.12550754533336994,0.150496310500896,0.024988765167526072,0.3901592871654213,1.0
credit-g,leave_one_round_out,0,row_extra_trees,0.12032718482306937,0.39173980920679,0.9390345982142857,0.07399982205230304,0.150496310500896,0.07649648844859297,1.194369357736283,1.0
credit-g,leave_one_round_out,0,contextual_ridge,0.07641859736457812,0.37521078468387536,0.9095982142857143,0.06248911980478222,0.150496310500896,0.08800719069611379,1.3740904185233276,1.0
credit-g,leave_one_round_out,0,contextual_hist_gbdt,0.22650956559509672,0.4790848661867948,0.9948381696428571,0.13159454095285716,0.150496310500896,0.01890176954803885,0.2951206625692586,1.0
credit-g,leave_one_round_out,0,contextual_extra_trees,0.19454907758516715,0.4624969092102082,0.8854631696428571,0.0548280277495381,0.150496310500896,0.09566828275135791,1.4937060215811013,1.0
credit-g,leave_one_round_out,1,additive_delta,-0.10254299818826973,0.1395445173672938,0.006556919642857143,-0.150496310500896,0.03471119879387602,0.18520750929477203,5.803274741560112,0.0
credit-g,leave_one_round_out,1,fm_delta,-0.10686551471558525,0.1307251487313861,0.10714285714285714,-0.05556429904168886,0.03471119879387602,0.09027549783556488,2.8286839900054015,0.0
credit-g,leave_one_round_out,1,empirical_static_swap,0.24891545525824832,0.6488583951063399,0.9994419642857143,0.031555838958122806,0.03471119879387602,0.003155359835753213,0.0988697494236902,1.0
credit-g,leave_one_round_out,1,row_ridge,0.07930926976314057,0.319506706561926,0.6904296875,-0.0025721138795458676,0.03471119879387602,0.03728331267342189,1.1682318257139086,0.0
credit-g,leave_one_round_out,1,row_hist_gbdt,0.326494015232378,0.6346008068898694,1.0,0.03471119879387602,0.03471119879387602,0.0,0.0,1.0
credit-g,leave_one_round_out,1,row_extra_trees,0.3645735143231783,0.6518530868354493,0.994140625,0.024491214689737972,0.03471119879387602,0.010219984104138047,0.32023202426579117,1.0
credit-g,leave_one_round_out,1,contextual_ridge,-0.3058545065257543,0.4312143146680679,0.9981863839285714,0.029044080221646007,0.03471119879387602,0.005667118572230012,0.1775729623106431,1.0
credit-g,leave_one_round_out,1,contextual_hist_gbdt,0.402183536376138,0.6076848444691383,0.9881417410714286,0.021262319918483097,0.03471119879387602,0.013448878875392922,0.4214059104679737,1.0
credit-g,leave_one_round_out,1,contextual_extra_trees,0.28972453700520195,0.5948656278474947,0.9881417410714286,0.021262319918483097,0.03471119879387602,0.013448878875392922,0.4214059104679737,1.0
credit-g,leave_one_round_out,2,additive_delta,-0.27014975748152237,0.22171030686983464,0.12123325892857142,-0.04854821541371601,0.02125182571737827,0.06980004113109428,3.257718654485912,0.0
credit-g,leave_one_round_out,2,fm_delta,-0.32943238753218473,0.19760836255874242,0.37625558035714285,-0.025254265579147506,0.02125182571737827,0.046506091296525776,2.1705397118516245,0.0
credit-g,leave_one_round_out,2,empirical_static_swap,0.10741967584525536,0.6050453657636824,0.9677734375,0.004571065598194368,0.02125182571737827,0.0166807601191839,0.7785270972721862,1.0
credit-g,leave_one_round_out,2,row_ridge,0.010473437385506656,0.41163474925937044,0.6598772321428571,-0.012149679780157296,0.02125182571737827,0.033401505497535566,1.558920392938878,0.0
credit-g,leave_one_round_out,2,row_hist_gbdt,0.2526312851675607,0.5870795794378527,0.9677734375,0.004571065598194368,0.02125182571737827,0.0166807601191839,0.7785270972721862,1.0
credit-g,leave_one_round_out,2,row_extra_trees,0.1599299003445368,0.607515493463972,0.9677734375,0.004571065598194368,0.02125182571737827,0.0166807601191839,0.7785270972721862,1.0
credit-g,leave_one_round_out,2,contextual_ridge,-26.747765119704837,0.4509822436498156,0.6837332589285714,-0.011203043045111938,0.02125182571737827,0.03245486876249021,1.5147388122291052,0.0
credit-g,leave_one_round_out,2,contextual_hist_gbdt,0.252236750471867,0.5772294142372572,0.7840401785714286,-0.006786869823242947,0.02125182571737827,0.028038695540621217,1.3086264711302853,0.0
credit-g,leave_one_round_out,2,contextual_extra_trees,0.37568158610219904,0.6070481346624744,0.9510323660714286,0.003041675695960866,0.02125182571737827,0.018210150021417404,0.8499070267643618,1.0
credit-g,leave_one_round_out,3,additive_delta,-0.4033347213071006,0.2173171238396185,0.11328125,-0.0492878327080446,0.014340498947454594,0.06362833165549919,2.7314290170625863,0.0
credit-g,leave_one_round_out,3,fm_delta,-0.41555652926562026,0.20232407995855098,0.33803013392857145,-0.0295318460878759,0.014340498947454594,0.043872345035330496,1.8833465086731773,0.0
credit-g,leave_one_round_out,3,empirical_static_swap,0.13918959597335767,0.6873559659488936,0.9991629464285714,0.010345722453836192,0.014340498947454594,0.003994776493618402,0.17148726278768922,1.0
credit-g,leave_one_round_out,3,row_ridge,-0.0689075759650426,0.46792104458533584,0.9852120535714286,0.004375638965864126,0.014340498947454594,0.009964859981590468,0.4277702557415642,1.0
credit-g,leave_one_round_out,3,row_hist_gbdt,0.2059297250132741,0.6743196819572866,0.9010881696428571,-0.004042299019733575,0.014340498947454594,0.01838279796718817,0.7891344386370892,0.0
credit-g,leave_one_round_out,3,row_extra_trees,0.1562834387911023,0.6842174676447076,0.9991629464285714,0.010345722453836192,0.014340498947454594,0.003994776493618402,0.17148726278768922,1.0
credit-g,leave_one_round_out,3,contextual_ridge,0.3058506048977375,0.5558471271543179,0.8871372767857143,-0.0047279380465866105,0.014340498947454594,0.019068436994041205,0.8185674645305958,0.0
credit-g,leave_one_round_out,3,contextual_hist_gbdt,0.7305207190216929,0.7959540451727444,0.9972098214285714,0.008280044171245227,0.014340498947454594,0.0060604547762093675,0.260162440246901,1.0
credit-g,leave_one_round_out,3,contextual_extra_trees,0.6859551313319797,0.80523300746502,0.9997209821428571,0.01198228715037608,0.014340498947454594,0.0023582117970785132,0.10123301936933402,1.0
credit-g,leave_one_round_out,4,additive_delta,-0.6903359069972046,0.22611038515186574,0.33272879464285715,-0.0314635730425441,0.008350526645783118,0.03981409968832722,1.9981387608533123,0.0
credit-g,leave_one_round_out,4,fm_delta,-0.6773085034573583,0.21660098923483165,0.240234375,-0.03737905056155516,0.008350526645783118,0.04572957720733828,2.295017128371887,0.0
credit-g,leave_one_round_out,4,empirical_static_swap,-0.15683177361865286,0.6324609572247388,0.9893973214285714,0.0002108937401358313,0.008350526645783118,0.008139632905647287,0.4085014137004149,1.0
credit-g,leave_one_round_out,4,row_ridge,-0.23839733073266522,0.4434233373939494,0.9529854910714286,-0.004722361999138669,0.008350526645783118,0.013072888644921787,0.6560852994848881,0.0
credit-g,leave_one_round_out,4,row_hist_gbdt,-0.0245166007497597,0.623610545878487,0.9165736607142857,-0.007186894095247698,0.008350526645783118,0.015537420741030816,0.7797720623943174,0.0
credit-g,leave_one_round_out,4,row_extra_trees,-0.11321827764957759,0.6321829902890289,0.9893973214285714,0.0002108937401358313,0.008350526645783118,0.008139632905647287,0.4085014137004149,1.0
credit-g,leave_one_round_out,4,contextual_ridge,-7.4103040864370495,0.5272156745170462,0.9340122767857143,-0.006195219408062003,0.008350526645783118,0.014545746053845121,0.7300031703150182,0.0
credit-g,leave_one_round_out,4,contextual_hist_gbdt,0.6340898000995334,0.7311442966756009,0.8271484375,-0.01149538775109038,0.008350526645783118,0.0198459143968735,0.99600119333091,0.0
credit-g,leave_one_round_out,4,contextual_extra_trees,0.505150523992165,0.737720770386622,0.9893973214285714,0.0002108937401358313,0.008350526645783118,0.008139632905647287,0.4085014137004149,1.0
credit-g,past_to_next,1,additive_delta,-0.10254299818826973,0.1395445173672938,0.006556919642857143,-0.150496310500896,0.03471119879387602,0.18520750929477203,5.803274741560112,0.0
credit-g,past_to_next,1,fm_delta,-0.10686551471558525,0.1307251487313861,0.10714285714285714,-0.05556429904168886,0.03471119879387602,0.09027549783556488,2.8286839900054015,0.0
credit-g,past_to_next,1,row_hist_gbdt,-1.7884088497161512,0.4661399622648478,0.9994419642857143,0.031555838958122806,0.03471119879387602,0.003155359835753213,0.0988697494236902,1.0
credit-g,past_to_next,1,row_extra_trees,-1.3102282936164054,0.4586344449047545,0.49135044642857145,-0.013933550457733646,0.03471119879387602,0.048644749251609665,1.5242300148429249,0.0
credit-g,past_to_next,1,contextual_hist_gbdt,-1.801063613671218,0.4374757281909847,0.9994419642857143,0.031555838958122806,0.03471119879387602,0.003155359835753213,0.0988697494236902,1.0
credit-g,past_to_next,1,contextual_extra_trees,-1.4730382559288602,0.42527183919761796,0.9974888392857143,0.02697091418439107,0.03471119879387602,0.007740284609484949,0.24253335265806328,1.0
credit-g,past_to_next,2,additive_delta,-0.27014975748152237,0.22171030686983464,0.12123325892857142,-0.04854821541371601,0.02125182571737827,0.06980004113109428,3.257718654485912,0.0
credit-g,past_to_next,2,fm_delta,-0.32943238753218473,0.19760836255874242,0.37625558035714285,-0.025254265579147506,0.02125182571737827,0.046506091296525776,2.1705397118516245,0.0
credit-g,past_to_next,2,row_hist_gbdt,-1.319042815977233,0.4616225807363072,0.7172154017857143,-0.009934716953082734,0.02125182571737827,0.031186542670461004,1.4555432945328541,0.0
credit-g,past_to_next,2,row_extra_trees,-1.4528065692133993,0.47733757715910036,0.9510323660714286,0.003041675695960866,0.02125182571737827,0.018210150021417404,0.8499070267643618,1.0
credit-g,past_to_next,2,contextual_hist_gbdt,-0.7719596629787753,0.43845780819085783,0.0693359375,-0.0580277742506623,0.02125182571737827,0.07927959996804057,3.700150136745592,0.0
credit-g,past_to_next,2,contextual_extra_trees,-0.533946016472729,0.5067359546299451,0.9510323660714286,0.003041675695960866,0.02125182571737827,0.018210150021417404,0.8499070267643618,1.0
credit-g,past_to_next,3,additive_delta,-0.4033347213071006,0.2173171238396185,0.11328125,-0.0492878327080446,0.014340498947454594,0.06362833165549919,2.7314290170625863,0.0
credit-g,past_to_next,3,fm_delta,-0.41555652926562026,0.20232407995855098,0.33803013392857145,-0.0295318460878759,0.014340498947454594,0.043872345035330496,1.8833465086731773,0.0
credit-g,past_to_next,3,row_hist_gbdt,-0.30536180295314663,0.5689726327298743,0.6761997767857143,-0.014657671673417194,0.014340498947454594,0.028998170620871788,1.244829820533813,0.0
credit-g,past_to_next,3,row_extra_trees,-0.36205987876095636,0.5867545873563619,0.9997209821428571,0.01198228715037608,0.014340498947454594,0.0023582117970785132,0.10123301936933402,1.0
credit-g,past_to_next,3,contextual_hist_gbdt,0.46377104360298294,0.6985261236283116,0.7575334821428571,-0.011198499805366302,0.014340498947454594,0.025538998752820896,1.0963349257351027,0.0
credit-g,past_to_next,3,contextual_extra_trees,0.4514404684889577,0.7189473103629082,0.9919084821428571,0.0058244575183712954,0.014340498947454594,0.008516041429083299,0.3655755551763691,1.0
credit-g,past_to_next,4,additive_delta,-0.6903359069972046,0.22611038515186574,0.33272879464285715,-0.0314635730425441,0.008350526645783118,0.03981409968832722,1.9981387608533123,0.0
credit-g,past_to_next,4,fm_delta,-0.6773085034573583,0.21660098923483165,0.240234375,-0.03737905056155516,0.008350526645783118,0.04572957720733828,2.295017128371887,0.0
credit-g,past_to_next,4,row_hist_gbdt,-0.0245166007497597,0.623610545878487,0.9165736607142857,-0.007186894095247698,0.008350526645783118,0.015537420741030816,0.7797720623943174,0.0
credit-g,past_to_next,4,row_extra_trees,-0.11321827764957759,0.6321829902890289,0.9893973214285714,0.0002108937401358313,0.008350526645783118,0.008139632905647287,0.4085014137004149,1.0
credit-g,past_to_next,4,contextual_hist_gbdt,0.6340898000995334,0.7311442966756009,0.8271484375,-0.01149538775109038,0.008350526645783118,0.0198459143968735,0.99600119333091,0.0
credit-g,past_to_next,4,contextual_extra_trees,0.505150523992165,0.737720770386622,0.9893973214285714,0.0002108937401358313,0.008350526645783118,0.008139632905647287,0.4085014137004149,1.0
