dataset,round,budget,repetition,method,achieved_gain,oracle_gain,regret,improving
credit-g,0,16,0,random_best,0.0993954868573882,0.150496310500896,0.05110082364350782,1.0
credit-g,0,16,0,contextual_plus_one,0.0993954868573882,0.150496310500896,0.05110082364350782,1.0
credit-g,0,16,1,random_best,0.07871322885228371,0.150496310500896,0.0717830816486123,1.0
credit-g,0,16,1,contextual_plus_one,0.07871322885228371,0.150496310500896,0.0717830816486123,1.0
credit-g,0,16,2,random_best,0.13146802251177048,0.150496310500896,0.019028287989125536,1.0
credit-g,0,16,2,contextual_plus_one,0.13146802251177048,0.150496310500896,0.019028287989125536,1.0
credit-g,0,16,3,random_best,0.07797431384633313,0.150496310500896,0.07252199665456288,1.0
credit-g,0,16,3,contextual_plus_one,0.07797431384633313,0.150496310500896,0.07252199665456288,1.0
credit-g,0,16,4,random_best,0.05042958347946325,0.150496310500896,0.10006672702143277,1.0
credit-g,0,16,4,contextual_plus_one,0.05042958347946325,0.150496310500896,0.10006672702143277,1.0
credit-g,0,32,0,random_best,0.0725834710298825,0.150496310500896,0.07791283947101352,1.0
credit-g,0,32,0,contextual_plus_one,0.0725834710298825,0.150496310500896,0.07791283947101352,1.0
credit-g,0,32,1,random_best,0.04675045467376737,0.150496310500896,0.10374585582712864,1.0
credit-g,0,32,1,contextual_plus_one,0.051570528210613364,0.150496310500896,0.09892578229028265,1.0
credit-g,0,32,2,random_best,0.10328533647523797,0.150496310500896,0.04721097402565805,1.0
credit-g,0,32,2,contextual_plus_one,0.11320226612449302,0.150496310500896,0.03729404437640299,1.0
credit-g,0,32,3,random_best,0.09264898742283245,0.150496310500896,0.05784732307806356,1.0
credit-g,0,32,3,contextual_plus_one,0.09297876627431212,0.150496310500896,0.057517544226583894,1.0
credit-g,0,32,4,random_best,0.11463588513407597,0.150496310500896,0.03586042536682005,1.0
credit-g,0,32,4,contextual_plus_one,0.12263275267764229,0.150496310500896,0.027863557823253726,1.0
credit-g,0,64,0,random_best,0.0843562629016068,0.150496310500896,0.06614004759928921,1.0
credit-g,0,64,0,contextual_plus_one,0.0843562629016068,0.150496310500896,0.06614004759928921,1.0
credit-g,0,64,1,random_best,0.14853872314836036,0.150496310500896,0.00195758735253565,1.0
credit-g,0,64,1,contextual_plus_one,0.14853872314836036,0.150496310500896,0.00195758735253565,1.0
credit-g,0,64,2,random_best,0.14853872314836036,0.150496310500896,0.00195758735253565,1.0
credit-g,0,64,2,contextual_plus_one,0.14853872314836036,0.150496310500896,0.00195758735253565,1.0
credit-g,0,64,3,random_best,0.13635770508043865,0.150496310500896,0.014138605420457362,1.0
credit-g,0,64,3,contextual_plus_one,0.13635770508043865,0.150496310500896,0.014138605420457362,1.0
credit-g,0,64,4,random_best,0.10261554168327525,0.150496310500896,0.04788076881762077,1.0
credit-g,0,64,4,contextual_plus_one,0.10261554168327525,0.150496310500896,0.04788076881762077,1.0
credit-g,0,128,0,random_best,0.12498791300042211,0.150496310500896,0.0255083975004739,1.0
credit-g,0,128,0,contextual_plus_one,0.14853872314836036,0.150496310500896,0.00195758735253565,1.0
credit-g,0,128,1,random_best,0.12550754533336994,0.150496310500896,0.024988765167526072,1.0
credit-g,0,128,1,contextual_plus_one,0.12631088366146614,0.150496310500896,0.02418542683942987,1.0
credit-g,0,128,2,random_best,0.1389208699552581,0.150496310500896,0.011575440545637916,1.0
credit-g,0,128,2,contextual_plus_one,0.1389208699552581,0.150496310500896,0.011575440545637916,1.0
credit-g,0,128,3,random_best,0.13669533269356804,0.150496310500896,0.013800977807327974,1.0
credit-g,0,128,3,contextual_plus_one,0.13669533269356804,0.150496310500896,0.013800977807327974,1.0
credit-g,0,128,4,random_best,0.11376567106065738,0.150496310500896,0.03673063944023863,1.0
credit-g,0,128,4,contextual_plus_one,0.11376567106065738,0.150496310500896,0.03673063944023863,1.0
credit-g,0,256,0,random_best,0.13004659884918046,0.150496310500896,0.020449711651715552,1.0
credit-g,0,256,0,contextual_plus_one,0.13004659884918046,0.150496310500896,0.020449711651715552,1.0
credit-g,0,256,1,random_best,0.13455311004380865,0.150496310500896,0.01594320045708736,1.0
credit-g,0,256,1,contextual_plus_one,0.13455311004380865,0.150496310500896,0.01594320045708736,1.0
credit-g,0,256,2,random_best,0.13315042044427838,0.150496310500896,0.01734589005661763,1.0
credit-g,0,256,2,contextual_plus_one,0.13315042044427838,0.150496310500896,0.01734589005661763,1.0
credit-g,0,256,3,random_best,0.13665929388105602,0.150496310500896,0.013837016619839992,1.0
credit-g,0,256,3,contextual_plus_one,0.13665929388105602,0.150496310500896,0.013837016619839992,1.0
credit-g,0,256,4,random_best,0.1284274144811356,0.150496310500896,0.02206889601976042,1.0
credit-g,0,256,4,contextual_plus_one,0.1284274144811356,0.150496310500896,0.02206889601976042,1.0
