dataset,round_left,round_right,shared_swaps,spearman,sign_flip_rate,mean_absolute_gain_change
credit-g,0,1,6913,0.45729732368895315,0.3516562997251555,0.042376632232354106
credit-g,0,2,6660,0.32196115138303794,0.43108108108108106,0.044851905790777795
credit-g,0,3,6409,0.3034336694934625,0.433921048525511,0.047717266382285704
credit-g,0,4,6160,0.26982815062683296,0.4525974025974026,0.04888608894055917
credit-g,1,2,6913,0.47863989414680025,0.25748589613771156,0.019326089380623655
credit-g,1,3,6660,0.6312563105003898,0.23678678678678677,0.01860423594040763
credit-g,1,4,6409,0.582688671176995,0.2370104540489936,0.01932691967985958
credit-g,2,3,6913,0.7072657583936361,0.08896282366555765,0.012095688974347115
credit-g,2,4,6660,0.6457224382233038,0.08228228228228228,0.013238647179878637
credit-g,3,4,6913,0.8434507619506041,0.038622884420656735,0.00830053907103616
