dataset,round,budget,repetition,method,achieved_gain,oracle_gain,regret,improving
diamonds,0,16,0,random_best,0.015910592773253907,0.04271153859411492,0.02680094582086101,1.0
diamonds,0,16,0,contextual_plus_one,0.015910592773253907,0.04271153859411492,0.02680094582086101,1.0
diamonds,0,16,1,random_best,0.02410129809652861,0.04271153859411492,0.018610240497586306,1.0
diamonds,0,16,1,contextual_plus_one,0.024141323183449914,0.04271153859411492,0.018570215410665003,1.0
diamonds,0,16,2,random_best,0.020629003275674407,0.04271153859411492,0.02208253531844051,1.0
diamonds,0,16,2,contextual_plus_one,0.020996530095450994,0.04271153859411492,0.021715008498663924,1.0
diamonds,0,16,3,random_best,0.022078521037530607,0.04271153859411492,0.02063301755658431,1.0
diamonds,0,16,3,contextual_plus_one,0.024573421711064497,0.04271153859411492,0.01813811688305042,1.0
diamonds,0,16,4,random_best,0.0164349882082577,0.04271153859411492,0.026276550385857217,1.0
diamonds,0,16,4,contextual_plus_one,0.0164349882082577,0.04271153859411492,0.026276550385857217,1.0
diamonds,0,32,0,random_best,0.020201919945502106,0.04271153859411492,0.02250961864861281,1.0
diamonds,0,32,0,contextual_plus_one,0.020201919945502106,0.04271153859411492,0.02250961864861281,1.0
diamonds,0,32,1,random_best,0.019857985934579908,0.04271153859411492,0.02285355265953501,1.0
diamonds,0,32,1,contextual_plus_one,0.0213009484166804,0.04271153859411492,0.02141059017743452,1.0
diamonds,0,32,2,random_best,0.014519666825623417,0.04271153859411492,0.0281918717684915,1.0
diamonds,0,32,2,contextual_plus_one,0.014519666825623417,0.04271153859411492,0.0281918717684915,1.0
diamonds,0,32,3,random_best,0.019475481494557717,0.04271153859411492,0.0232360570995572,1.0
diamonds,0,32,3,contextual_plus_one,0.019475481494557717,0.04271153859411492,0.0232360570995572,1.0
diamonds,0,32,4,random_best,0.025433488657501918,0.04271153859411492,0.017278049936613,1.0
diamonds,0,32,4,contextual_plus_one,0.025433488657501918,0.04271153859411492,0.017278049936613,1.0
diamonds,0,64,0,random_best,0.022274243383118897,0.04271153859411492,0.02043729521099602,1.0
diamonds,0,64,0,contextual_plus_one,0.022274243383118897,0.04271153859411492,0.02043729521099602,1.0
