budget,method,achieved_gain,regret,improving
16,contextual_plus_one,0.014482912183337629,0.018482521093235026,0.76
16,random_best,0.014183437334964131,0.018781995941608523,0.74
32,contextual_plus_one,0.016748128227445692,0.016217305049126964,0.86
32,random_best,0.01581550547844729,0.017149927798125363,0.86
64,contextual_plus_one,0.02273306638490114,0.010232366891671516,0.98
64,random_best,0.022443538220201245,0.010521895056371404,0.96
128,contextual_plus_one,0.02414699164881326,0.008818441627759391,0.98
128,random_best,0.023354051479755132,0.00961138179681752,0.98
256,contextual_plus_one,0.026208574865187528,0.006756858411385124,1.0
256,random_best,0.02597687929889317,0.006988553977679488,1.0
